iter	RMSE
0	1.590196803
1	1.579706204
2	1.57078935
3	1.563559255
4	1.552065365
5	1.545735442
6	1.536561626
7	1.528565672
8	1.520501273
9	1.510294719
10	1.497397258
11	1.489455166
12	1.480852922
13	1.471285344
14	1.464816846
15	1.454522221
16	1.444715511
17	1.436742578
18	1.428910164
19	1.422510017
20	1.417079022
21	1.410619563
22	1.404826198
23	1.398990623
24	1.393860189
25	1.390228779
26	1.383850462
27	1.37913727
28	1.372382512
29	1.368066526
30	1.364330737
31	1.357272098
32	1.349705863
33	1.344463319
34	1.337637183
35	1.334201805
36	1.329897456
37	1.325102144
38	1.318533401
39	1.314280684
40	1.311890722
41	1.30650353
42	1.302567243
43	1.299139753
44	1.29480951
45	1.290629919
46	1.284329773
47	1.28165866
48	1.277553821
49	1.275521835
50	1.273120831
51	1.270959192
52	1.265600523
53	1.260049761
54	1.257488593
55	1.253932048
56	1.253424294
57	1.249035915
58	1.246644865
59	1.243228429
60	1.241692249
61	1.238623125
62	1.234434492
63	1.230390143
64	1.226240436
65	1.223906611
66	1.221015944
67	1.217346821
68	1.214293974
69	1.210512639
70	1.204573431
71	1.201334125
72	1.19927712
73	1.196460218
74	1.192938532
75	1.18959355
76	1.183943327
77	1.180072597
78	1.177733764
79	1.175348922
80	1.168997066
81	1.166671953
82	1.164318122
83	1.158664537
84	1.156949018
85	1.155161432
86	1.15208233
87	1.149094775
88	1.144225528
89	1.142361514
90	1.137856675
91	1.133031489
92	1.129062745
93	1.12629743
94	1.122664361
95	1.121260991
96	1.119160965
97	1.116754699
98	1.113842559
99	1.1126431
