iter	Passed	Remaining
0	61	6101
1	62	3049
2	62	2027
3	63	1516
4	63	1208
5	64	1003
6	64	855
7	64	745
8	65	659
9	65	591
10	66	535
11	66	488
12	67	448
13	67	415
14	68	386
15	68	360
16	69	338
17	69	318
18	70	299
19	70	283
20	71	268
21	71	254
22	72	242
23	72	230
24	73	220
25	73	210
26	74	201
27	75	192
28	75	185
29	76	177
30	76	170
31	77	164
32	77	157
33	78	151
34	78	146
35	79	141
36	79	136
37	80	131
38	81	126
39	81	122
40	82	118
41	82	114
42	83	110
43	83	106
44	84	103
45	84	99
46	85	96
47	86	93
48	86	90
49	88	88
50	88	85
51	89	82
52	89	79
53	90	76
54	90	74
55	91	71
56	91	69
57	92	66
58	92	64
59	93	62
60	93	59
61	94	57
62	94	55
63	95	53
64	95	51
65	95	49
66	96	47
67	96	45
68	97	43
69	97	41
70	98	40
71	98	38
72	99	36
73	99	35
74	100	33
75	101	31
76	101	30
77	102	28
78	102	27
79	103	25
80	104	24
81	104	22
82	105	21
83	106	20
84	107	18
85	108	17
86	108	16
87	109	14
88	109	13
89	110	12
90	110	10
91	111	9
92	112	8
93	112	7
94	113	5
95	114	4
96	114	3
97	115	2
98	115	1
99	116	0
