State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
GUJARAT,AHMADABAD,Cotton(lint),1997,Whole Year ,154900.0,181500.0,1.17
GUJARAT,AHMADABAD,Cotton(lint),1998,Kharif     ,178800.0,293100.0,1.64
GUJARAT,AHMADABAD,Cotton(lint),1999,Kharif     ,151100.0,182700.0,1.21
GUJARAT,AHMADABAD,Cotton(lint),2003,Kharif     ,168000.0,246300.0,1.47
GUJARAT,AHMADABAD,Cotton(lint),2004,Kharif     ,189500.0,332700.0,1.76
GUJARAT,AHMADABAD,Cotton(lint),2005,Kharif     ,170300.0,266100.0,1.56
GUJARAT,AHMADABAD,Cotton(lint),2006,Kharif     ,174800.0,221100.0,1.26
GUJARAT,AHMADABAD,Cotton(lint),2007,Kharif     ,185200.0,256900.0,1.39
GUJARAT,AHMADABAD,Cotton(lint),2008,Kharif     ,193900.0,268200.0,1.38
GUJARAT,AHMADABAD,Cotton(lint),2009,Kharif     ,220000.0,361200.0,1.64
GUJARAT,AHMADABAD,Cotton(lint),2010,Kharif     ,209200.0,592000.0,2.83
GUJARAT,AHMADABAD,Cotton(lint),2011,Kharif     ,221900.0,391600.0,1.76
GUJARAT,AHMADABAD,Cotton(lint),2012,Kharif     ,176800.0,302100.0,1.71
GUJARAT,AHMADABAD,Cotton(lint),2013,Kharif     ,177864.0,365249.0,2.05
GUJARAT,AHMADABAD,Cotton(lint),2014,Kharif     ,159044.0,266317.0,1.67
GUJARAT,AHMADABAD,Cotton(lint),2015,Kharif     ,131881.0,302016.0,2.29
GUJARAT,AHMADABAD,Cotton(lint),2016,Kharif     ,106997.0,241209.0,2.25
GUJARAT,AHMADABAD,Cotton(lint),2017,Kharif     ,105422.0,276885.0,2.63
GUJARAT,AHMADABAD,Cotton(lint),2018,Kharif     ,103200.0,179965.0,1.74
GUJARAT,AHMADABAD,Cotton(lint),2019,Kharif     ,113401.0,183140.0,1.61
GUJARAT,AMRELI,Cotton(lint),1997,Whole Year ,79700.0,228200.0,2.86
GUJARAT,AMRELI,Cotton(lint),1998,Kharif     ,90100.0,371900.0,4.13
GUJARAT,AMRELI,Cotton(lint),1999,Kharif     ,93500.0,124500.0,1.33
GUJARAT,AMRELI,Cotton(lint),2002,Kharif     ,88800.0,140400.0,1.58
GUJARAT,AMRELI,Cotton(lint),2003,Kharif     ,104000.0,339200.0,3.26
GUJARAT,AMRELI,Cotton(lint),2004,Kharif     ,116400.0,290800.0,2.5
GUJARAT,AMRELI,Cotton(lint),2005,Kharif     ,148100.0,567100.0,3.83
GUJARAT,AMRELI,Cotton(lint),2006,Kharif     ,194300.0,890100.0,4.58
GUJARAT,AMRELI,Cotton(lint),2007,Kharif     ,235600.0,891700.0,3.78
GUJARAT,AMRELI,Cotton(lint),2008,Kharif     ,227100.0,760800.0,3.35
GUJARAT,AMRELI,Cotton(lint),2009,Kharif     ,245500.0,685600.0,2.79
GUJARAT,AMRELI,Cotton(lint),2010,Kharif     ,269400.0,1142600.0,4.24
GUJARAT,AMRELI,Cotton(lint),2011,Kharif     ,388900.0,1009900.0,2.6
GUJARAT,AMRELI,Cotton(lint),2013,Kharif     ,347234.0,1915027.0,5.52
GUJARAT,AMRELI,Cotton(lint),2014,Kharif     ,412952.0,749800.0,1.82
GUJARAT,AMRELI,Cotton(lint),2015,Kharif     ,378757.0,1060172.0,2.8
GUJARAT,AMRELI,Cotton(lint),2016,Kharif     ,348632.0,584455.0,1.68
GUJARAT,AMRELI,Cotton(lint),2017,Kharif     ,374746.0,835007.0,2.23
GUJARAT,AMRELI,Cotton(lint),2018,Kharif     ,402302.0,552628.0,1.37
GUJARAT,AMRELI,Cotton(lint),2019,Kharif     ,402664.0,1466989.0,3.64
GUJARAT,ANAND,Cotton(lint),2003,Kharif     ,1200.0,3900.0,3.25
GUJARAT,ANAND,Cotton(lint),2004,Kharif     ,3800.0,15400.0,4.05
GUJARAT,ANAND,Cotton(lint),2005,Kharif     ,3400.0,12800.0,3.76
GUJARAT,ANAND,Cotton(lint),2006,Kharif     ,3600.0,10900.0,3.03
