State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
HARYANA,BHIWANI,Cotton(lint),1997,Whole Year ,55000.0,85000.0,1.55
HARYANA,BHIWANI,Cotton(lint),1998,Kharif     ,54800.0,97000.0,1.77
HARYANA,BHIWANI,Cotton(lint),1999,Kharif     ,50459.0,122000.0,2.42
HARYANA,BHIWANI,Cotton(lint),2000,Kharif     ,47478.0,109000.0,2.3
HARYANA,BHIWANI,Cotton(lint),2001,Kharif     ,64668.0,80000.0,1.24
HARYANA,BHIWANI,Cotton(lint),2002,Kharif     ,64628.0,84000.0,1.3
HARYANA,BHIWANI,Cotton(lint),2003,Kharif     ,61897.0,121000.0,1.95
HARYANA,BHIWANI,Cotton(lint),2004,Kharif     ,73039.0,176000.0,2.41
HARYANA,BHIWANI,Cotton(lint),2005,Kharif     ,60491.0,105000.0,1.74
HARYANA,BHIWANI,Cotton(lint),2006,Kharif     ,48614.0,103000.0,2.12
HARYANA,BHIWANI,Cotton(lint),2007,Kharif     ,37338.0,99000.0,2.65
HARYANA,BHIWANI,Cotton(lint),2008,Kharif     ,29815.0,74000.0,2.48
HARYANA,BHIWANI,Cotton(lint),2009,Kharif     ,32829.0,88000.0,2.68
HARYANA,BHIWANI,Cotton(lint),2010,Kharif     ,34882.0,106000.0,3.04
HARYANA,BHIWANI,Cotton(lint),2011,Kharif     ,59565.0,216000.0,3.63
HARYANA,BHIWANI,Cotton(lint),2012,Kharif     ,62612.0,231000.0,3.69
HARYANA,BHIWANI,Cotton(lint),2013,Kharif     ,60000.0,185000.0,3.08
HARYANA,BHIWANI,Cotton(lint),2014,Kharif     ,97000.0,252000.0,2.6
HARYANA,BHIWANI,Cotton(lint),2015,Kharif     ,93000.0,183000.0,1.97
HARYANA,BHIWANI,Cotton(lint),2016,Kharif     ,87600.0,266900.0,3.05
HARYANA,BHIWANI,Cotton(lint),2017,Kharif     ,86400.0,204200.0,2.36
HARYANA,BHIWANI,Cotton(lint),2018,Kharif     ,103100.0,194700.0,1.89
HARYANA,BHIWANI,Cotton(lint),2019,Kharif     ,100900.0,265300.0,2.63
HARYANA,CHARKI DADRI,Cotton(lint),2017,Kharif     ,27600.0,45300.0,1.64
HARYANA,CHARKI DADRI,Cotton(lint),2018,Kharif     ,36100.0,68200.0,1.89
HARYANA,CHARKI DADRI,Cotton(lint),2019,Kharif     ,32400.0,74900.0,2.31
HARYANA,FARIDABAD,Cotton(lint),2016,Kharif     ,100.0,400.0,4.0
HARYANA,FARIDABAD,Cotton(lint),2017,Kharif     ,200.0,500.0,2.5
HARYANA,FARIDABAD,Cotton(lint),2018,Kharif     ,500.0,1200.0,2.4
HARYANA,FARIDABAD,Cotton(lint),2019,Kharif     ,700.0,2100.0,3.0
HARYANA,FATEHABAD,Cotton(lint),1997,Whole Year ,108000.0,194000.0,1.8
HARYANA,FATEHABAD,Cotton(lint),1998,Kharif     ,102017.0,162000.0,1.59
HARYANA,FATEHABAD,Cotton(lint),1999,Kharif     ,95677.0,243000.0,2.54
HARYANA,FATEHABAD,Cotton(lint),2000,Kharif     ,107704.0,289000.0,2.68
HARYANA,FATEHABAD,Cotton(lint),2001,Kharif     ,114880.0,136000.0,1.18
HARYANA,FATEHABAD,Cotton(lint),2002,Kharif     ,80297.0,170000.0,2.12
