State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
KARNATKA,BAGALKOTE,Cotton(lint),1998,Kharif     ,15225.0,22129.0,1.45
KARNATKA,BAGALKOTE,Cotton(lint),1999,Kharif     ,11979.0,18434.0,1.54
KARNATKA,BAGALKOTE,Cotton(lint),2000,Kharif     ,15767.0,23002.0,1.46
KARNATKA,BAGALKOTE,Cotton(lint),2001,Kharif     ,14104.0,22539.0,1.6
KARNATKA,BAGALKOTE,Cotton(lint),2002,Kharif     ,3511.0,5149.0,1.47
KARNATKA,BAGALKOTE,Cotton(lint),2003,Kharif     ,3226.0,6374.0,1.98
KARNATKA,BAGALKOTE,Cotton(lint),2004,Kharif     ,7315.0,12172.0,1.66
KARNATKA,BAGALKOTE,Cotton(lint),2005,Whole Year ,5632.0,9351.0,1.66
KARNATKA,BAGALKOTE,Cotton(lint),2006,Whole Year ,2974.0,4695.0,1.58
KARNATKA,BAGALKOTE,Cotton(lint),2007,Whole Year ,2660.0,3791.0,1.43
KARNATKA,BAGALKOTE,Cotton(lint),2008,Whole Year ,2466.0,5901.0,2.39
KARNATKA,BAGALKOTE,Cotton(lint),2009,Whole Year ,2824.0,4402.0,1.56
KARNATKA,BAGALKOTE,Cotton(lint),2010,Kharif     ,1034.0,2338.0,2.26
KARNATKA,BAGALKOTE,Cotton(lint),2010,Rabi       ,1357.0,1938.0,1.43
KARNATKA,BAGALKOTE,Cotton(lint),2011,Kharif     ,1007.0,2450.0,2.43
KARNATKA,BAGALKOTE,Cotton(lint),2011,Rabi       ,874.0,928.0,1.06
KARNATKA,BAGALKOTE,Cotton(lint),2012,Kharif     ,477.0,909.0,1.91
KARNATKA,BAGALKOTE,Cotton(lint),2012,Rabi       ,328.0,409.0,1.25
KARNATKA,BAGALKOTE,Cotton(lint),2013,Kharif     ,606.0,1795.0,2.96
KARNATKA,BAGALKOTE,Cotton(lint),2013,Rabi       ,354.0,653.0,1.84
KARNATKA,BAGALKOTE,Cotton(lint),2014,Kharif     ,3299.0,8996.0,2.73
KARNATKA,BAGALKOTE,Cotton(lint),2014,Rabi       ,210.0,334.0,1.59
KARNATKA,BAGALKOTE,Cotton(lint),2014,Summer     ,350.0,663.0,1.89
KARNATKA,BAGALKOTE,Cotton(lint),2015,Kharif     ,1618.0,6401.0,3.96
KARNATKA,BAGALKOTE,Cotton(lint),2015,Rabi       ,200.0,239.0,1.2
KARNATKA,BAGALKOTE,Cotton(lint),2015,Summer     ,2.0,4.0,2.0
KARNATKA,BAGALKOTE,Cotton(lint),2016,Kharif     ,794.0,1664.0,2.1
KARNATKA,BAGALKOTE,Cotton(lint),2017,Kharif     ,1389.0,4859.0,3.5
KARNATKA,BAGALKOTE,Cotton(lint),2018,Kharif     ,1006.0,1973.0,1.96
KARNATKA,BAGALKOTE,Cotton(lint),2019,Kharif     ,1052.0,3039.0,2.89
KARNATKA,BALLARI,Cotton(lint),1998,Kharif     ,66412.0,85696.0,1.29
KARNATKA,BALLARI,Cotton(lint),1999,Kharif     ,55563.0,55883.0,1.01
KARNATKA,BALLARI,Cotton(lint),2000,Kharif     ,52037.0,68670.0,1.32
KARNATKA,BALLARI,Cotton(lint),2001,Kharif     ,51505.0,69414.0,1.35
KARNATKA,BALLARI,Cotton(lint),2002,Kharif     ,35188.0,38941.0,1.11
KARNATKA,BALLARI,Cotton(lint),2004,Kharif     ,42373.0,48777.0,1.15
KARNATKA,BALLARI,Cotton(lint),2005,Whole Year ,26690.0,35262.0,1.32
KARNATKA,BALLARI,Cotton(lint),2006,Whole Year ,19167.0,28963.0,1.51
KARNATKA,BALLARI,Cotton(lint),2007,Whole Year ,26604.0,48546.0,1.82
KARNATKA,BALLARI,Cotton(lint),2008,Whole Year ,19627.0,36344.0,1.85
KARNATKA,BALLARI,Cotton(lint),2009,Whole Year ,25269.0,47008.0,1.86
KARNATKA,BALLARI,Cotton(lint),2010,Kharif     ,37118.0,100359.0,2.7
KARNATKA,BALLARI,Cotton(lint),2010,Rabi       ,7774.0,20933.0,2.69
KARNATKA,BALLARI,Cotton(lint),2011,Kharif     ,37717.0,80774.0,2.14
KARNATKA,BALLARI,Cotton(lint),2011,Rabi       ,4654.0,7285.0,1.57
KARNATKA,BALLARI,Cotton(lint),2012,Kharif     ,62710.0,171708.0,2.74
KARNATKA,BALLARI,Cotton(lint),2012,Rabi       ,1869.0,2026.0,1.08
KARNATKA,BALLARI,Cotton(lint),2012,Summer     ,922.0,2555.0,2.77
KARNATKA,BALLARI,Cotton(lint),2013,Kharif     ,72108.0,184949.0,2.56
KARNATKA,BALLARI,Cotton(lint),2013,Rabi       ,1096.0,2021.0,1.84
KARNATKA,BALLARI,Cotton(lint),2013,Summer     ,1095.0,3947.0,3.6
KARNATKA,BALLARI,Cotton(lint),2014,Kharif     ,78646.0,242150.0,3.08
KARNATKA,BALLARI,Cotton(lint),2014,Rabi       ,2687.0,4369.0,1.63
KARNATKA,BALLARI,Cotton(lint),2014,Summer     ,1010.0,1913.0,1.89
KARNATKA,BALLARI,Cotton(lint),2015,Kharif     ,65890.0,142491.0,2.16
KARNATKA,BALLARI,Cotton(lint),2015,Rabi       ,1171.0,2716.0,2.32
KARNATKA,BALLARI,Cotton(lint),2015,Summer     ,989.0,2095.0,2.12
KARNATKA,BALLARI,Cotton(lint),2016,Kharif     ,48032.0,133665.0,2.78
KARNATKA,BALLARI,Cotton(lint),2017,Kharif     ,58997.0,198794.0,3.37
KARNATKA,BALLARI,Cotton(lint),2018,Kharif     ,45465.0,119916.0,2.64
KARNATKA,BALLARI,Cotton(lint),2019,Kharif     ,55927.0,171886.0,3.07
KARNATKA,BANGALORE RURAL,Cotton(lint),2013,Kharif     ,2.0,6.0,3.0
KARNATKA,BANGALORE RURAL,Cotton(lint),2015,Kharif     ,2.0,4.0,2.0
KARNATKA,BANGALORE RURAL,Cotton(lint),2018,Kharif     ,3.0,6.0,2.0
KARNATKA,BANGALORE RURAL,Cotton(lint),2019,Kharif     ,2.0,6.0,3.0
KARNATKA,BANGALORE RURAL,Cotton(lint),2019,Rabi       ,1.0,1.0,1.0
KARNATKA,BELAGAVI,Cotton(lint),1998,Kharif     ,65829.0,98969.0,1.5
KARNATKA,BELAGAVI,Cotton(lint),1999,Kharif     ,49070.0,86693.0,1.77
KARNATKA,BELAGAVI,Cotton(lint),2000,Kharif     ,49186.0,94627.0,1.92
KARNATKA,BELAGAVI,Cotton(lint),2001,Kharif     ,40767.0,50651.0,1.24
KARNATKA,BELAGAVI,Cotton(lint),2002,Kharif     ,29028.0,31313.0,1.08
KARNATKA,BELAGAVI,Cotton(lint),2004,Kharif     ,37659.0,62440.0,1.66
KARNATKA,BELAGAVI,Cotton(lint),2005,Whole Year ,28359.0,41840.0,1.48
KARNATKA,BELAGAVI,Cotton(lint),2006,Whole Year ,28247.0,50807.0,1.8
KARNATKA,BELAGAVI,Cotton(lint),2007,Whole Year ,21050.0,51444.0,2.44
KARNATKA,BELAGAVI,Cotton(lint),2008,Whole Year ,20041.0,38609.0,1.93
KARNATKA,BELAGAVI,Cotton(lint),2009,Whole Year ,30046.0,63454.0,2.11
KARNATKA,BELAGAVI,Cotton(lint),2010,Kharif     ,37660.0,83178.0,2.21
KARNATKA,BELAGAVI,Cotton(lint),2010,Rabi       ,671.0,1277.0,1.9
KARNATKA,BELAGAVI,Cotton(lint),2011,Kharif     ,37618.0,84884.0,2.26
KARNATKA,BELAGAVI,Cotton(lint),2011,Rabi       ,394.0,744.0,1.89
KARNATKA,BELAGAVI,Cotton(lint),2012,Kharif     ,22513.0,41389.0,1.84
KARNATKA,BELAGAVI,Cotton(lint),2012,Summer     ,162.0,449.0,2.77
KARNATKA,BELAGAVI,Cotton(lint),2013,Kharif     ,29844.0,83384.0,2.79
KARNATKA,BELAGAVI,Cotton(lint),2013,Rabi       ,1256.0,2316.0,1.84
KARNATKA,BELAGAVI,Cotton(lint),2013,Summer     ,265.0,955.0,3.6
KARNATKA,BELAGAVI,Cotton(lint),2014,Kharif     ,39811.0,108785.0,2.73
KARNATKA,BELAGAVI,Cotton(lint),2014,Rabi       ,470.0,749.0,1.59
KARNATKA,BELAGAVI,Cotton(lint),2014,Summer     ,29.0,55.0,1.9
KARNATKA,BELAGAVI,Cotton(lint),2015,Kharif     ,39429.0,58828.0,1.49
KARNATKA,BELAGAVI,Cotton(lint),2015,Rabi       ,110.0,132.0,1.2
KARNATKA,BELAGAVI,Cotton(lint),2015,Summer     ,39.0,83.0,2.13
KARNATKA,BELAGAVI,Cotton(lint),2016,Kharif     ,54634.0,145320.0,2.66
KARNATKA,BELAGAVI,Cotton(lint),2017,Kharif     ,30997.0,101675.0,3.28
KARNATKA,BELAGAVI,Cotton(lint),2018,Kharif     ,63580.0,167339.0,2.63
KARNATKA,BELAGAVI,Cotton(lint),2019,Kharif     ,42272.0,92597.0,2.19
KARNATKA,BENGALURU URBAN,Cotton(lint),2018,Kharif     ,14.0,27.0,1.93
KARNATKA,BENGALURU URBAN,Cotton(lint),2019,Kharif     ,3.0,9.0,3.0
KARNATKA,BIDAR,Cotton(lint),1999,Kharif     ,2817.0,3001.0,1.07
