State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2011,Kharif     ,6223.0,6776.0,1.09
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2012,Kharif     ,7239.0,9035.0,1.25
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2013,Kharif     ,7870.0,16717.0,2.12
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2014,Kharif     ,27000.0,27000.0,1.0
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2015,Kharif     ,9000.0,11000.0,1.22
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2016,Kharif     ,7000.0,7000.0,1.0
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2017,Kharif     ,9000.0,9250.0,1.03
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2018,Kharif     ,11171.0,21527.0,1.93
MADHYA PRADESH,ALIRAJPUR,Cotton(lint),2019,Kharif     ,20379.0,25718.0,1.26
MADHYA PRADESH,ASHOKNAGAR,Cotton(lint),2011,Kharif     ,3.0,5.0,1.67
MADHYA PRADESH,BARWANI,Cotton(lint),2010,Kharif     ,61553.0,79751.0,1.3
MADHYA PRADESH,BARWANI,Cotton(lint),2011,Kharif     ,62091.0,83150.0,1.34
MADHYA PRADESH,BARWANI,Cotton(lint),2012,Kharif     ,64488.0,308540.0,4.78
MADHYA PRADESH,BARWANI,Cotton(lint),2013,Kharif     ,65882.0,198850.0,3.02
MADHYA PRADESH,BARWANI,Cotton(lint),2014,Kharif     ,76000.0,81000.0,1.07
MADHYA PRADESH,BARWANI,Cotton(lint),2015,Kharif     ,70000.0,80000.0,1.14
MADHYA PRADESH,BARWANI,Cotton(lint),2016,Kharif     ,62000.0,135000.0,2.18
MADHYA PRADESH,BARWANI,Cotton(lint),2017,Kharif     ,64000.0,132160.0,2.07
MADHYA PRADESH,BARWANI,Cotton(lint),2018,Kharif     ,72709.0,265679.0,3.65
MADHYA PRADESH,BARWANI,Cotton(lint),2019,Kharif     ,81857.0,133591.0,1.63
MADHYA PRADESH,BETUL,Cotton(lint),1997,Kharif     ,1500.0,2000.0,1.33
MADHYA PRADESH,BETUL,Cotton(lint),2011,Kharif     ,219.0,303.0,1.38
MADHYA PRADESH,BETUL,Cotton(lint),2012,Kharif     ,320.0,505.0,1.58
MADHYA PRADESH,BETUL,Cotton(lint),2013,Kharif     ,214.0,221.0,1.03
MADHYA PRADESH,BETUL,Cotton(lint),2014,Kharif     ,5000.0,5000.0,1.0
MADHYA PRADESH,BETUL,Cotton(lint),2017,Kharif     ,300.0,460.0,1.53
MADHYA PRADESH,BURHANPUR,Cotton(lint),2011,Kharif     ,44348.0,63738.0,1.44
MADHYA PRADESH,BURHANPUR,Cotton(lint),2012,Kharif     ,43248.0,74596.0,1.72
MADHYA PRADESH,BURHANPUR,Cotton(lint),2013,Kharif     ,42221.0,119578.0,2.83
MADHYA PRADESH,BURHANPUR,Cotton(lint),2015,Kharif     ,43000.0,48000.0,1.12
MADHYA PRADESH,BURHANPUR,Cotton(lint),2016,Kharif     ,45000.0,98000.0,2.18
MADHYA PRADESH,BURHANPUR,Cotton(lint),2017,Kharif     ,47100.0,95000.0,2.02
