State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),1998,Kharif     ,12100.0,19900.0,1.64
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),1999,Kharif     ,15000.0,22600.0,1.51
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2000,Kharif     ,15700.0,25600.0,1.63
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2001,Kharif     ,13500.0,16700.0,1.24
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2003,Kharif     ,10400.0,10400.0,1.0
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2004,Kharif     ,15900.0,26700.0,1.68
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2005,Kharif     ,16600.0,22800.0,1.37
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2006,Kharif     ,20600.0,36500.0,1.77
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2007,Kharif     ,40000.0,82100.0,2.05
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2008,Kharif     ,59300.0,93300.0,1.57
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2009,Kharif     ,82700.0,125100.0,1.51
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2010,Kharif     ,101700.0,221100.0,2.17
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2011,Kharif     ,112000.0,238100.0,2.13
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2013,Kharif     ,104700.0,222400.0,2.12
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2016,Kharif     ,132400.0,139400.0,1.05
MAHARASHTRA,AHMEDNAGAR,Cotton(lint),2017,Kharif     ,132800.0,220600.0,1.66
MAHARASHTRA,AKOLA,Cotton(lint),2002,Kharif     ,222900.0,224600.0,1.01
MAHARASHTRA,AKOLA,Cotton(lint),2006,Kharif     ,204900.0,440200.0,2.15
MAHARASHTRA,AKOLA,Cotton(lint),2007,Kharif     ,188600.0,370700.0,1.97
MAHARASHTRA,AKOLA,Cotton(lint),2008,Kharif     ,168300.0,289000.0,1.72
MAHARASHTRA,AKOLA,Cotton(lint),2009,Kharif     ,163300.0,277100.0,1.7
MAHARASHTRA,AKOLA,Cotton(lint),2010,Kharif     ,167800.0,268900.0,1.6
MAHARASHTRA,AKOLA,Cotton(lint),2011,Kharif     ,169400.0,259300.0,1.53
MAHARASHTRA,AKOLA,Cotton(lint),2012,Kharif     ,169400.0,324000.0,1.91
MAHARASHTRA,AKOLA,Cotton(lint),2013,Kharif     ,147300.0,343600.0,2.33
MAHARASHTRA,AKOLA,Cotton(lint),2015,Kharif     ,142900.0,194900.0,1.36
MAHARASHTRA,AKOLA,Cotton(lint),2016,Kharif     ,155100.0,442700.0,2.85
MAHARASHTRA,AKOLA,Cotton(lint),2017,Kharif     ,164550.0,240400.0,1.46
MAHARASHTRA,AKOLA,Cotton(lint),2018,Kharif     ,168836.0,419575.0,2.49
MAHARASHTRA,AKOLA,Cotton(lint),2019,Kharif     ,154440.0,380667.0,2.46
MAHARASHTRA,AMRAVATI,Cotton(lint),1997,Whole Year ,3509.0,120200.0,34.25
MAHARASHTRA,AMRAVATI,Cotton(lint),2003,Kharif     ,266600.0,272300.0,1.02
MAHARASHTRA,AMRAVATI,Cotton(lint),2007,Kharif     ,175400.0,353100.0,2.01
MAHARASHTRA,AMRAVATI,Cotton(lint),2008,Kharif     ,116100.0,185000.0,1.59
MAHARASHTRA,AMRAVATI,Cotton(lint),2009,Kharif     ,179400.0,309200.0,1.72
MAHARASHTRA,AMRAVATI,Cotton(lint),2010,Kharif     ,204300.0,336200.0,1.65
MAHARASHTRA,AMRAVATI,Cotton(lint),2011,Kharif     ,187400.0,270200.0,1.44
MAHARASHTRA,AMRAVATI,Cotton(lint),2012,Kharif     ,191300.0,611500.0,3.2
MAHARASHTRA,AMRAVATI,Cotton(lint),2013,Kharif     ,186700.0,633200.0,3.39
MAHARASHTRA,AMRAVATI,Cotton(lint),2014,Kharif     ,196500.0,196200.0,1.0
MAHARASHTRA,AMRAVATI,Cotton(lint),2015,Kharif     ,200000.0,417000.0,2.09
MAHARASHTRA,AMRAVATI,Cotton(lint),2016,Kharif     ,200300.0,804000.0,4.01
MAHARASHTRA,AMRAVATI,Cotton(lint),2017,Kharif     ,207457.0,380300.0,1.83
