State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
PUNJAB,AMRITSAR,Cotton(lint),1999,Kharif     ,2000.0,3000.0,1.5
PUNJAB,AMRITSAR,Cotton(lint),2000,Kharif     ,2000.0,2000.0,1.0
PUNJAB,AMRITSAR,Cotton(lint),2001,Kharif     ,2000.0,3000.0,1.5
PUNJAB,AMRITSAR,Cotton(lint),2002,Kharif     ,1000.0,1000.0,1.0
PUNJAB,AMRITSAR,Cotton(lint),2003,Kharif     ,1000.0,2000.0,2.0
PUNJAB,AMRITSAR,Cotton(lint),2004,Kharif     ,1000.0,3000.0,3.0
PUNJAB,AMRITSAR,Cotton(lint),2005,Kharif     ,1000.0,3000.0,3.0
PUNJAB,BARNALA,Cotton(lint),2007,Kharif     ,14000.0,81000.0,5.79
PUNJAB,BARNALA,Cotton(lint),2008,Kharif     ,12000.0,57000.0,4.75
PUNJAB,BARNALA,Cotton(lint),2009,Kharif     ,11000.0,50000.0,4.55
PUNJAB,BARNALA,Cotton(lint),2010,Kharif     ,10000.0,40000.0,4.0
PUNJAB,BARNALA,Cotton(lint),2011,Kharif     ,11000.0,44000.0,4.0
PUNJAB,BARNALA,Cotton(lint),2012,Kharif     ,9000.0,32000.0,3.56
PUNJAB,BARNALA,Cotton(lint),2013,Kharif     ,9000.0,37000.0,4.11
PUNJAB,BARNALA,Cotton(lint),2014,Kharif     ,8000.0,31000.0,3.88
PUNJAB,BARNALA,Cotton(lint),2015,Kharif     ,5000.0,5000.0,1.0
PUNJAB,BARNALA,Cotton(lint),2016,Kharif     ,3000.0,14000.0,4.67
PUNJAB,BARNALA,Cotton(lint),2017,Kharif     ,3000.0,12000.0,4.0
PUNJAB,BARNALA,Cotton(lint),2018,Kharif     ,2600.0,9900.0,3.81
PUNJAB,BARNALA,Cotton(lint),2019,Kharif     ,1600.0,7600.0,4.75
PUNJAB,BATHINDA,Cotton(lint),1997,Whole Year ,199000.0,286000.0,1.44
PUNJAB,BATHINDA,Cotton(lint),1998,Kharif     ,170000.0,173000.0,1.02
PUNJAB,BATHINDA,Cotton(lint),1999,Kharif     ,151000.0,279000.0,1.85
PUNJAB,BATHINDA,Cotton(lint),2000,Kharif     ,147000.0,331000.0,2.25
PUNJAB,BATHINDA,Cotton(lint),2001,Kharif     ,162000.0,375000.0,2.31
PUNJAB,BATHINDA,Cotton(lint),2002,Kharif     ,125000.0,347000.0,2.78
PUNJAB,BATHINDA,Cotton(lint),2003,Kharif     ,128000.0,411000.0,3.21
PUNJAB,BATHINDA,Cotton(lint),2004,Kharif     ,141000.0,593000.0,4.21
PUNJAB,BATHINDA,Cotton(lint),2005,Kharif     ,151000.0,659000.0,4.36
PUNJAB,BATHINDA,Cotton(lint),2006,Kharif     ,161000.0,739000.0,4.59
