State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
RAJASTHAN,AJMER,Cotton(lint),1997,Kharif     ,16000.0,31176.0,1.95
RAJASTHAN,AJMER,Cotton(lint),2000,Kharif     ,8155.0,12341.0,1.51
RAJASTHAN,AJMER,Cotton(lint),2001,Kharif     ,11586.0,21106.0,1.82
RAJASTHAN,AJMER,Cotton(lint),2003,Kharif     ,6139.0,8970.0,1.46
RAJASTHAN,AJMER,Cotton(lint),2004,Kharif     ,12327.0,24170.0,1.96
RAJASTHAN,AJMER,Cotton(lint),2005,Kharif     ,10406.0,10488.0,1.01
RAJASTHAN,AJMER,Cotton(lint),2006,Kharif     ,5612.0,11925.0,2.12
RAJASTHAN,AJMER,Cotton(lint),2007,Kharif     ,5133.0,12718.0,2.48
RAJASTHAN,AJMER,Cotton(lint),2008,Kharif     ,6328.0,10943.0,1.73
RAJASTHAN,AJMER,Cotton(lint),2010,Kharif     ,3281.0,5686.0,1.73
RAJASTHAN,AJMER,Cotton(lint),2011,Kharif     ,11665.0,22085.0,1.89
RAJASTHAN,AJMER,Cotton(lint),2012,Kharif     ,31196.0,34962.0,1.12
RAJASTHAN,AJMER,Cotton(lint),2013,Kharif     ,15278.0,47205.0,3.09
RAJASTHAN,AJMER,Cotton(lint),2014,Kharif     ,17286.0,61734.0,3.57
RAJASTHAN,AJMER,Cotton(lint),2015,Kharif     ,14403.0,37826.0,2.63
RAJASTHAN,AJMER,Cotton(lint),2016,Kharif     ,9852.0,30638.0,3.11
RAJASTHAN,AJMER,Cotton(lint),2017,Kharif     ,12057.0,54805.0,4.55
RAJASTHAN,AJMER,Cotton(lint),2018,Kharif     ,10771.0,47235.0,4.39
RAJASTHAN,AJMER,Cotton(lint),2019,Kharif     ,10063.0,39441.0,3.92
RAJASTHAN,ALWAR,Cotton(lint),1997,Kharif     ,10400.0,11764.0,1.13
RAJASTHAN,ALWAR,Cotton(lint),1998,Kharif     ,15128.0,20104.0,1.33
RAJASTHAN,ALWAR,Cotton(lint),1999,Kharif     ,14519.0,19833.0,1.37
RAJASTHAN,ALWAR,Cotton(lint),2000,Kharif     ,9840.0,17247.0,1.75
RAJASTHAN,ALWAR,Cotton(lint),2002,Kharif     ,13865.0,23382.0,1.69
RAJASTHAN,ALWAR,Cotton(lint),2003,Kharif     ,19364.0,40135.0,2.07
RAJASTHAN,ALWAR,Cotton(lint),2004,Kharif     ,29522.0,54700.0,1.85
RAJASTHAN,ALWAR,Cotton(lint),2005,Kharif     ,19243.0,30111.0,1.56
RAJASTHAN,ALWAR,Cotton(lint),2006,Kharif     ,7230.0,17840.0,2.47
RAJASTHAN,ALWAR,Cotton(lint),2007,Kharif     ,2973.0,6309.0,2.12
RAJASTHAN,ALWAR,Cotton(lint),2008,Kharif     ,2372.0,5580.0,2.35
RAJASTHAN,ALWAR,Cotton(lint),2009,Kharif     ,4326.0,9914.0,2.29
RAJASTHAN,ALWAR,Cotton(lint),2010,Kharif     ,3677.0,9055.0,2.46
RAJASTHAN,ALWAR,Cotton(lint),2011,Kharif     ,8752.0,20239.0,2.31
RAJASTHAN,ALWAR,Cotton(lint),2012,Kharif     ,16508.0,42806.0,2.59
RAJASTHAN,ALWAR,Cotton(lint),2013,Kharif     ,12711.0,25831.0,2.03
RAJASTHAN,ALWAR,Cotton(lint),2014,Kharif     ,20543.0,59553.0,2.9
RAJASTHAN,ALWAR,Cotton(lint),2015,Kharif     ,28688.0,76105.0,2.65
RAJASTHAN,ALWAR,Cotton(lint),2016,Kharif     ,35461.0,119791.0,3.38
RAJASTHAN,ALWAR,Cotton(lint),2017,Kharif     ,46162.0,130241.0,2.82
RAJASTHAN,ALWAR,Cotton(lint),2018,Kharif     ,63293.0,136964.0,2.16
RAJASTHAN,ALWAR,Cotton(lint),2019,Kharif     ,72404.0,199282.0,2.75
RAJASTHAN,BANSWARA,Cotton(lint),1997,Kharif     ,8300.0,15882.0,1.91
RAJASTHAN,BANSWARA,Cotton(lint),1998,Kharif     ,7992.0,8379.0,1.05
RAJASTHAN,BANSWARA,Cotton(lint),1999,Kharif     ,8821.0,12813.0,1.45
RAJASTHAN,BANSWARA,Cotton(lint),2003,Kharif     ,12391.0,36929.0,2.98
RAJASTHAN,BANSWARA,Cotton(lint),2004,Kharif     ,15656.0,25141.0,1.61
RAJASTHAN,BANSWARA,Cotton(lint),2005,Kharif     ,14147.0,31705.0,2.24
RAJASTHAN,BANSWARA,Cotton(lint),2006,Kharif     ,13193.0,14453.0,1.1
RAJASTHAN,BANSWARA,Cotton(lint),2007,Kharif     ,11365.0,18928.0,1.67
RAJASTHAN,BANSWARA,Cotton(lint),2008,Kharif     ,10390.0,14559.0,1.4
RAJASTHAN,BANSWARA,Cotton(lint),2009,Kharif     ,11021.0,19428.0,1.76
RAJASTHAN,BANSWARA,Cotton(lint),2010,Kharif     ,11308.0,25390.0,2.25
RAJASTHAN,BANSWARA,Cotton(lint),2011,Kharif     ,11954.0,24949.0,2.09
RAJASTHAN,BANSWARA,Cotton(lint),2012,Kharif     ,15429.0,23955.0,1.55
RAJASTHAN,BANSWARA,Cotton(lint),2013,Kharif     ,11683.0,29329.0,2.51
RAJASTHAN,BANSWARA,Cotton(lint),2015,Kharif     ,10985.0,23602.0,2.15
RAJASTHAN,BANSWARA,Cotton(lint),2016,Kharif     ,10790.0,20545.0,1.9
RAJASTHAN,BANSWARA,Cotton(lint),2017,Kharif     ,10576.0,34823.0,3.29
RAJASTHAN,BANSWARA,Cotton(lint),2018,Kharif     ,10709.0,23976.0,2.24
RAJASTHAN,BANSWARA,Cotton(lint),2019,Kharif     ,10385.0,39511.0,3.8
RAJASTHAN,BARAN,Cotton(lint),2009,Kharif     ,38.0,76.0,2.01
RAJASTHAN,BARAN,Cotton(lint),2010,Kharif     ,2.0,6.0,2.94
RAJASTHAN,BARAN,Cotton(lint),2011,Kharif     ,49.0,147.0,3.0
RAJASTHAN,BARAN,Cotton(lint),2012,Kharif     ,14.0,41.0,2.94
RAJASTHAN,BARAN,Cotton(lint),2013,Kharif     ,1.0,6.0,5.88
RAJASTHAN,BARAN,Cotton(lint),2015,Kharif     ,2.0,6.0,2.94
RAJASTHAN,BARAN,Cotton(lint),2018,Kharif     ,9.0,29.0,3.27
RAJASTHAN,BARMER,Cotton(lint),1998,Kharif     ,166.0,223.0,1.35
RAJASTHAN,BARMER,Cotton(lint),1999,Kharif     ,90.0,153.0,1.7
RAJASTHAN,BARMER,Cotton(lint),2000,Kharif     ,16.0,24.0,1.5
RAJASTHAN,BARMER,Cotton(lint),2004,Kharif     ,3.0,5.0,1.67
RAJASTHAN,BARMER,Cotton(lint),2005,Kharif     ,3.0,5.0,1.67
RAJASTHAN,BARMER,Cotton(lint),2006,Kharif     ,14.0,29.0,2.1
RAJASTHAN,BARMER,Cotton(lint),2007,Kharif     ,5.0,12.0,2.35
RAJASTHAN,BARMER,Cotton(lint),2008,Kharif     ,14.0,35.0,2.52
RAJASTHAN,BARMER,Cotton(lint),2009,Kharif     ,10.0,18.0,1.76
RAJASTHAN,BARMER,Cotton(lint),2010,Kharif     ,9.0,24.0,2.61
RAJASTHAN,BARMER,Cotton(lint),2011,Kharif     ,9.0,29.0,3.27
RAJASTHAN,BARMER,Cotton(lint),2012,Kharif     ,4.0,12.0,2.94
RAJASTHAN,BARMER,Cotton(lint),2013,Kharif     ,3.0,12.0,3.92
RAJASTHAN,BARMER,Cotton(lint),2014,Kharif     ,3.0,12.0,3.92
RAJASTHAN,BARMER,Cotton(lint),2015,Kharif     ,2.0,6.0,2.94
RAJASTHAN,BARMER,Cotton(lint),2016,Kharif     ,1.0,3.0,3.0
RAJASTHAN,BHARATPUR,Cotton(lint),1997,Kharif     ,900.0,1176.0,1.31
RAJASTHAN,BHARATPUR,Cotton(lint),1998,Kharif     ,1084.0,1464.0,1.35
RAJASTHAN,BHARATPUR,Cotton(lint),1999,Kharif     ,1015.0,1711.0,1.69
RAJASTHAN,BHARATPUR,Cotton(lint),2000,Kharif     ,607.0,959.0,1.58
RAJASTHAN,BHARATPUR,Cotton(lint),2003,Kharif     ,860.0,1776.0,2.07
RAJASTHAN,BHARATPUR,Cotton(lint),2004,Kharif     ,1595.0,2788.0,1.75
RAJASTHAN,BHARATPUR,Cotton(lint),2005,Kharif     ,1433.0,2676.0,1.87
RAJASTHAN,BHARATPUR,Cotton(lint),2006,Kharif     ,492.0,1053.0,2.14
RAJASTHAN,BHARATPUR,Cotton(lint),2007,Kharif     ,306.0,717.0,2.34
RAJASTHAN,BHARATPUR,Cotton(lint),2008,Kharif     ,125.0,300.0,2.4
RAJASTHAN,BHARATPUR,Cotton(lint),2009,Kharif     ,149.0,306.0,2.05
RAJASTHAN,BHARATPUR,Cotton(lint),2010,Kharif     ,97.0,247.0,2.55
RAJASTHAN,BHARATPUR,Cotton(lint),2011,Kharif     ,454.0,1382.0,3.04
RAJASTHAN,BHARATPUR,Cotton(lint),2012,Kharif     ,1529.0,4463.0,2.92
RAJASTHAN,BHARATPUR,Cotton(lint),2013,Kharif     ,1403.0,4592.0,3.27
RAJASTHAN,BHARATPUR,Cotton(lint),2014,Kharif     ,2934.0,9208.0,3.14
RAJASTHAN,BHARATPUR,Cotton(lint),2015,Kharif     ,6159.0,16699.0,2.71
RAJASTHAN,BHARATPUR,Cotton(lint),2016,Kharif     ,7002.0,10720.0,1.53
RAJASTHAN,BHARATPUR,Cotton(lint),2017,Kharif     ,6997.0,20852.0,2.98
RAJASTHAN,BHARATPUR,Cotton(lint),2018,Kharif     ,7563.0,14370.0,1.9
RAJASTHAN,BHARATPUR,Cotton(lint),2019,Kharif     ,7557.0,22852.0,3.02
RAJASTHAN,BHILWARA,Cotton(lint),1997,Kharif     ,23100.0,41764.0,1.81
RAJASTHAN,BHILWARA,Cotton(lint),1998,Kharif     ,18330.0,30823.0,1.68
RAJASTHAN,BHILWARA,Cotton(lint),2000,Kharif     ,7427.0,9059.0,1.22
RAJASTHAN,BHILWARA,Cotton(lint),2003,Kharif     ,6599.0,8152.0,1.24
RAJASTHAN,BHILWARA,Cotton(lint),2004,Kharif     ,9811.0,10947.0,1.12
RAJASTHAN,BHILWARA,Cotton(lint),2005,Kharif     ,12843.0,20447.0,1.59
RAJASTHAN,BHILWARA,Cotton(lint),2006,Kharif     ,6454.0,9249.0,1.43
RAJASTHAN,BHILWARA,Cotton(lint),2007,Kharif     ,8311.0,21879.0,2.63
RAJASTHAN,BHILWARA,Cotton(lint),2008,Kharif     ,15949.0,20492.0,1.28
RAJASTHAN,BHILWARA,Cotton(lint),2010,Kharif     ,12909.0,31881.0,2.47
RAJASTHAN,BHILWARA,Cotton(lint),2011,Kharif     ,38963.0,109368.0,2.81
RAJASTHAN,BHILWARA,Cotton(lint),2012,Kharif     ,50773.0,148329.0,2.92
RAJASTHAN,BHILWARA,Cotton(lint),2013,Kharif     ,39479.0,122380.0,3.1
RAJASTHAN,BHILWARA,Cotton(lint),2014,Kharif     ,45361.0,141349.0,3.12
RAJASTHAN,BHILWARA,Cotton(lint),2015,Kharif     ,44385.0,116706.0,2.63
RAJASTHAN,BHILWARA,Cotton(lint),2016,Kharif     ,31423.0,100806.0,3.21
RAJASTHAN,BHILWARA,Cotton(lint),2017,Kharif     ,41467.0,159294.0,3.84
RAJASTHAN,BHILWARA,Cotton(lint),2018,Kharif     ,42344.0,146217.0,3.45
RAJASTHAN,BHILWARA,Cotton(lint),2019,Kharif     ,44448.0,122311.0,2.75
RAJASTHAN,BIKANER,Cotton(lint),1997,Kharif     ,32000.0,37058.0,1.16
RAJASTHAN,BIKANER,Cotton(lint),1998,Kharif     ,35756.0,72747.0,2.03
RAJASTHAN,BIKANER,Cotton(lint),1999,Kharif     ,35878.0,45711.0,1.27
RAJASTHAN,BIKANER,Cotton(lint),2000,Kharif     ,30688.0,31470.0,1.03
RAJASTHAN,BIKANER,Cotton(lint),2003,Kharif     ,9986.0,11476.0,1.15
RAJASTHAN,BIKANER,Cotton(lint),2004,Kharif     ,5906.0,6405.0,1.08
RAJASTHAN,BIKANER,Cotton(lint),2005,Kharif     ,14701.0,27382.0,1.86
RAJASTHAN,BIKANER,Cotton(lint),2006,Kharif     ,4259.0,8355.0,1.96
RAJASTHAN,BIKANER,Cotton(lint),2007,Kharif     ,4346.0,8138.0,1.87
RAJASTHAN,BIKANER,Cotton(lint),2008,Kharif     ,794.0,1599.0,2.01
RAJASTHAN,BIKANER,Cotton(lint),2010,Kharif     ,514.0,876.0,1.7
RAJASTHAN,BIKANER,Cotton(lint),2011,Kharif     ,7335.0,17734.0,2.42
RAJASTHAN,BIKANER,Cotton(lint),2012,Kharif     ,1720.0,4539.0,2.64
RAJASTHAN,BIKANER,Cotton(lint),2013,Kharif     ,746.0,2264.0,3.03
RAJASTHAN,BIKANER,Cotton(lint),2014,Kharif     ,747.0,1176.0,1.57
RAJASTHAN,BIKANER,Cotton(lint),2015,Kharif     ,631.0,735.0,1.16
RAJASTHAN,BIKANER,Cotton(lint),2016,Kharif     ,662.0,2192.0,3.31
RAJASTHAN,BIKANER,Cotton(lint),2017,Kharif     ,2401.0,7776.0,3.24
RAJASTHAN,BIKANER,Cotton(lint),2018,Kharif     ,5434.0,17641.0,3.25
RAJASTHAN,BIKANER,Cotton(lint),2019,Kharif     ,18190.0,39535.0,2.17
RAJASTHAN,BUNDI,Cotton(lint),1998,Kharif     ,11.0,18.0,1.6
RAJASTHAN,BUNDI,Cotton(lint),1999,Kharif     ,33.0,53.0,1.6
RAJASTHAN,BUNDI,Cotton(lint),2000,Kharif     ,23.0,35.0,1.52
RAJASTHAN,BUNDI,Cotton(lint),2003,Kharif     ,24.0,47.0,1.96
RAJASTHAN,BUNDI,Cotton(lint),2004,Kharif     ,54.0,94.0,1.74
RAJASTHAN,BUNDI,Cotton(lint),2005,Kharif     ,12.0,23.0,1.92
RAJASTHAN,BUNDI,Cotton(lint),2006,Kharif     ,7.0,18.0,2.52
RAJASTHAN,BUNDI,Cotton(lint),2008,Kharif     ,10.0,24.0,2.35
RAJASTHAN,BUNDI,Cotton(lint),2009,Kharif     ,6.0,12.0,1.96
RAJASTHAN,BUNDI,Cotton(lint),2010,Kharif     ,3.0,6.0,1.96
RAJASTHAN,BUNDI,Cotton(lint),2011,Kharif     ,56.0,171.0,3.05
RAJASTHAN,BUNDI,Cotton(lint),2012,Kharif     ,95.0,276.0,2.91
RAJASTHAN,BUNDI,Cotton(lint),2013,Kharif     ,58.0,188.0,3.24
RAJASTHAN,BUNDI,Cotton(lint),2014,Kharif     ,86.0,270.0,3.15
RAJASTHAN,BUNDI,Cotton(lint),2015,Kharif     ,75.0,206.0,2.74
RAJASTHAN,BUNDI,Cotton(lint),2016,Kharif     ,178.0,589.0,3.31
RAJASTHAN,BUNDI,Cotton(lint),2017,Kharif     ,269.0,870.0,3.23
RAJASTHAN,BUNDI,Cotton(lint),2018,Kharif     ,295.0,958.0,3.25
RAJASTHAN,BUNDI,Cotton(lint),2019,Kharif     ,59.0,217.0,3.68
RAJASTHAN,CHITTORGARH,Cotton(lint),1997,Kharif     ,900.0,1176.0,1.31
