State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
ANDHRA PRADESH,ADILABAD,Cotton(lint),1999,Kharif     ,164289.0,206811.0,1.26
ANDHRA PRADESH,ADILABAD,Cotton(lint),2001,Kharif     ,175552.0,270557.0,1.54
ANDHRA PRADESH,ADILABAD,Cotton(lint),2002,Kharif     ,162008.0,171538.0,1.06
ANDHRA PRADESH,ADILABAD,Cotton(lint),2003,Kharif     ,145297.0,288030.0,1.98
ANDHRA PRADESH,ADILABAD,Cotton(lint),2004,Kharif     ,177911.0,236517.0,1.33
ANDHRA PRADESH,ADILABAD,Cotton(lint),2005,Kharif     ,159415.0,269130.0,1.69
ANDHRA PRADESH,ADILABAD,Cotton(lint),2006,Kharif     ,178770.0,360695.0,2.02
ANDHRA PRADESH,ADILABAD,Cotton(lint),2007,Kharif     ,211000.0,643000.0,3.05
ANDHRA PRADESH,ADILABAD,Cotton(lint),2008,Kharif     ,279353.0,616220.0,2.21
ANDHRA PRADESH,ADILABAD,Cotton(lint),2009,Kharif     ,280536.0,552821.0,1.97
ANDHRA PRADESH,ADILABAD,Cotton(lint),2010,Kharif     ,324981.0,659520.0,2.03
ANDHRA PRADESH,ADILABAD,Cotton(lint),2011,Kharif     ,361169.0,529006.0,1.46
ANDHRA PRADESH,ADILABAD,Cotton(lint),2012,Kharif     ,370000.0,723000.0,1.95
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),1997,Kharif     ,7300.0,9400.0,1.29
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),1999,Kharif     ,9453.0,10510.0,1.11
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2000,Kharif     ,12025.0,16128.0,1.34
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2001,Kharif     ,8552.0,9055.0,1.06
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2003,Kharif     ,4212.0,4262.0,1.01
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2005,Kharif     ,3295.0,3450.0,1.05
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2006,Kharif     ,1506.0,1940.0,1.29
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2012,Kharif     ,28000.0,35000.0,1.25
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2013,Kharif     ,37661.0,77316.0,2.05
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2013,Rabi       ,62.0,127.0,2.05
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2014,Kharif     ,73734.0,103779.0,1.41
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2014,Rabi       ,884.0,1244.0,1.41
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2015,Kharif     ,60154.0,100071.0,1.66
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2015,Rabi       ,633.0,1053.0,1.66
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2017,Kharif     ,45438.0,128798.0,2.83
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2017,Rabi       ,114.0,322.0,2.82
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2018,Kharif     ,47976.0,66591.0,1.39
ANDHRA PRADESH,ANANTAPUR,Cotton(lint),2018,Rabi       ,139.0,192.0,1.38
ANDHRA PRADESH,CHITTOOR,Cotton(lint),1999,Kharif     ,2.0,2.0,1.0
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2000,Kharif     ,19.0,25.0,1.32
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2001,Kharif     ,2.0,2.0,1.0
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2005,Kharif     ,4.0,4.0,1.0
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2008,Kharif     ,24.0,37.0,1.54
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2009,Kharif     ,66.0,94.0,1.42
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2012,Kharif     ,1000.0,1000.0,1.0
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2013,Kharif     ,157.0,391.0,2.49
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2013,Rabi       ,194.0,483.0,2.49
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2014,Kharif     ,308.0,723.0,2.35
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2014,Rabi       ,545.0,1278.0,2.34
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2015,Kharif     ,435.0,761.0,1.75
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2015,Rabi       ,707.0,1239.0,1.75
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2016,Kharif     ,517.0,1311.0,2.54
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2016,Rabi       ,259.0,395.0,1.53
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2017,Kharif     ,328.0,877.0,2.67
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2017,Rabi       ,169.0,451.0,2.67
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2018,Kharif     ,177.0,218.0,1.23
ANDHRA PRADESH,CHITTOOR,Cotton(lint),2018,Rabi       ,94.0,117.0,1.24
