State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
UTTAR PRADESH,AGRA,Cotton(lint),2019,Kharif     ,326.0,794.0,2.44
UTTAR PRADESH,ALIGARH,Cotton(lint),1999,Kharif     ,1944.0,1976.0,1.02
UTTAR PRADESH,ALIGARH,Cotton(lint),2001,Kharif     ,1376.0,1424.0,1.03
UTTAR PRADESH,ALIGARH,Cotton(lint),2019,Kharif     ,490.0,706.0,1.44
UTTAR PRADESH,AMROHA,Cotton(lint),2000,Kharif     ,2.0,6.0,3.0
UTTAR PRADESH,BAGHPAT,Cotton(lint),1999,Kharif     ,294.0,376.0,1.28
UTTAR PRADESH,BAGHPAT,Cotton(lint),2000,Kharif     ,174.0,229.0,1.32
UTTAR PRADESH,BAGHPAT,Cotton(lint),2001,Kharif     ,130.0,165.0,1.27
UTTAR PRADESH,BAGHPAT,Cotton(lint),2002,Kharif     ,98.0,106.0,1.08
UTTAR PRADESH,BAGHPAT,Cotton(lint),2019,Kharif     ,22.0,53.0,2.4
UTTAR PRADESH,BANDA,Cotton(lint),2000,Kharif     ,4.0,6.0,1.5
UTTAR PRADESH,BARABANKI,Cotton(lint),2001,Kharif     ,1.0,1.0,1.0
UTTAR PRADESH,BAREILLY,Cotton(lint),2000,Kharif     ,4.0,6.0,1.5
UTTAR PRADESH,BIJNOR,Cotton(lint),1999,Kharif     ,4.0,6.0,1.5
UTTAR PRADESH,BIJNOR,Cotton(lint),2001,Kharif     ,2.0,6.0,3.0
UTTAR PRADESH,BUDAUN,Cotton(lint),2001,Kharif     ,2.0,6.0,3.0
UTTAR PRADESH,BUDAUN,Cotton(lint),2002,Kharif     ,4.0,6.0,1.5
UTTAR PRADESH,BULANDSHAHR,Cotton(lint),1999,Kharif     ,369.0,471.0,1.28
UTTAR PRADESH,BULANDSHAHR,Cotton(lint),2000,Kharif     ,218.0,282.0,1.29
UTTAR PRADESH,BULANDSHAHR,Cotton(lint),2001,Kharif     ,213.0,276.0,1.3
UTTAR PRADESH,BULANDSHAHR,Cotton(lint),2002,Kharif     ,248.0,265.0,1.07
UTTAR PRADESH,BULANDSHAHR,Cotton(lint),2019,Kharif     ,165.0,382.0,2.32
UTTAR PRADESH,ETAH,Cotton(lint),2019,Kharif     ,7.0,18.0,2.51
UTTAR PRADESH,ETAWAH,Cotton(lint),2001,Kharif     ,1.0,1.0,1.0
UTTAR PRADESH,FIROZABAD,Cotton(lint),2000,Kharif     ,4.0,6.0,1.5
UTTAR PRADESH,FIROZABAD,Cotton(lint),2001,Kharif     ,3.0,6.0,2.0
UTTAR PRADESH,FIROZABAD,Cotton(lint),2019,Kharif     ,12.0,29.0,2.45
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Cotton(lint),1999,Kharif     ,98.0,124.0,1.27
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Cotton(lint),2000,Kharif     ,93.0,124.0,1.33
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Cotton(lint),2001,Kharif     ,87.0,112.0,1.29
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Cotton(lint),2002,Kharif     ,57.0,65.0,1.14
UTTAR PRADESH,GHAZIABAD,Cotton(lint),1999,Kharif     ,24.0,29.0,1.21
UTTAR PRADESH,GHAZIABAD,Cotton(lint),2000,Kharif     ,9.0,12.0,1.33
UTTAR PRADESH,GHAZIABAD,Cotton(lint),2001,Kharif     ,11.0,12.0,1.09
UTTAR PRADESH,GHAZIABAD,Cotton(lint),2002,Kharif     ,10.0,12.0,1.2
UTTAR PRADESH,HARDOI,Cotton(lint),2019,Kharif     ,14.0,29.0,2.1
UTTAR PRADESH,HARIDWAR,Cotton(lint),1999,Kharif     ,93.0,106.0,1.14
UTTAR PRADESH,HATHRAS,Cotton(lint),2019,Kharif     ,848.0,2247.0,2.65
UTTAR PRADESH,JALAUN,Cotton(lint),2001,Kharif     ,2.0,6.0,3.0
UTTAR PRADESH,KANNAUJ,Cotton(lint),2001,Kharif     ,8.0,12.0,1.5
UTTAR PRADESH,KANPUR NAGAR,Cotton(lint),1999,Kharif     ,12.0,12.0,1.0
UTTAR PRADESH,KANPUR NAGAR,Cotton(lint),2000,Kharif     ,10.0,12.0,1.2
UTTAR PRADESH,MATHURA,Cotton(lint),2019,Kharif     ,1301.0,3171.0,2.44
UTTAR PRADESH,MEERUT,Cotton(lint),1999,Kharif     ,89.0,112.0,1.26
UTTAR PRADESH,MEERUT,Cotton(lint),2000,Kharif     ,74.0,94.0,1.27
UTTAR PRADESH,MEERUT,Cotton(lint),2001,Kharif     ,72.0,94.0,1.31
UTTAR PRADESH,MEERUT,Cotton(lint),2002,Kharif     ,32.0,35.0,1.09
UTTAR PRADESH,MUZAFFARNAGAR,Cotton(lint),1999,Kharif     ,466.0,529.0,1.14
UTTAR PRADESH,MUZAFFARNAGAR,Cotton(lint),2001,Kharif     ,229.0,306.0,1.34
UTTAR PRADESH,MUZAFFARNAGAR,Cotton(lint),2002,Kharif     ,150.0,171.0,1.14
UTTAR PRADESH,RAMPUR,Cotton(lint),2001,Kharif     ,1.0,1.0,1.0
UTTAR PRADESH,SAHARANPUR,Cotton(lint),1999,Kharif     ,292.0,318.0,1.09
