State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
ANDHRA_PRADESH,ANANTAPUR,Maize,1998,Rabi       ,300.0,1600.0,5.33
ANDHRA_PRADESH,ANANTAPUR,Maize,2000,Rabi       ,399.0,2148.0,5.38
ANDHRA_PRADESH,ANANTAPUR,Maize,2001,Rabi       ,447.0,2893.0,6.47
ANDHRA_PRADESH,ANANTAPUR,Maize,2002,Rabi       ,1288.0,8933.0,6.94
ANDHRA_PRADESH,ANANTAPUR,Maize,2003,Rabi       ,1212.0,6787.0,5.6
ANDHRA_PRADESH,ANANTAPUR,Maize,2004,Rabi       ,3572.0,25822.0,7.23
ANDHRA_PRADESH,ANANTAPUR,Maize,2005,Rabi       ,1435.0,10721.0,7.47
ANDHRA_PRADESH,ANANTAPUR,Maize,2006,Rabi       ,3120.0,23640.0,7.58
ANDHRA_PRADESH,ANANTAPUR,Maize,2007,Rabi       ,6000.0,48000.0,8.0
ANDHRA_PRADESH,ANANTAPUR,Maize,2008,Rabi       ,3658.0,32300.0,8.83
ANDHRA_PRADESH,ANANTAPUR,Maize,2009,Rabi       ,4615.0,33736.0,7.31
ANDHRA_PRADESH,ANANTAPUR,Maize,2010,Rabi       ,4750.0,43306.0,9.12
ANDHRA_PRADESH,ANANTAPUR,Maize,2011,Rabi       ,6208.0,48168.0,7.76
ANDHRA_PRADESH,ANANTAPUR,Maize,2012,Rabi       ,7000.0,50000.0,7.14
ANDHRA_PRADESH,ANANTAPUR,Maize,2013,Rabi       ,7777.0,57970.0,7.45
ANDHRA_PRADESH,ANANTAPUR,Maize,2014,Rabi       ,4474.0,31618.0,7.07
ANDHRA_PRADESH,CHITTOOR,Maize,2000,Rabi       ,56.0,302.0,5.39
ANDHRA_PRADESH,CHITTOOR,Maize,2001,Rabi       ,81.0,524.0,6.47
ANDHRA_PRADESH,CHITTOOR,Maize,2002,Rabi       ,284.0,1968.0,6.93
ANDHRA_PRADESH,CHITTOOR,Maize,2003,Rabi       ,392.0,2195.0,5.6
ANDHRA_PRADESH,CHITTOOR,Maize,2004,Rabi       ,354.0,2559.0,7.23
ANDHRA_PRADESH,CHITTOOR,Maize,2005,Kharif     ,417.0,2150.0,5.16
ANDHRA_PRADESH,CHITTOOR,Maize,2005,Rabi       ,356.0,2660.0,7.47
ANDHRA_PRADESH,CHITTOOR,Maize,2006,Rabi       ,788.0,5971.0,7.58
ANDHRA_PRADESH,CHITTOOR,Maize,2008,Rabi       ,957.0,8450.0,8.83
ANDHRA_PRADESH,CHITTOOR,Maize,2009,Rabi       ,611.0,4466.0,7.31
ANDHRA_PRADESH,CHITTOOR,Maize,2010,Kharif     ,970.0,4969.0,5.12
ANDHRA_PRADESH,CHITTOOR,Maize,2010,Rabi       ,539.0,4914.0,9.12
ANDHRA_PRADESH,CHITTOOR,Maize,2011,Rabi       ,877.0,6805.0,7.76
ANDHRA_PRADESH,CHITTOOR,Maize,2013,Rabi       ,1303.0,9713.0,7.45
ANDHRA_PRADESH,CHITTOOR,Maize,2014,Rabi       ,984.0,6429.0,6.53
ANDHRA_PRADESH,CHITTOOR,Maize,2016,Rabi       ,887.0,4711.0,5.31
ANDHRA_PRADESH,CHITTOOR,Maize,2017,Kharif     ,1551.0,8084.0,5.21
ANDHRA_PRADESH,CHITTOOR,Maize,2017,Rabi       ,953.0,5780.0,6.07
ANDHRA_PRADESH,EAST GODAVARI,Maize,2000,Rabi       ,4108.0,22117.0,5.38
ANDHRA_PRADESH,EAST GODAVARI,Maize,2001,Rabi       ,2597.0,16810.0,6.47
ANDHRA_PRADESH,EAST GODAVARI,Maize,2002,Rabi       ,5975.0,41407.0,6.93
ANDHRA_PRADESH,EAST GODAVARI,Maize,2003,Rabi       ,6392.0,35795.0,5.6
ANDHRA_PRADESH,EAST GODAVARI,Maize,2004,Rabi       ,6094.0,41080.0,6.74
ANDHRA_PRADESH,EAST GODAVARI,Maize,2005,Rabi       ,7838.0,59349.0,7.57
ANDHRA_PRADESH,EAST GODAVARI,Maize,2006,Rabi       ,6191.0,61867.0,9.99
ANDHRA_PRADESH,EAST GODAVARI,Maize,2007,Rabi       ,6000.0,49000.0,8.17
ANDHRA_PRADESH,EAST GODAVARI,Maize,2008,Rabi       ,6581.0,49107.0,7.46
ANDHRA_PRADESH,EAST GODAVARI,Maize,2009,Rabi       ,8005.0,59821.0,7.47
ANDHRA_PRADESH,EAST GODAVARI,Maize,2010,Rabi       ,7463.0,54704.0,7.33
ANDHRA_PRADESH,EAST GODAVARI,Maize,2011,Rabi       ,8067.0,54017.0,6.7
ANDHRA_PRADESH,EAST GODAVARI,Maize,2012,Rabi       ,9000.0,71000.0,7.89
ANDHRA_PRADESH,EAST GODAVARI,Maize,2013,Rabi       ,10684.0,92096.0,8.62
ANDHRA_PRADESH,EAST GODAVARI,Maize,2014,Rabi       ,12156.0,98257.0,8.08
ANDHRA_PRADESH,EAST GODAVARI,Maize,2015,Rabi       ,10405.0,101053.0,9.71
ANDHRA_PRADESH,EAST GODAVARI,Maize,2016,Rabi       ,9577.0,84038.0,8.77
ANDHRA_PRADESH,EAST GODAVARI,Maize,2017,Rabi       ,11068.0,108400.0,9.79
ANDHRA_PRADESH,EAST GODAVARI,Maize,2018,Rabi       ,8451.0,68690.0,8.13
ANDHRA_PRADESH,EAST GODAVARI,Maize,2019,Rabi       ,9407.0,89310.0,9.49
ANDHRA_PRADESH,GUNTUR,Maize,1998,Rabi       ,2800.0,14100.0,5.04
ANDHRA_PRADESH,GUNTUR,Maize,2000,Rabi       ,4516.0,24314.0,5.38
ANDHRA_PRADESH,GUNTUR,Maize,2001,Rabi       ,4369.0,28281.0,6.47
ANDHRA_PRADESH,GUNTUR,Maize,2002,Rabi       ,6450.0,44699.0,6.93
ANDHRA_PRADESH,GUNTUR,Maize,2003,Rabi       ,22949.0,128514.0,5.6
