State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
KARNATAKA,BAGALKOTE,Maize,2017,Summer     ,2174.0,11438.0,5.26
KARNATAKA,BANGALORE RURAL,Maize,2010,Kharif     ,10109.0,53329.0,5.28
KARNATAKA,BANGALORE RURAL,Maize,2017,Kharif     ,9339.0,46800.0,5.01
KARNATAKA,BENGALURU URBAN,Maize,2016,Kharif     ,1576.0,8209.0,5.21
KARNATAKA,BENGALURU URBAN,Maize,2019,Kharif     ,2073.0,13874.0,6.69
KARNATAKA,CHAMARAJANAGARA,Maize,2014,Summer     ,946.0,4775.0,5.05
KARNATAKA,CHAMARAJANAGARA,Maize,2015,Summer     ,552.0,2759.0,5.0
KARNATAKA,CHAMARAJANAGARA,Maize,2017,Kharif     ,22295.0,114077.0,5.12
KARNATAKA,CHAMARAJANAGARA,Maize,2017,Summer     ,2267.0,12887.0,5.68
KARNATAKA,CHIKKABALLAPURA,Maize,2012,Summer     ,450.0,2373.0,5.27
KARNATAKA,CHIKKABALLAPURA,Maize,2016,Rabi       ,623.0,3555.0,5.71
KARNATAKA,CHIKKABALLAPURA,Maize,2016,Summer     ,369.0,2624.0,7.11
KARNATAKA,GADAG,Maize,2005,Rabi       ,1190.0,6301.0,5.29
KARNATAKA,HASSAN,Maize,2017,Kharif     ,81657.0,522850.0,6.4
KARNATAKA,KODAGU,Maize,2005,Kharif     ,1850.0,10172.0,5.5
KARNATAKA,KODAGU,Maize,2009,Summer     ,120.0,667.0,5.56
KARNATAKA,KODAGU,Maize,2014,Kharif     ,3467.0,17740.0,5.12
KARNATAKA,KODAGU,Maize,2016,Kharif     ,3844.0,21330.0,5.55
KARNATAKA,KODAGU,Maize,2017,Kharif     ,3558.0,26743.0,7.52
KARNATAKA,KODAGU,Maize,2019,Kharif     ,1497.0,7773.0,5.19
KARNATAKA,RAICHUR,Maize,2016,Kharif     ,350.0,1792.0,5.12
KARNATAKA,RAICHUR,Maize,2017,Rabi       ,11.0,64.0,5.82
KARNATAKA,RAICHUR,Maize,2018,Kharif     ,4077.0,30974.0,7.6
KARNATAKA,RAICHUR,Maize,2019,Kharif     ,691.0,3860.0,5.59
KARNATAKA,RAMANAGARA,Maize,2007,Kharif     ,1669.0,12220.0,7.32
KARNATAKA,RAMANAGARA,Maize,2016,Summer     ,133.0,1276.0,9.59
KARNATAKA,SHIVAMOGGA,Maize,2014,Rabi       ,268.0,1367.0,5.1
KARNATAKA,SHIVAMOGGA,Maize,2017,Kharif     ,65841.0,337764.0,5.13
KARNATAKA,SHIVAMOGGA,Maize,2017,Rabi       ,1074.0,5402.0,5.03
KARNATAKA,UTTARA KANNADA,Maize,2012,Kharif     ,3974.0,23044.0,5.8
KARNATAKA,UTTARA KANNADA,Maize,2016,Kharif     ,5222.0,29339.0,5.62
KARNATAKA,UTTARA KANNADA,Maize,2017,Kharif     ,8841.0,49940.0,5.65
