State_clean,District_clean,Crop,Crop_Year,Season_clean,Area,Production,yield_quintal_ha
TAMIL_NADU,ARIYALUR,Maize,2011,Kharif     ,11778.0,60881.0,5.17
TAMIL_NADU,ARIYALUR,Maize,2011,Rabi       ,357.0,2374.0,6.65
TAMIL_NADU,ARIYALUR,Maize,2013,Kharif     ,17153.0,91257.0,5.32
TAMIL_NADU,ARIYALUR,Maize,2013,Rabi       ,615.0,3076.0,5.0
TAMIL_NADU,ARIYALUR,Maize,2014,Kharif     ,13599.0,133540.0,9.82
TAMIL_NADU,ARIYALUR,Maize,2014,Rabi       ,1226.0,9195.0,7.5
TAMIL_NADU,ARIYALUR,Maize,2015,Kharif     ,16583.0,127357.0,7.68
TAMIL_NADU,ARIYALUR,Maize,2015,Rabi       ,663.0,4537.0,6.84
TAMIL_NADU,ARIYALUR,Maize,2017,Kharif     ,12828.0,113387.0,8.84
TAMIL_NADU,ARIYALUR,Maize,2017,Rabi       ,2169.0,14515.0,6.69
TAMIL_NADU,ARIYALUR,Maize,2018,Kharif     ,8078.0,41209.0,5.1
TAMIL_NADU,ARIYALUR,Maize,2018,Rabi       ,8061.0,56405.0,7.0
TAMIL_NADU,ARIYALUR,Maize,2019,Kharif     ,14708.0,109629.0,7.45
TAMIL_NADU,ARIYALUR,Maize,2019,Rabi       ,666.0,4478.0,6.72
TAMIL_NADU,CHENGALPATTU,Maize,2019,Rabi       ,2.0,11.0,5.5
TAMIL_NADU,COIMBATORE,Maize,2006,Whole Year ,21528.0,115949.0,5.39
TAMIL_NADU,COIMBATORE,Maize,2007,Whole Year ,21203.0,111874.0,5.28
TAMIL_NADU,COIMBATORE,Maize,2008,Whole Year ,5692.0,146154.0,25.68
TAMIL_NADU,COIMBATORE,Maize,2009,Whole Year ,5130.0,28486.0,5.55
TAMIL_NADU,COIMBATORE,Maize,2010,Kharif     ,3847.0,22512.0,5.85
TAMIL_NADU,COIMBATORE,Maize,2011,Kharif     ,2119.0,16962.0,8.0
TAMIL_NADU,COIMBATORE,Maize,2011,Rabi       ,2325.0,16166.0,6.95
TAMIL_NADU,COIMBATORE,Maize,2013,Kharif     ,3082.0,20147.0,6.54
TAMIL_NADU,COIMBATORE,Maize,2013,Rabi       ,2361.0,15650.0,6.63
TAMIL_NADU,COIMBATORE,Maize,2014,Kharif     ,2389.0,20838.0,8.72
TAMIL_NADU,COIMBATORE,Maize,2014,Rabi       ,2084.0,16499.0,7.92
TAMIL_NADU,COIMBATORE,Maize,2015,Kharif     ,2040.0,14998.0,7.35
TAMIL_NADU,COIMBATORE,Maize,2015,Rabi       ,2127.0,14555.0,6.84
TAMIL_NADU,COIMBATORE,Maize,2017,Kharif     ,1587.0,14631.0,9.22
TAMIL_NADU,COIMBATORE,Maize,2017,Rabi       ,2359.0,15786.0,6.69
TAMIL_NADU,COIMBATORE,Maize,2018,Kharif     ,928.0,7054.0,7.6
TAMIL_NADU,COIMBATORE,Maize,2018,Rabi       ,3085.0,21594.0,7.0
TAMIL_NADU,COIMBATORE,Maize,2019,Kharif     ,714.0,6383.0,8.94
TAMIL_NADU,COIMBATORE,Maize,2019,Rabi       ,2508.0,16847.0,6.72
TAMIL_NADU,CUDDALORE,Maize,2011,Rabi       ,331.0,2201.0,6.65
TAMIL_NADU,CUDDALORE,Maize,2013,Rabi       ,1527.0,7638.0,5.0
TAMIL_NADU,CUDDALORE,Maize,2014,Kharif     ,22403.0,155624.0,6.95
TAMIL_NADU,CUDDALORE,Maize,2014,Rabi       ,1508.0,11310.0,7.5
TAMIL_NADU,CUDDALORE,Maize,2015,Rabi       ,1195.0,8177.0,6.84
TAMIL_NADU,CUDDALORE,Maize,2017,Kharif     ,17894.0,117080.0,6.54
TAMIL_NADU,CUDDALORE,Maize,2017,Rabi       ,963.0,6444.0,6.69
TAMIL_NADU,CUDDALORE,Maize,2018,Kharif     ,21407.0,115698.0,5.4
TAMIL_NADU,CUDDALORE,Maize,2018,Rabi       ,260.0,1820.0,7.0
TAMIL_NADU,CUDDALORE,Maize,2019,Kharif     ,22075.0,178907.0,8.1
TAMIL_NADU,CUDDALORE,Maize,2019,Rabi       ,340.0,2286.0,6.72
TAMIL_NADU,DHARMAPURI,Maize,2006,Whole Year ,258.0,1308.0,5.07
TAMIL_NADU,DHARMAPURI,Maize,2007,Whole Year ,307.0,1540.0,5.02
TAMIL_NADU,DHARMAPURI,Maize,2008,Whole Year ,403.0,2129.0,5.28
TAMIL_NADU,DHARMAPURI,Maize,2011,Kharif     ,3615.0,20541.0,5.68
TAMIL_NADU,DHARMAPURI,Maize,2011,Rabi       ,28.0,186.0,6.64
TAMIL_NADU,DHARMAPURI,Maize,2013,Kharif     ,11967.0,81069.0,6.77
TAMIL_NADU,DHARMAPURI,Maize,2013,Rabi       ,1468.0,7343.0,5.0
TAMIL_NADU,DHARMAPURI,Maize,2014,Kharif     ,11980.0,76125.0,6.35
TAMIL_NADU,DHARMAPURI,Maize,2014,Rabi       ,2157.0,16177.0,7.5
TAMIL_NADU,DHARMAPURI,Maize,2015,Kharif     ,9036.0,53737.0,5.95
TAMIL_NADU,DHARMAPURI,Maize,2015,Rabi       ,1025.0,7014.0,6.84
TAMIL_NADU,DHARMAPURI,Maize,2017,Kharif     ,6531.0,54691.0,8.37
TAMIL_NADU,DHARMAPURI,Maize,2017,Rabi       ,414.0,2770.0,6.69
TAMIL_NADU,DHARMAPURI,Maize,2018,Kharif     ,5796.0,31275.0,5.4
TAMIL_NADU,DHARMAPURI,Maize,2018,Rabi       ,448.0,2758.0,6.16
TAMIL_NADU,DHARMAPURI,Maize,2019,Kharif     ,2280.0,16945.0,7.43
TAMIL_NADU,DHARMAPURI,Maize,2019,Rabi       ,250.0,1679.0,6.72
TAMIL_NADU,DINDIGUL,Maize,2008,Whole Year ,48142.0,314292.0,6.53
TAMIL_NADU,DINDIGUL,Maize,2009,Whole Year ,39531.0,243457.0,6.16
TAMIL_NADU,DINDIGUL,Maize,2010,Kharif     ,39629.0,216794.0,5.47
TAMIL_NADU,DINDIGUL,Maize,2011,Kharif     ,15954.0,92881.0,5.82
TAMIL_NADU,DINDIGUL,Maize,2011,Rabi       ,24690.0,164019.0,6.64
TAMIL_NADU,DINDIGUL,Maize,2013,Kharif     ,7330.0,43858.0,5.98
TAMIL_NADU,DINDIGUL,Maize,2013,Rabi       ,20131.0,127708.0,6.34
TAMIL_NADU,DINDIGUL,Maize,2014,Kharif     ,8400.0,71043.0,8.46
TAMIL_NADU,DINDIGUL,Maize,2014,Rabi       ,15405.0,109533.0,7.11
TAMIL_NADU,DINDIGUL,Maize,2015,Kharif     ,4825.0,47589.0,9.86
TAMIL_NADU,DINDIGUL,Maize,2015,Rabi       ,23064.0,218462.0,9.47
