State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Assam,BAKSA,Rice,2005,Autumn     ,17083.0,15415.0,0.9,0.09,0.9023590704208863,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2005,Summer     ,12650.0,17027.0,1.35,0.135,1.34600790513834,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2005,Winter     ,66229.0,93287.0,1.41,0.141,1.4085521448308143,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2006,Autumn     ,26235.0,23208.0,0.88,0.088,0.8846197827329902,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2006,Summer     ,12737.0,25691.0,2.02,0.202,2.017036978880427,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2006,Winter     ,52195.0,67915.0,1.3,0.13,1.3011782737810136,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2007,Autumn     ,21551.0,20266.0,0.94,0.094,0.9403739965662846,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2007,Summer     ,7124.0,14341.0,2.01,0.20099999999999998,2.013054463784391,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2007,Winter     ,58558.0,73246.0,1.25,0.125,1.2508282386693534,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2008,Autumn     ,13587.0,18640.0,1.37,0.137,1.3718996099212482,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2008,Summer     ,11712.0,20949.0,1.79,0.179,1.7886782786885247,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2008,Winter     ,69495.0,124614.0,1.79,0.179,1.793136196848694,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2009,Autumn     ,13217.0,21279.0,1.61,0.161,1.6099720057501703,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2009,Summer     ,10524.0,16463.0,1.56,0.156,1.564329152413531,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2009,Winter     ,68453.0,109965.0,1.61,0.161,1.6064306896702847,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2010,Autumn     ,11562.0,13489.0,1.17,0.11699999999999999,1.1666666666666667,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2010,Summer     ,6000.0,13150.0,2.19,0.219,2.191666666666667,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2010,Winter     ,84168.0,134217.0,1.59,0.159,1.5946321642429426,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2011,Autumn     ,10325.0,14340.0,1.39,0.13899999999999998,1.388861985472155,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2011,Summer     ,2500.0,5595.0,2.24,0.22400000000000003,2.238,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2011,Winter     ,85450.0,153149.0,1.79,0.179,1.792264482153306,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2012,Autumn     ,11780.0,16636.0,1.41,0.141,1.4122241086587437,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2012,Summer     ,2520.0,6137.0,2.44,0.244,2.43531746031746,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2012,Winter     ,85485.0,157009.0,1.84,0.184,1.8366847985026613,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2013,Autumn     ,10200.0,16672.0,1.63,0.16299999999999998,1.6345098039215686,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2013,Summer     ,2750.0,5885.0,2.14,0.21400000000000002,2.14,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2013,Winter     ,85730.0,161484.0,1.88,0.188,1.8836346669777209,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2014,Autumn     ,10800.0,18283.0,1.69,0.16899999999999998,1.6928703703703705,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2014,Summer     ,3050.0,6509.0,2.13,0.213,2.1340983606557375,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2014,Winter     ,86070.0,195027.0,2.27,0.227,2.2659114674102474,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2015,Autumn     ,10100.0,20727.0,2.05,0.205,2.052178217821782,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2015,Summer     ,3055.0,6604.0,2.16,0.21600000000000003,2.1617021276595745,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2015,Winter     ,86070.0,180035.0,2.09,0.209,2.091727663529685,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2016,Autumn     ,10200.0,16140.0,1.58,0.158,1.5823529411764705,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2016,Summer     ,3015.0,5922.0,1.96,0.196,1.964179104477612,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2016,Winter     ,85710.0,164454.0,1.92,0.192,1.9187259362968148,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2017,Autumn     ,10200.0,15840.0,1.55,0.155,1.5529411764705883,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2017,Summer     ,3015.0,6594.0,2.19,0.219,2.1870646766169153,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2017,Winter     ,85950.0,199536.0,2.32,0.23199999999999998,2.3215357766143105,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2018,Autumn     ,10100.0,16794.0,1.66,0.16599999999999998,1.6627722772277227,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2018,Summer     ,3002.0,7342.0,2.45,0.24500000000000002,2.4457028647568286,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2018,Winter     ,86107.0,189344.0,2.2,0.22000000000000003,2.1989385299685273,Very Large,ASSAM,WINTER,0.15
Assam,BAKSA,Rice,2019,Autumn     ,10120.0,17176.0,1.7,0.16999999999999998,1.6972332015810276,Very Large,ASSAM,AUTUMN,0.15
Assam,BAKSA,Rice,2019,Summer     ,2980.0,6668.0,2.24,0.22400000000000003,2.2375838926174496,Very Large,ASSAM,SUMMER,0.15
Assam,BAKSA,Rice,2019,Winter     ,86100.0,175719.0,2.04,0.20400000000000001,2.040871080139373,Very Large,ASSAM,WINTER,0.15
Assam,BARPETA,Rice,1997,Autumn     ,83560.0,43512.0,0.52,0.052000000000000005,0.5207276208712303,Very Large,ASSAM,AUTUMN,0.15
Assam,BARPETA,Rice,1997,Summer     ,8850.0,12831.0,1.45,0.145,1.4498305084745762,Very Large,ASSAM,SUMMER,0.15
Assam,BARPETA,Rice,1997,Winter     ,103015.0,76589.0,0.74,0.074,0.7434742513226229,Very Large,ASSAM,WINTER,0.15
Assam,BARPETA,Rice,1998,Autumn     ,83355.0,46436.0,0.56,0.05600000000000001,0.5570871573390919,Very Large,ASSAM,AUTUMN,0.15
Assam,BARPETA,Rice,1998,Summer     ,16435.0,32739.0,1.99,0.199,1.9920292059628841,Very Large,ASSAM,SUMMER,0.15
Assam,BARPETA,Rice,1998,Winter     ,88835.0,93412.0,1.05,0.10500000000000001,1.0515224855068386,Very Large,ASSAM,WINTER,0.15
Assam,BARPETA,Rice,1999,Autumn     ,83830.0,59762.0,0.71,0.071,0.7128951449361803,Very Large,ASSAM,AUTUMN,0.15
Assam,BARPETA,Rice,1999,Summer     ,18637.0,57626.0,3.09,0.309,3.0920212480549445,Very Large,ASSAM,SUMMER,0.15
Assam,BARPETA,Rice,1999,Winter     ,104375.0,121735.0,1.17,0.11699999999999999,1.1663233532934132,Very Large,ASSAM,WINTER,0.15
Assam,BARPETA,Rice,2000,Autumn     ,73675.0,60705.0,0.82,0.08199999999999999,0.8239565659993213,Very Large,ASSAM,AUTUMN,0.15
Assam,BARPETA,Rice,2000,Summer     ,25005.0,58014.0,2.32,0.23199999999999998,2.3200959808038393,Very Large,ASSAM,SUMMER,0.15
Assam,BARPETA,Rice,2000,Winter     ,97175.0,120609.0,1.24,0.124,1.2411525598147672,Very Large,ASSAM,WINTER,0.15
Assam,BARPETA,Rice,2001,Autumn     ,56482.0,40845.0,0.72,0.072,0.7231507382883042,Very Large,ASSAM,AUTUMN,0.15
Assam,BARPETA,Rice,2001,Summer     ,18510.0,39355.0,2.13,0.213,2.126148028092923,Very Large,ASSAM,SUMMER,0.15
Assam,BARPETA,Rice,2001,Winter     ,97500.0,119034.0,1.22,0.122,1.2208615384615384,Very Large,ASSAM,WINTER,0.15
Assam,BARPETA,Rice,2002,Autumn     ,63725.0,38265.0,0.6,0.06,0.6004707728520988,Very Large,ASSAM,AUTUMN,0.15
Assam,BARPETA,Rice,2002,Summer     ,16000.0,35031.0,2.19,0.219,2.1894375,Very Large,ASSAM,SUMMER,0.15
Assam,BARPETA,Rice,2002,Winter     ,99500.0,111714.0,1.12,0.11200000000000002,1.122753768844221,Very Large,ASSAM,WINTER,0.15
Assam,BARPETA,Rice,2003,Autumn     ,58500.0,41992.0,0.72,0.072,0.7178119658119658,Very Large,ASSAM,AUTUMN,0.15
Assam,BARPETA,Rice,2003,Summer     ,17400.0,37888.0,2.18,0.21800000000000003,2.1774712643678162,Very Large,ASSAM,SUMMER,0.15
