State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Bihar,ARARIA,Rice,1997,Autumn     ,17876.0,21397.0,1.2,0.12,1.1969680017901096,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,1997,Summer     ,8479.0,13993.0,1.65,0.16499999999999998,1.6503125368557614,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,1997,Winter     ,93975.0,121063.0,1.29,0.129,1.288246874168662,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,1998,Summer     ,9936.0,13613.0,1.37,0.137,1.3700684380032206,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,1998,Winter     ,93100.0,90299.0,0.97,0.097,0.9699140708915145,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,1999,Kharif     ,24619.0,23238.0,0.94,0.094,0.9439051139363905,Very Large,BIHAR,KHARIF,0.45
Bihar,ARARIA,Rice,1999,Summer     ,13776.0,24727.0,1.79,0.179,1.7949332171893146,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2000,Autumn     ,88865.0,84685.0,0.95,0.095,0.9529623586338829,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2000,Kharif     ,24075.0,31507.0,1.31,0.131,1.3087019730010385,Very Large,BIHAR,KHARIF,0.45
Bihar,ARARIA,Rice,2000,Summer     ,14317.0,22609.0,1.58,0.158,1.5791716141649788,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2001,Autumn     ,80515.0,87320.0,1.08,0.10800000000000001,1.084518412718127,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2001,Kharif     ,15573.0,33183.0,2.13,0.213,2.1308033134270854,Very Large,BIHAR,KHARIF,0.45
Bihar,ARARIA,Rice,2001,Summer     ,29135.0,21611.0,0.74,0.074,0.741753904238888,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2002,Autumn     ,24475.0,20930.0,0.86,0.086,0.8551583248212462,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2002,Summer     ,14783.0,20669.0,1.4,0.13999999999999999,1.398160048704593,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2002,Winter     ,82299.0,95520.0,1.16,0.11599999999999999,1.1606459373746947,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2003,Autumn     ,25038.0,28924.0,1.16,0.11599999999999999,1.155204089783529,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2003,Summer     ,13862.0,21226.0,1.53,0.153,1.5312364738133026,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2003,Winter     ,83394.0,118046.0,1.42,0.142,1.4155215003477468,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2004,Autumn     ,24655.0,15306.0,0.62,0.062,0.6208071385114581,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2004,Summer     ,13657.0,19415.0,1.42,0.142,1.4216152888628542,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2004,Winter     ,77652.0,39165.0,0.5,0.05,0.5043656312780096,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2005,Autumn     ,25554.0,34078.0,1.33,0.133,1.3335681302340143,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2005,Summer     ,13933.0,15994.0,1.15,0.11499999999999999,1.147922199095672,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2005,Winter     ,82557.0,43894.0,0.53,0.053000000000000005,0.5316811415143476,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2006,Autumn     ,27718.0,30645.0,1.11,0.11100000000000002,1.1055992495851072,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2006,Summer     ,15555.0,23189.0,1.49,0.149,1.4907746705239473,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2006,Winter     ,95366.0,88707.0,0.93,0.093,0.9301742759474027,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2007,Autumn     ,20016.0,19467.0,0.97,0.097,0.9725719424460432,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2007,Summer     ,15660.0,22803.0,1.46,0.146,1.4561302681992336,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2007,Winter     ,91513.0,18339.0,0.2,0.02,0.20039775769562795,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2008,Autumn     ,21378.0,23999.0,1.12,0.11200000000000002,1.1226026756478622,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2008,Summer     ,13735.0,22993.0,1.67,0.16699999999999998,1.674044412085912,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2008,Winter     ,97100.0,112440.0,1.16,0.11599999999999999,1.1579814624098868,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2009,Autumn     ,26474.0,24843.0,0.94,0.094,0.9383923849814912,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2009,Summer     ,12097.0,16099.0,1.33,0.133,1.3308258245846079,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2009,Winter     ,97533.0,119322.0,1.22,0.122,1.223401310325736,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2010,Autumn     ,20215.0,25762.0,1.27,0.127,1.2744001978728667,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2010,Summer     ,13075.0,25603.0,1.96,0.196,1.9581644359464627,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2010,Winter     ,97335.0,96492.0,0.99,0.099,0.9913391893974418,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2011,Autumn     ,12416.0,14834.0,1.19,0.119,1.1947487113402062,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2011,Summer     ,29978.0,63083.0,2.1,0.21000000000000002,2.104309827206618,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2011,Winter     ,96434.0,193191.0,2.0,0.2,2.0033494410685027,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2012,Autumn     ,12416.0,23732.0,1.91,0.191,1.9114046391752577,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2012,Summer     ,29978.0,103334.0,3.45,0.34500000000000003,3.446994462605911,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2012,Winter     ,96434.0,212341.0,2.2,0.22000000000000003,2.2019308542630194,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2013,Autumn     ,31941.0,67848.0,2.12,0.21200000000000002,2.1241664318587397,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2013,Summer     ,8019.0,19242.0,2.4,0.24,2.399551066217733,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2013,Winter     ,94418.0,272074.0,2.88,0.288,2.8815903747166853,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2014,Autumn     ,23955.0,32840.0,1.37,0.137,1.3709037779169275,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2014,Summer     ,8369.0,17229.0,2.06,0.20600000000000002,2.058668897120325,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2014,Winter     ,88961.0,216846.0,2.44,0.244,2.4375400456379763,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2015,Autumn     ,24093.0,49788.0,2.07,0.207,2.0664923421740755,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2015,Summer     ,7932.0,17761.0,2.24,0.22400000000000003,2.2391578416540594,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2015,Winter     ,89986.0,184531.0,2.05,0.205,2.050663436534572,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2016,Autumn     ,17424.0,26470.0,1.52,0.152,1.5191689623507805,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2016,Summer     ,7301.0,14449.0,1.98,0.198,1.9790439665799207,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2016,Winter     ,91101.0,186641.0,2.05,0.205,2.048726139120317,Very Large,BIHAR,WINTER,0.45
Bihar,ARARIA,Rice,2017,Autumn     ,18929.0,34688.0,1.83,0.183,1.8325320936129748,Very Large,BIHAR,AUTUMN,0.45
Bihar,ARARIA,Rice,2017,Summer     ,8341.0,13581.0,1.63,0.16299999999999998,1.628222035727131,Very Large,BIHAR,SUMMER,0.45
Bihar,ARARIA,Rice,2017,Winter     ,130087.0,227573.0,1.75,0.175,1.7493907923159118,Very Large,BIHAR,WINTER,0.45
