State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Chhattisgarh,BALOD,Rice,2011,Kharif     ,177115.0,327525.0,1.85,0.185,1.849222256725856,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2012,Kharif     ,177182.0,357486.0,2.02,0.202,2.0176203000304773,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2013,Kharif     ,181677.0,291899.0,1.61,0.161,1.6066920964128646,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2014,Kharif     ,183795.0,348670.0,1.9,0.19,1.8970592235915014,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2015,Kharif     ,179085.0,194925.0,1.09,0.10900000000000001,1.0884496188960548,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2016,Kharif     ,191042.0,448458.0,2.35,0.23500000000000001,2.3474314548633286,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2017,Kharif     ,174962.0,241672.0,1.38,0.13799999999999998,1.3812827928350155,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2018,Kharif     ,185448.0,300866.0,1.62,0.162,1.622373926922911,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALOD,Rice,2019,Kharif     ,201908.0,435947.0,2.16,0.21600000000000003,2.159136834597936,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2011,Kharif     ,225302.0,264652.0,1.17,0.11699999999999999,1.1746544637863845,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2012,Kharif     ,222135.0,382025.0,1.72,0.172,1.7197875166002656,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2013,Kharif     ,223120.0,324941.0,1.46,0.146,1.4563508425959124,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2014,Kharif     ,238360.0,383684.0,1.61,0.161,1.6096828326900487,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2015,Kharif     ,239456.0,339816.0,1.42,0.142,1.419116664439396,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2016,Kharif     ,225526.0,412515.0,1.83,0.183,1.829123914759274,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2017,Kharif     ,225580.0,279965.0,1.24,0.124,1.2410896356059935,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2018,Kharif     ,232934.0,308961.0,1.33,0.133,1.3263885907596142,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALODA BAZAR,Rice,2019,Kharif     ,235090.0,396497.0,1.69,0.16899999999999998,1.6865753541196988,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALRAMPUR,Rice,2011,Kharif     ,81931.0,112272.0,1.37,0.137,1.370323809058842,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALRAMPUR,Rice,2012,Kharif     ,78612.0,153034.0,1.95,0.195,1.9467002493258028,Very Large,CHHATTISGARH,KHARIF,0.5
Chhattisgarh,BALRAMPUR,Rice,2013,Kharif     ,76789.0,128716.0,1.68,0.16799999999999998,1.6762296683118676,Very Large,CHHATTISGARH,KHARIF,0.5
