State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Andhra Pradesh,ADILABAD,Rice,1997,Kharif     ,30600.0,29100.0,0.95,0.095,0.9509803921568627,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,1997,Rabi       ,5200.0,12400.0,2.38,0.238,2.3846153846153846,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,1998,Kharif     ,66400.0,152300.0,2.29,0.229,2.2936746987951806,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,1998,Rabi       ,12200.0,33500.0,2.75,0.275,2.7459016393442623,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,1999,Kharif     ,66388.0,162451.0,2.45,0.24500000000000002,2.4469934325480507,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,1999,Rabi       ,10980.0,26616.0,2.42,0.242,2.4240437158469947,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2000,Kharif     ,70645.0,146235.0,2.07,0.207,2.069997876707481,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2000,Rabi       ,6828.0,21023.0,3.08,0.308,3.0789396602226127,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2001,Kharif     ,67358.0,150343.0,2.23,0.223,2.231999168621396,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2001,Rabi       ,9786.0,23398.0,2.39,0.23900000000000002,2.3909666871040263,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2002,Kharif     ,71657.0,110710.0,1.54,0.154,1.544999092900903,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2002,Rabi       ,5137.0,11188.0,2.18,0.21800000000000003,2.1779248588670432,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2003,Kharif     ,74851.0,184732.0,2.47,0.24700000000000003,2.467996419553513,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2003,Rabi       ,6069.0,16016.0,2.64,0.264,2.6389850057670126,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2004,Kharif     ,35637.0,54133.0,1.52,0.152,1.519011140107192,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2004,Rabi       ,3984.0,8749.0,2.2,0.22000000000000003,2.1960341365461846,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2005,Kharif     ,69284.0,178198.0,2.57,0.257,2.5719935338606317,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2005,Rabi       ,9466.0,22586.0,2.39,0.23900000000000002,2.3860130995140505,Very Large,ANDHRA PRADESH,RABI,0.65
