State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Gujarat,AHMADABAD,Rice,1997,Whole Year ,75300.0,114500.0,1.52,0.152,1.5205843293492696,Very Large,GUJARAT,WHOLE YEAR,0.5
Gujarat,AHMADABAD,Rice,1998,Kharif     ,52200.0,72600.0,1.39,0.13899999999999998,1.3908045977011494,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,1999,Kharif     ,75100.0,78900.0,1.05,0.10500000000000001,1.0505992010652463,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2000,Kharif     ,84100.0,37500.0,0.45,0.045,0.44589774078478,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2001,Kharif     ,82000.0,144300.0,1.76,0.176,1.7597560975609756,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2002,Kharif     ,47500.0,39300.0,0.83,0.08299999999999999,0.8273684210526315,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2003,Kharif     ,83200.0,197600.0,2.38,0.238,2.375,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2004,Kharif     ,78900.0,176000.0,2.23,0.223,2.2306717363751583,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2004,Summer     ,100.0,200.0,2.0,0.2,2.0,Small,GUJARAT,SUMMER,0.5
Gujarat,AHMADABAD,Rice,2005,Kharif     ,94800.0,235500.0,2.48,0.248,2.4841772151898733,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2005,Summer     ,1000.0,2900.0,2.9,0.29,2.9,Large,GUJARAT,SUMMER,0.5
Gujarat,AHMADABAD,Rice,2006,Kharif     ,97300.0,178800.0,1.84,0.184,1.8376156217882837,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2006,Summer     ,2800.0,8100.0,2.89,0.28900000000000003,2.892857142857143,Very Large,GUJARAT,SUMMER,0.5
Gujarat,AHMADABAD,Rice,2007,Kharif     ,105200.0,214100.0,2.04,0.20400000000000001,2.035171102661597,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2007,Summer     ,2800.0,8600.0,3.07,0.307,3.0714285714285716,Very Large,GUJARAT,SUMMER,0.5
Gujarat,AHMADABAD,Rice,2008,Kharif     ,96100.0,175500.0,1.83,0.183,1.826222684703434,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2008,Summer     ,2300.0,6400.0,2.78,0.27799999999999997,2.782608695652174,Very Large,GUJARAT,SUMMER,0.5
Gujarat,AHMADABAD,Rice,2009,Kharif     ,83700.0,209200.0,2.5,0.25,2.4994026284348867,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2009,Summer     ,5300.0,17100.0,3.23,0.323,3.2264150943396226,Very Large,GUJARAT,SUMMER,0.5
Gujarat,AHMADABAD,Rice,2010,Kharif     ,103500.0,273600.0,2.64,0.264,2.643478260869565,Very Large,GUJARAT,KHARIF,0.5
Gujarat,AHMADABAD,Rice,2010,Summer     ,10000.0,36700.0,3.67,0.367,3.67,Very Large,GUJARAT,SUMMER,0.5
Gujarat,AHMADABAD,Rice,2011,Kharif     ,119000.0,311000.0,2.61,0.261,2.6134453781512605,Very Large,GUJARAT,KHARIF,0.5
