State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Haryana,AMBALA,Rice,1997,Kharif     ,65000.0,182000.0,2.8,0.27999999999999997,2.8,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,1998,Kharif     ,71365.0,186000.0,2.61,0.261,2.6063196244657747,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,1999,Kharif     ,72185.0,206000.0,2.85,0.28500000000000003,2.8537784858350075,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2000,Kharif     ,71840.0,217000.0,3.02,0.302,3.0206013363028954,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2001,Kharif     ,74881.0,233000.0,3.11,0.311,3.1116037446081117,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2002,Kharif     ,61465.0,183000.0,2.98,0.298,2.9773041568372243,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2003,Kharif     ,73240.0,227000.0,3.1,0.31,3.099399235390497,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2004,Kharif     ,73580.0,233000.0,3.17,0.317,3.166621364501223,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2005,Kharif     ,76540.0,254000.0,3.32,0.33199999999999996,3.3185262607786776,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2006,Kharif     ,75737.0,261000.0,3.45,0.34500000000000003,3.4461359705295957,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2007,Kharif     ,75164.0,277000.0,3.69,0.369,3.685274865627162,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2008,Kharif     ,81002.0,267000.0,3.3,0.32999999999999996,3.29621490827387,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2009,Kharif     ,82283.0,306000.0,3.72,0.372,3.7188726711471385,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2010,Kharif     ,81869.0,282000.0,3.44,0.344,3.4445272325300174,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2011,Kharif     ,82586.0,322000.0,3.9,0.39,3.8989659264282084,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2012,Kharif     ,82642.0,343000.0,4.15,0.41500000000000004,4.150431983737083,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2013,Kharif     ,79000.0,308000.0,3.9,0.39,3.8987341772151898,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2014,Kharif     ,83000.0,301000.0,3.63,0.363,3.6265060240963853,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2015,Kharif     ,86000.0,328000.0,3.81,0.381,3.813953488372093,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2016,Kharif     ,83000.0,319000.0,3.84,0.384,3.8433734939759034,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2017,Kharif     ,85000.0,331000.0,3.89,0.389,3.8941176470588235,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2018,Kharif     ,85000.0,277000.0,3.26,0.32599999999999996,3.2588235294117647,Very Large,HARYANA,KHARIF,0.88
Haryana,AMBALA,Rice,2019,Kharif     ,90900.0,360400.0,3.96,0.396,3.9647964796479647,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,1997,Kharif     ,1000.0,3000.0,3.0,0.3,3.0,Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,1998,Kharif     ,7223.0,16000.0,2.22,0.22200000000000003,2.2151460611934097,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,1999,Kharif     ,7317.0,17000.0,2.32,0.23199999999999998,2.3233565668990024,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2000,Kharif     ,8159.0,20000.0,2.45,0.24500000000000002,2.4512807942149775,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2001,Kharif     ,7422.0,21000.0,2.83,0.28300000000000003,2.8294260307194827,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2002,Kharif     ,6491.0,19000.0,2.93,0.29300000000000004,2.9271298721306422,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2003,Kharif     ,9890.0,23000.0,2.33,0.233,2.3255813953488373,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2004,Kharif     ,11412.0,14000.0,1.23,0.123,1.2267788293024886,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2005,Kharif     ,12526.0,25000.0,2.0,0.2,1.9958486348395337,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2006,Kharif     ,13666.0,26000.0,1.9,0.19,1.9025318308210157,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2007,Kharif     ,14818.0,40000.0,2.7,0.27,2.6994196247806723,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2008,Kharif     ,21217.0,45000.0,2.12,0.21200000000000002,2.120940755054909,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2009,Kharif     ,19028.0,44000.0,2.31,0.231,2.312381753205802,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2010,Kharif     ,21314.0,44000.0,2.06,0.20600000000000002,2.0643708360701885,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2011,Kharif     ,17520.0,46000.0,2.63,0.263,2.625570776255708,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2012,Kharif     ,14981.0,40000.0,2.67,0.267,2.6700487283892933,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2013,Kharif     ,16000.0,35000.0,2.19,0.219,2.1875,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2014,Kharif     ,21000.0,30000.0,1.43,0.143,1.4285714285714286,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2015,Kharif     ,25000.0,53000.0,2.12,0.21200000000000002,2.12,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2016,Kharif     ,28000.0,64000.0,2.29,0.229,2.2857142857142856,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2017,Kharif     ,21700.0,54700.0,2.52,0.252,2.52073732718894,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2018,Kharif     ,26000.0,46000.0,1.77,0.177,1.7692307692307692,Very Large,HARYANA,KHARIF,0.88
Haryana,BHIWANI,Rice,2019,Kharif     ,26400.0,53600.0,2.03,0.20299999999999999,2.0303030303030303,Very Large,HARYANA,KHARIF,0.88
Haryana,CHARKI DADRI,Rice,2017,Kharif     ,9400.0,17300.0,1.84,0.184,1.8404255319148937,Very Large,HARYANA,KHARIF,0.88
Haryana,CHARKI DADRI,Rice,2018,Kharif     ,10000.0,24000.0,2.4,0.24,2.4,Very Large,HARYANA,KHARIF,0.88
Haryana,CHARKI DADRI,Rice,2019,Kharif     ,12000.0,25600.0,2.13,0.213,2.1333333333333333,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,1997,Kharif     ,21000.0,59000.0,2.81,0.281,2.8095238095238093,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,1998,Kharif     ,30124.0,70000.0,2.32,0.23199999999999998,2.323728588500863,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,1999,Kharif     ,28820.0,58000.0,2.01,0.20099999999999998,2.012491325468425,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2000,Kharif     ,28959.0,80000.0,2.76,0.27599999999999997,2.762526330329086,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2001,Kharif     ,31274.0,88000.0,2.81,0.281,2.8138389716697576,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2002,Kharif     ,18092.0,48000.0,2.65,0.265,2.6531063453460093,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2003,Kharif     ,28333.0,78000.0,2.75,0.275,2.752973564394875,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2004,Kharif     ,28255.0,68000.0,2.41,0.24100000000000002,2.406653689612458,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2005,Kharif     ,26376.0,70000.0,2.65,0.265,2.653927813163482,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2006,Kharif     ,27360.0,84000.0,3.07,0.307,3.0701754385964914,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2007,Kharif     ,29214.0,94000.0,3.22,0.322,3.217635380297118,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2008,Kharif     ,8447.0,22000.0,2.6,0.26,2.6044749615248017,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2009,Kharif     ,9560.0,24000.0,2.51,0.251,2.510460251046025,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2010,Kharif     ,9550.0,18000.0,1.88,0.188,1.8848167539267016,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2011,Kharif     ,11554.0,28000.0,2.42,0.242,2.4234031504240954,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2012,Kharif     ,10709.0,25000.0,2.33,0.233,2.334485012606219,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2013,Kharif     ,11000.0,29000.0,2.64,0.264,2.6363636363636362,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2014,Kharif     ,11000.0,30000.0,2.73,0.273,2.727272727272727,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2015,Kharif     ,12000.0,33000.0,2.75,0.275,2.75,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2016,Kharif     ,12000.0,33000.0,2.75,0.275,2.75,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2017,Kharif     ,12000.0,32400.0,2.7,0.27,2.7,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2018,Kharif     ,13000.0,36000.0,2.77,0.277,2.769230769230769,Very Large,HARYANA,KHARIF,0.88
Haryana,FARIDABAD,Rice,2019,Kharif     ,16900.0,42400.0,2.51,0.251,2.5088757396449703,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,1997,Kharif     ,52000.0,184000.0,3.54,0.354,3.5384615384615383,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,1998,Kharif     ,70105.0,208000.0,2.97,0.29700000000000004,2.966978104272163,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,1999,Kharif     ,69238.0,164000.0,2.37,0.23700000000000002,2.3686414974436003,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2000,Kharif     ,61308.0,199000.0,3.25,0.325,3.2459059176616427,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2001,Kharif     ,58359.0,175000.0,3.0,0.3,2.99868058054456,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2002,Kharif     ,66915.0,202000.0,3.02,0.302,3.0187551371142494,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2003,Kharif     ,65108.0,218000.0,3.35,0.335,3.348282853105609,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2004,Kharif     ,65365.0,280000.0,4.28,0.42800000000000005,4.283638032586246,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2005,Kharif     ,68371.0,254000.0,3.72,0.372,3.715025376256015,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2006,Kharif     ,70069.0,312000.0,4.45,0.445,4.452753714196007,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2007,Kharif     ,73133.0,318000.0,4.35,0.43499999999999994,4.348242243583608,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2008,Kharif     ,77738.0,339000.0,4.36,0.43600000000000005,4.360801667138336,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2009,Kharif     ,81385.0,291000.0,3.58,0.358,3.575597468821036,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2010,Kharif     ,87580.0,348000.0,3.97,0.397,3.9735099337748343,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2011,Kharif     ,87063.0,325000.0,3.73,0.373,3.7329290284047185,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2012,Kharif     ,89639.0,370000.0,4.13,0.413,4.127667644663595,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2013,Kharif     ,92000.0,356000.0,3.87,0.387,3.869565217391304,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2014,Kharif     ,99000.0,366000.0,3.7,0.37,3.696969696969697,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2015,Kharif     ,110000.0,447000.0,4.06,0.40599999999999997,4.0636363636363635,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2016,Kharif     ,116000.0,486000.0,4.19,0.41900000000000004,4.189655172413793,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2017,Kharif     ,117800.0,513100.0,4.36,0.43600000000000005,4.355687606112054,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2018,Kharif     ,124000.0,495000.0,3.99,0.399,3.9919354838709675,Very Large,HARYANA,KHARIF,0.88
Haryana,FATEHABAD,Rice,2019,Kharif     ,128700.0,501700.0,3.9,0.39,3.8982128982128983,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,1997,Kharif     ,7000.0,20000.0,2.86,0.286,2.857142857142857,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,1998,Kharif     ,10884.0,25000.0,2.3,0.22999999999999998,2.296949650863653,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,1999,Kharif     ,9465.0,22000.0,2.32,0.23199999999999998,2.3243528790279977,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2000,Kharif     ,7881.0,20000.0,2.54,0.254,2.5377490166222563,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2001,Kharif     ,7503.0,21000.0,2.8,0.27999999999999997,2.7988804478208715,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2002,Kharif     ,2639.0,8000.0,3.03,0.303,3.031451307313376,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2003,Kharif     ,7491.0,19000.0,2.54,0.254,2.536376985716193,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2004,Kharif     ,6252.0,18000.0,2.88,0.288,2.8790786948176583,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2005,Kharif     ,2197.0,6000.0,2.73,0.273,2.7309968138370504,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2006,Kharif     ,2322.0,6000.0,2.58,0.258,2.5839793281653747,Very Large,HARYANA,KHARIF,0.88
Haryana,GURGAON,Rice,2007,Kharif     ,2615.0,10000.0,3.82,0.382,3.8240917782026767,Very Large,HARYANA,KHARIF,0.88
