State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Jammu and Kashmir,ANANTNAG,Rice,1997,Kharif     ,41279.0,1105.0,0.03,0.003,0.026769059327987597,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,1999,Kharif     ,40380.0,90749.0,2.25,0.225,2.2473749380881625,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2000,Kharif     ,37577.0,69552.0,1.85,0.185,1.850919445405434,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2001,Kharif     ,38893.0,56910.0,1.46,0.146,1.4632453140667987,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2002,Kharif     ,39013.0,80077.0,2.05,0.205,2.052572219516571,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2003,Kharif     ,40375.0,94313.0,2.34,0.23399999999999999,2.335925696594427,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2004,Kharif     ,40375.0,105726.0,2.62,0.262,2.6186006191950466,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2005,Kharif     ,40927.0,117980.0,2.88,0.288,2.882693576367679,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2006,Kharif     ,39595.0,111556.0,2.82,0.282,2.817426442732668,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2007,Kharif     ,25086.0,64867.0,2.59,0.259,2.585784899944192,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2009,Kharif     ,24440.0,53557.0,2.19,0.219,2.191366612111293,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2010,Kharif     ,24480.0,51802.0,2.12,0.21200000000000002,2.11609477124183,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2011,Kharif     ,25147.0,54153.0,2.15,0.215,2.1534576689068277,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2012,Kharif     ,25147.0,55815.0,2.22,0.22200000000000003,2.219549051576729,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2014,Kharif     ,23904.0,19403.0,0.81,0.081,0.8117051539491299,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2015,Kharif     ,23860.0,73371.0,3.08,0.308,3.0750628667225484,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2016,Kharif     ,23074.0,69687.0,3.02,0.302,3.0201525526566697,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2017,Kharif     ,22829.0,68741.0,3.01,0.301,3.0111261991326823,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2018,Kharif     ,21668.0,60728.0,2.8,0.27999999999999997,2.802658297950895,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,ANANTNAG,Rice,2019,Kharif     ,21811.0,64882.0,2.97,0.29700000000000004,2.9747375177662647,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,1997,Kharif     ,27897.0,626.0,0.02,0.002,0.022439688855432485,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,1999,Kharif     ,26568.0,34192.0,1.29,0.129,1.2869617585064739,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,2000,Kharif     ,24907.0,39978.0,1.61,0.161,1.6050909382904404,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,2001,Kharif     ,25245.0,44757.0,1.77,0.177,1.7729055258467024,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,2002,Kharif     ,24858.0,55256.0,2.22,0.22200000000000003,2.2228658781881085,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,2003,Kharif     ,24617.0,43876.0,1.78,0.178,1.7823455335743592,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,2004,Kharif     ,23734.0,40372.0,1.7,0.16999999999999998,1.701019634279936,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,2005,Kharif     ,24176.0,61700.0,2.55,0.255,2.552117802779616,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
Jammu and Kashmir,BADGAM,Rice,2006,Kharif     ,23923.0,59443.0,2.48,0.248,2.484763616603269,Very Large,JAMMU AND KASHMIR,KHARIF,0.5
