State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Jharkhand,BOKARO,Rice,2002,Winter     ,31891.35,22643.0,0.71,0.071,0.7100044369397972,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2003,Winter     ,31904.26,29990.0,0.94,0.094,0.9399998620873827,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2004,Winter     ,16103.97,10897.0,0.68,0.068,0.6766654433658285,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2005,Winter     ,16243.8,5404.0,0.33,0.033,0.33268077666555856,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2006,Autumn     ,547.09,471.0,0.86,0.086,0.8609186788279807,Large,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2006,Winter     ,305.95,226.0,0.74,0.074,0.738682791305769,Medium,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2007,Autumn     ,1363.19,1061.0,0.78,0.078,0.7783214372171157,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2007,Winter     ,35616.41,43832.0,1.23,0.123,1.2306686721092888,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2008,Autumn     ,4888.61,4628.0,0.95,0.095,0.9466903680187211,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2008,Winter     ,36863.74,33792.0,0.92,0.092,0.9166731319177056,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2009,Autumn     ,4880.0,3312.0,0.68,0.068,0.6786885245901639,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2009,Winter     ,20763.0,8790.0,0.42,0.041999999999999996,0.4233492269903193,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2011,Autumn     ,1602.0,1456.0,0.91,0.091,0.9088639200998752,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2011,Winter     ,33111.0,52404.0,1.58,0.158,1.5826764519344025,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2012,Autumn     ,388.0,477.0,1.23,0.123,1.2293814432989691,Medium,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2012,Winter     ,30042.0,54216.0,1.8,0.18,1.804673457159976,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2013,Autumn     ,460.0,511.0,1.11,0.11100000000000002,1.1108695652173912,Medium,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2013,Winter     ,28008.0,59995.0,2.14,0.21400000000000002,2.142066552413596,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2014,Autumn     ,432.0,575.0,1.33,0.133,1.3310185185185186,Medium,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2014,Winter     ,28194.0,48494.0,1.72,0.172,1.7200113499326097,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2015,Autumn     ,233.0,247.0,1.06,0.10600000000000001,1.0600858369098713,Medium,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2015,Winter     ,23362.0,15201.0,0.65,0.065,0.6506720315041521,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2016,Autumn     ,193.0,133.0,0.69,0.06899999999999999,0.689119170984456,Medium,JHARKHAND,AUTUMN,0.5
Jharkhand,BOKARO,Rice,2016,Winter     ,33001.0,47257.0,1.43,0.143,1.4319869094875912,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,BOKARO,Rice,2017,Kharif     ,33958.0,90554.0,2.67,0.267,2.6666470345721187,Very Large,JHARKHAND,KHARIF,0.5
Jharkhand,BOKARO,Rice,2018,Kharif     ,20245.0,20245.0,1.0,0.1,1.0,Very Large,JHARKHAND,KHARIF,0.5
Jharkhand,BOKARO,Rice,2019,Kharif     ,15926.0,39815.0,2.5,0.25,2.5,Very Large,JHARKHAND,KHARIF,0.5
Jharkhand,CHATRA,Rice,2002,Winter     ,27827.15,34283.0,1.23,0.123,1.231998246316996,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,CHATRA,Rice,2003,Winter     ,25537.4,27360.0,1.07,0.10700000000000001,1.0713698340473188,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,CHATRA,Rice,2004,Winter     ,22058.68,7868.0,0.36,0.036,0.3566849874969853,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,CHATRA,Rice,2005,Winter     ,14629.77,4955.0,0.34,0.034,0.33869295279419975,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,CHATRA,Rice,2006,Autumn     ,2738.22,2355.0,0.86,0.086,0.8600477682582116,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,CHATRA,Rice,2006,Winter     ,18560.23,22185.0,1.2,0.12,1.1952976875825354,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,CHATRA,Rice,2007,Autumn     ,2210.49,2041.0,0.92,0.092,0.9233246927151899,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,CHATRA,Rice,2007,Winter     ,19476.96,21801.0,1.12,0.11200000000000002,1.1193225226113317,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,CHATRA,Rice,2008,Autumn     ,2065.37,1882.0,0.91,0.091,0.9112168763950286,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,CHATRA,Rice,2008,Winter     ,18594.72,11219.0,0.6,0.06,0.6033433146613661,Very Large,JHARKHAND,WINTER,0.5
Jharkhand,CHATRA,Rice,2009,Autumn     ,2060.0,1045.0,0.51,0.051000000000000004,0.5072815533980582,Very Large,JHARKHAND,AUTUMN,0.5
Jharkhand,CHATRA,Rice,2009,Winter     ,14965.0,2325.0,0.16,0.016,0.1553625125292349,Very Large,JHARKHAND,WINTER,0.5
