State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Karnataka,BAGALKOTE,Rice,1998,Kharif     ,197.0,316.0,1.6,0.16,1.6040609137055837,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,1999,Kharif     ,128.0,202.0,1.58,0.158,1.578125,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2000,Kharif     ,171.0,311.0,1.82,0.182,1.8187134502923976,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2001,Kharif     ,171.0,411.0,2.4,0.24,2.4035087719298245,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2001,Summer     ,13.0,19.0,1.46,0.146,1.4615384615384615,Small,KARNATAKA,SUMMER,0.25
Karnataka,BAGALKOTE,Rice,2002,Kharif     ,112.0,230.0,2.05,0.205,2.0535714285714284,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2002,Summer     ,15.0,16.0,1.07,0.10700000000000001,1.0666666666666667,Small,KARNATAKA,SUMMER,0.25
Karnataka,BAGALKOTE,Rice,2003,Kharif     ,93.0,210.0,2.26,0.22599999999999998,2.2580645161290325,Small,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2003,Summer     ,2.0,7.0,3.5,0.35,3.5,Small,KARNATAKA,SUMMER,0.25
Karnataka,BAGALKOTE,Rice,2004,Kharif     ,64.0,179.0,2.79,0.279,2.796875,Small,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2005,Kharif     ,126.0,355.0,2.82,0.282,2.8174603174603177,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2005,Summer     ,63.0,196.0,3.11,0.311,3.111111111111111,Small,KARNATAKA,SUMMER,0.25
Karnataka,BAGALKOTE,Rice,2006,Kharif     ,117.0,339.0,2.9,0.29,2.8974358974358974,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2007,Kharif     ,68.0,206.0,3.03,0.303,3.0294117647058822,Small,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2008,Kharif     ,87.0,266.0,3.06,0.306,3.057471264367816,Small,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2009,Kharif     ,133.0,382.0,2.87,0.28700000000000003,2.8721804511278197,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2010,Kharif     ,121.0,388.0,3.21,0.321,3.206611570247934,Medium,KARNATAKA,KHARIF,0.25
Karnataka,BAGALKOTE,Rice,2010,Summer     ,23.0,74.0,3.22,0.322,3.217391304347826,Small,KARNATAKA,SUMMER,0.25
Karnataka,BAGALKOTE,Rice,2011,Kharif     ,79.0,254.0,3.22,0.322,3.2151898734177213,Small,KARNATAKA,KHARIF,0.25
