State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Kerala,ALAPPUZHA,Rice,1998,Autumn     ,8719.0,17570.0,2.02,0.202,2.0151393508429867,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,1998,Summer     ,19058.0,58013.0,3.04,0.304,3.0440235071885824,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,1998,Winter     ,7348.0,16098.0,2.19,0.219,2.1908002177463257,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,1999,Autumn     ,8233.0,24776.0,3.01,0.301,3.0093526053686386,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,1999,Summer     ,16404.0,39718.0,2.42,0.242,2.4212387222628626,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,1999,Winter     ,10689.0,27593.0,2.58,0.258,2.581438862381888,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2000,Autumn     ,9808.0,16384.0,1.67,0.16699999999999998,1.67047308319739,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2000,Summer     ,17536.0,55953.0,3.19,0.319,3.1907504562043796,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2000,Winter     ,10396.0,31207.0,3.0,0.3,3.001827626010004,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2001,Autumn     ,6851.0,2390.0,0.35,0.034999999999999996,0.34885418187125966,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2001,Summer     ,8741.0,22668.0,2.59,0.259,2.5932959615604623,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2001,Winter     ,17519.0,47741.0,2.73,0.273,2.7250984645242307,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2002,Autumn     ,3721.0,9467.0,2.54,0.254,2.5442085460897608,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2002,Summer     ,8765.0,28992.0,3.31,0.331,3.3077010838562466,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2002,Winter     ,17149.0,53102.0,3.1,0.31,3.0965070849612224,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2003,Autumn     ,5650.0,11736.0,2.08,0.20800000000000002,2.0771681415929204,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2003,Summer     ,9727.0,21180.0,2.18,0.21800000000000003,2.177444227408245,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2003,Winter     ,16706.0,30092.0,1.8,0.18,1.801269005147851,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2004,Autumn     ,6366.0,18345.0,2.88,0.288,2.8817153628652217,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2004,Summer     ,11991.0,27680.0,2.31,0.231,2.308397965140522,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2004,Winter     ,13801.0,32466.0,2.35,0.23500000000000001,2.352438229113832,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2005,Autumn     ,8643.0,16555.0,1.92,0.192,1.9154228855721394,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2005,Summer     ,4465.0,11764.0,2.63,0.263,2.6347144456886897,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2005,Winter     ,15660.0,43429.0,2.77,0.277,2.7732439335887613,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2006,Autumn     ,7594.0,22287.0,2.93,0.29300000000000004,2.9348169607584937,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2006,Summer     ,9770.0,27762.0,2.84,0.284,2.8415557830092117,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2006,Winter     ,13696.0,40111.0,2.93,0.29300000000000004,2.9286653037383177,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2007,Autumn     ,7991.0,14128.0,1.77,0.177,1.7679889876110624,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2007,Summer     ,15291.0,26776.0,1.75,0.175,1.75109541560395,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2007,Winter     ,10053.0,21366.0,2.13,0.213,2.125335720680394,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2008,Autumn     ,8755.0,26254.0,3.0,0.3,2.998743575099943,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2008,Summer     ,18121.0,55997.0,3.09,0.309,3.090171624082556,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2008,Winter     ,7267.0,21999.0,3.03,0.303,3.0272464565845603,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2009,Autumn     ,9128.0,28912.0,3.17,0.317,3.167397020157756,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2009,Summer     ,16820.0,46392.0,2.76,0.27599999999999997,2.7581450653983355,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2009,Winter     ,7492.0,22672.0,3.03,0.303,3.0261612386545647,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2010,Autumn     ,10445.22,23856.0,2.28,0.22799999999999998,2.283915513507614,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2010,Summer     ,22744.6,58234.0,2.56,0.256,2.560343993739173,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2010,Winter     ,3869.68,9235.0,2.39,0.23900000000000002,2.3865022430795313,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2011,Autumn     ,9966.03,30522.0,3.06,0.306,3.0626036646488117,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2011,Summer     ,17169.79,53157.0,3.1,0.31,3.095960987292215,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2011,Winter     ,9115.09,28301.0,3.1,0.31,3.1048514057458565,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2012,Autumn     ,10758.0,32362.0,3.01,0.301,3.0081799591002043,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2012,Summer     ,20325.0,57043.0,2.81,0.281,2.8065436654366542,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2012,Winter     ,5112.0,15188.0,2.97,0.29700000000000004,2.9710485133020343,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2013,Autumn     ,6339.0,20589.0,3.25,0.325,3.2479886417415997,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2013,Summer     ,19626.0,50082.0,2.55,0.255,2.5518190155915623,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2013,Winter     ,11438.0,36195.0,3.16,0.316,3.164451827242525,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2014,Autumn     ,11073.0,28432.0,2.57,0.257,2.567687166982751,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2014,Summer     ,18685.0,60549.0,3.24,0.324,3.2405137811078406,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2014,Winter     ,4657.0,14114.0,3.03,0.303,3.0307064633884475,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2015,Autumn     ,10217.0,30662.0,3.0,0.3,3.0010766369775865,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2015,Summer     ,19810.0,54501.0,2.75,0.275,2.751186269560828,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2015,Winter     ,1697.0,4172.0,2.46,0.246,2.4584560989982323,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2016,Autumn     ,8874.0,32592.0,3.67,0.367,3.6727518593644355,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2016,Summer     ,20104.0,59822.0,2.98,0.298,2.9756267409470754,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2016,Winter     ,3475.0,10025.0,2.88,0.288,2.884892086330935,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2017,Autumn     ,9197.0,25903.0,2.82,0.282,2.8164618897466567,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2017,Summer     ,21689.0,63770.0,2.94,0.294,2.9402001014339065,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2017,Winter     ,5439.0,16003.0,2.94,0.294,2.9422687994116568,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2018,Autumn     ,11155.79,1374.0,0.12,0.012,0.12316474225491873,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2018,Summer     ,18861.06,87003.0,4.61,0.461,4.612837242445546,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2018,Winter     ,8606.23,40183.0,4.67,0.46699999999999997,4.669059506892101,Very Large,KERALA,WINTER,0.5
Kerala,ALAPPUZHA,Rice,2019,Autumn     ,9604.0,19347.0,2.01,0.20099999999999998,2.014473136193253,Very Large,KERALA,AUTUMN,0.5
Kerala,ALAPPUZHA,Rice,2019,Summer     ,27163.0,95684.0,3.52,0.352,3.522585870485587,Very Large,KERALA,SUMMER,0.5
Kerala,ALAPPUZHA,Rice,2019,Winter     ,3571.0,10745.0,3.01,0.301,3.0089610753290397,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,1998,Autumn     ,16822.0,28778.0,1.71,0.17099999999999999,1.7107359410296041,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,1998,Summer     ,12446.0,19138.0,1.54,0.154,1.5376827896512937,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,1998,Winter     ,20462.0,36613.0,1.79,0.179,1.7893167823282181,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,1999,Autumn     ,15467.0,31401.0,2.03,0.20299999999999999,2.03019331479925,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,1999,Summer     ,9737.0,17067.0,1.75,0.175,1.752798603265893,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,1999,Winter     ,17690.0,33858.0,1.91,0.191,1.9139626907857548,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2000,Autumn     ,14600.0,26770.0,1.83,0.183,1.8335616438356164,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2000,Summer     ,7381.0,11941.0,1.62,0.162,1.6178024657905432,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2000,Winter     ,15452.0,26596.0,1.72,0.172,1.7212011390111313,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2001,Autumn     ,11821.0,22370.0,1.89,0.189,1.8923948904492005,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2001,Summer     ,6693.0,10867.0,1.62,0.162,1.6236366352906022,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2001,Winter     ,14391.0,26486.0,1.84,0.184,1.8404558404558404,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2002,Autumn     ,12016.0,23859.0,1.99,0.199,1.9856025299600533,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2002,Summer     ,6608.0,11936.0,1.81,0.181,1.8062953995157385,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2002,Winter     ,13448.0,25091.0,1.87,0.187,1.8657792980368828,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2003,Autumn     ,11291.0,20467.0,1.81,0.181,1.8126826676113719,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2003,Summer     ,6155.0,10828.0,1.76,0.176,1.7592201462225832,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2003,Winter     ,12049.0,22749.0,1.89,0.189,1.8880405012864139,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2004,Autumn     ,10797.0,21349.0,1.98,0.198,1.977308511623599,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2004,Summer     ,4862.0,8752.0,1.8,0.18,1.800082270670506,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2004,Winter     ,12486.0,24400.0,1.95,0.195,1.9541886913342945,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2005,Autumn     ,9976.0,19168.0,1.92,0.192,1.921411387329591,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2005,Summer     ,2812.0,5301.0,1.89,0.189,1.885135135135135,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2005,Winter     ,12146.0,23564.0,1.94,0.194,1.9400625720401778,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2006,Autumn     ,5740.0,11034.0,1.92,0.192,1.9222996515679442,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2006,Summer     ,2455.0,4432.0,1.81,0.181,1.805295315682281,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2006,Winter     ,13700.0,28541.0,2.08,0.20800000000000002,2.0832846715328466,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2007,Autumn     ,4382.0,8196.0,1.87,0.187,1.8703788224554998,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2007,Summer     ,2236.0,4123.0,1.84,0.184,1.8439177101967799,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2007,Winter     ,5725.0,12088.0,2.11,0.211,2.1114410480349344,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2008,Autumn     ,5097.0,10172.0,2.0,0.2,1.9956837355307044,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2008,Summer     ,1962.0,3401.0,1.73,0.173,1.7334352701325177,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2008,Winter     ,5907.0,12334.0,2.09,0.209,2.0880311494836636,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2009,Autumn     ,4090.0,7803.0,1.91,0.191,1.9078239608801957,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2009,Summer     ,1576.0,2599.0,1.65,0.16499999999999998,1.6491116751269035,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2009,Winter     ,5121.0,10622.0,2.07,0.207,2.0742042569810586,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2010,Autumn     ,3353.88,6380.0,1.9,0.19,1.9022743807172589,Very Large,KERALA,AUTUMN,0.5
Kerala,ERNAKULAM,Rice,2010,Summer     ,1152.89,2242.0,1.94,0.194,1.9446781566324627,Very Large,KERALA,SUMMER,0.5
Kerala,ERNAKULAM,Rice,2010,Winter     ,4508.73,9201.0,2.04,0.20400000000000001,2.0407076937408095,Very Large,KERALA,WINTER,0.5
Kerala,ERNAKULAM,Rice,2011,Autumn     ,3134.85,6488.0,2.07,0.207,2.0696365057339268,Very Large,KERALA,AUTUMN,0.5
