State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Maharashtra,AHMEDNAGAR,Rice,1997,Kharif     ,5900.0,7200.0,1.22,0.122,1.2203389830508475,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,1998,Kharif     ,5600.0,7400.0,1.32,0.132,1.3214285714285714,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,1999,Kharif     ,5700.0,8000.0,1.4,0.13999999999999999,1.4035087719298245,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2000,Kharif     ,5500.0,3800.0,0.69,0.06899999999999999,0.6909090909090909,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2001,Kharif     ,7300.0,4100.0,0.56,0.05600000000000001,0.5616438356164384,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2002,Kharif     ,7400.0,1700.0,0.23,0.023,0.22972972972972974,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2003,Kharif     ,7600.0,5900.0,0.78,0.078,0.7763157894736842,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2004,Kharif     ,8000.0,5800.0,0.73,0.073,0.725,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2005,Kharif     ,8000.0,3500.0,0.44,0.044,0.4375,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2006,Kharif     ,8400.0,6600.0,0.79,0.079,0.7857142857142857,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2007,Kharif     ,8600.0,10200.0,1.19,0.119,1.186046511627907,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2008,Kharif     ,9300.0,9100.0,0.98,0.098,0.978494623655914,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2009,Kharif     ,7400.0,2800.0,0.38,0.038,0.3783783783783784,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2010,Kharif     ,7500.0,7000.0,0.93,0.093,0.9333333333333333,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2011,Kharif     ,7900.0,7800.0,0.99,0.099,0.9873417721518988,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2012,Kharif     ,7500.0,4600.0,0.61,0.061,0.6133333333333333,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2013,Kharif     ,7900.0,19000.0,2.41,0.24100000000000002,2.4050632911392404,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2014,Kharif     ,8600.0,2200.0,0.26,0.026000000000000002,0.2558139534883721,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2015,Kharif     ,14000.0,17200.0,1.23,0.123,1.2285714285714286,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2016,Kharif     ,15000.0,26200.0,1.75,0.175,1.7466666666666666,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2017,Kharif     ,16200.0,37300.0,2.3,0.22999999999999998,2.302469135802469,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2018,Kharif     ,16245.0,6711.0,0.41,0.040999999999999995,0.4131117266851339,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AHMEDNAGAR,Rice,2019,Kharif     ,17331.0,19469.0,1.12,0.11200000000000002,1.1233627603715886,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AKOLA,Rice,1997,Kharif     ,2900.0,1600.0,0.55,0.05500000000000001,0.5517241379310345,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AKOLA,Rice,1998,Kharif     ,2900.0,2000.0,0.69,0.06899999999999999,0.6896551724137931,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,1997,Kharif     ,9500.0,5800.0,0.61,0.061,0.6105263157894737,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,1998,Kharif     ,8700.0,6100.0,0.7,0.06999999999999999,0.7011494252873564,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,1999,Kharif     ,8800.0,5600.0,0.64,0.064,0.6363636363636364,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2000,Kharif     ,8900.0,4400.0,0.49,0.049,0.4943820224719101,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2001,Kharif     ,10300.0,9700.0,0.94,0.094,0.941747572815534,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2002,Kharif     ,11000.0,7200.0,0.65,0.065,0.6545454545454545,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2003,Kharif     ,10200.0,6000.0,0.59,0.059,0.5882352941176471,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2004,Kharif     ,9600.0,4200.0,0.44,0.044,0.4375,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2005,Kharif     ,10200.0,5000.0,0.49,0.049,0.49019607843137253,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2006,Kharif     ,8500.0,4600.0,0.54,0.054000000000000006,0.5411764705882353,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2007,Kharif     ,6300.0,5200.0,0.83,0.08299999999999999,0.8253968253968254,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2008,Kharif     ,4500.0,1800.0,0.4,0.04,0.4,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2009,Kharif     ,4300.0,6200.0,1.44,0.144,1.441860465116279,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2010,Kharif     ,3800.0,2800.0,0.74,0.074,0.7368421052631579,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2011,Kharif     ,4100.0,3100.0,0.76,0.076,0.7560975609756098,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2012,Kharif     ,3800.0,1500.0,0.39,0.039,0.39473684210526316,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2013,Kharif     ,4700.0,800.0,0.17,0.017,0.1702127659574468,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2014,Kharif     ,5300.0,1600.0,0.3,0.03,0.3018867924528302,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2015,Kharif     ,5600.0,1200.0,0.21,0.020999999999999998,0.21428571428571427,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2016,Kharif     ,6900.0,4600.0,0.67,0.067,0.6666666666666666,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2017,Kharif     ,8900.0,3000.0,0.34,0.034,0.33707865168539325,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2018,Kharif     ,7258.0,2942.0,0.41,0.040999999999999995,0.40534582529622487,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AMRAVATI,Rice,2019,Kharif     ,6168.0,1186.0,0.19,0.019,0.1922827496757458,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,1997,Kharif     ,1100.0,1200.0,1.09,0.10900000000000001,1.0909090909090908,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,1998,Kharif     ,1200.0,600.0,0.5,0.05,0.5,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,1999,Kharif     ,900.0,400.0,0.44,0.044,0.4444444444444444,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2000,Kharif     ,600.0,400.0,0.67,0.067,0.6666666666666666,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2001,Kharif     ,500.0,300.0,0.6,0.06,0.6,Medium,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2002,Kharif     ,600.0,200.0,0.33,0.033,0.3333333333333333,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2003,Kharif     ,600.0,200.0,0.33,0.033,0.3333333333333333,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2004,Kharif     ,300.0,200.0,0.67,0.067,0.6666666666666666,Medium,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2005,Kharif     ,100.0,100.0,1.0,0.1,1.0,Small,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2006,Kharif     ,100.0,100.0,1.0,0.1,1.0,Small,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2016,Kharif     ,6500.0,3100.0,0.48,0.048,0.47692307692307695,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,AURANGABAD,Rice,2019,Kharif     ,5.0,1.0,0.2,0.02,0.2,Small,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,1997,Kharif     ,3400.0,1700.0,0.5,0.05,0.5,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,1998,Kharif     ,3500.0,1400.0,0.4,0.04,0.4,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,1999,Kharif     ,3800.0,1700.0,0.45,0.045,0.4473684210526316,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2000,Kharif     ,3400.0,2000.0,0.59,0.059,0.5882352941176471,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2001,Kharif     ,2400.0,1500.0,0.63,0.063,0.625,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2002,Kharif     ,2400.0,600.0,0.25,0.025,0.25,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2003,Kharif     ,2500.0,1000.0,0.4,0.04,0.4,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2004,Kharif     ,2300.0,600.0,0.26,0.026000000000000002,0.2608695652173913,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2005,Kharif     ,2200.0,900.0,0.41,0.040999999999999995,0.4090909090909091,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2006,Kharif     ,2000.0,1500.0,0.75,0.075,0.75,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2007,Kharif     ,1500.0,700.0,0.47,0.047,0.4666666666666667,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2008,Kharif     ,1000.0,400.0,0.4,0.04,0.4,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2009,Kharif     ,600.0,200.0,0.33,0.033,0.3333333333333333,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2010,Kharif     ,800.0,300.0,0.38,0.038,0.375,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2011,Kharif     ,600.0,300.0,0.5,0.05,0.5,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2012,Kharif     ,600.0,300.0,0.5,0.05,0.5,Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2013,Kharif     ,500.0,300.0,0.6,0.06,0.6,Medium,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2014,Kharif     ,400.0,100.0,0.25,0.025,0.25,Medium,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2015,Kharif     ,300.0,0.0,0.0,0.0,0.0,Medium,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2016,Kharif     ,100.0,70.0,0.7,0.06999999999999999,0.7,Small,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2017,Kharif     ,65.0,30.0,0.46,0.046,0.46153846153846156,Small,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2018,Kharif     ,29.0,9.0,0.31,0.031,0.3103448275862069,Small,MAHARASHTRA,KHARIF,0.5
Maharashtra,BEED,Rice,2019,Kharif     ,16.0,2.0,0.13,0.013000000000000001,0.125,Small,MAHARASHTRA,KHARIF,0.5
Maharashtra,BHANDARA,Rice,1997,Kharif     ,306900.0,381500.0,1.24,0.124,1.2430759204952753,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BHANDARA,Rice,1997,Summer     ,128.0,193.0,1.51,0.151,1.5078125,Medium,MAHARASHTRA,SUMMER,0.5
Maharashtra,BHANDARA,Rice,1998,Kharif     ,311400.0,365800.0,1.17,0.11699999999999999,1.1746949261400128,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BHANDARA,Rice,1998,Summer     ,13500.0,21100.0,1.56,0.156,1.5629629629629629,Very Large,MAHARASHTRA,SUMMER,0.5
Maharashtra,BHANDARA,Rice,1999,Kharif     ,141000.0,218200.0,1.55,0.155,1.5475177304964538,Very Large,MAHARASHTRA,KHARIF,0.5
Maharashtra,BHANDARA,Rice,1999,Summer     ,5500.0,11400.0,2.07,0.207,2.0727272727272728,Very Large,MAHARASHTRA,SUMMER,0.5
