State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Manipur,BISHNUPUR,Rice,1997,Kharif     ,17.0,40.0,2.35,0.23500000000000001,2.3529411764705883,Small,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,1998,Autumn     ,1470.0,3360.0,2.29,0.229,2.2857142857142856,Very Large,MANIPUR,AUTUMN,0.5
Manipur,BISHNUPUR,Rice,1998,Winter     ,16140.0,42510.0,2.63,0.263,2.633828996282528,Very Large,MANIPUR,WINTER,0.5
Manipur,BISHNUPUR,Rice,1999,Kharif     ,18360.0,48930.0,2.67,0.267,2.665032679738562,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2000,Kharif     ,18660.0,50320.0,2.7,0.27,2.6966773847802785,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2001,Kharif     ,19020.0,51410.0,2.7,0.27,2.702944269190326,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2002,Kharif     ,17050.0,48370.0,2.84,0.284,2.836950146627566,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2003,Kharif     ,16470.0,55040.0,3.34,0.33399999999999996,3.341833636915604,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2004,Kharif     ,21740.0,63390.0,2.92,0.292,2.9158233670653173,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2005,Kharif     ,16030.0,48180.0,3.01,0.301,3.0056144728633813,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2006,Kharif     ,15210.0,40820.0,2.68,0.268,2.6837606837606836,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2007,Kharif     ,17200.0,50940.0,2.96,0.296,2.9616279069767444,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2008,Kharif     ,27500.0,96380.0,3.5,0.35,3.5047272727272727,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2009,Kharif     ,16480.0,50400.0,3.06,0.306,3.058252427184466,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2010,Kharif     ,26510.0,82990.0,3.13,0.313,3.130516786118446,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2011,Kharif     ,29430.0,110150.0,3.74,0.374,3.7427794767244307,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2012,Kharif     ,13850.0,38200.0,2.76,0.27599999999999997,2.7581227436823106,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2013,Kharif     ,28710.0,106450.0,3.71,0.371,3.7077673284569834,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2014,Kharif     ,29860.0,82350.0,2.76,0.27599999999999997,2.757870060281313,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2015,Kharif     ,33330.0,87250.0,2.62,0.262,2.617761776177618,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2016,Kharif     ,33360.0,111920.0,3.35,0.335,3.354916067146283,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2017,Kharif     ,31480.0,113470.0,3.6,0.36,3.604510800508259,Very Large,MANIPUR,KHARIF,0.5
Manipur,BISHNUPUR,Rice,2018,Kharif     ,29860.0,113400.0,3.8,0.38,3.797722705961152,Very Large,MANIPUR,KHARIF,0.5
Manipur,CHANDEL,Rice,1997,Kharif     ,7.0,9.0,1.29,0.129,1.2857142857142858,Small,MANIPUR,KHARIF,0.5
Manipur,CHANDEL,Rice,1998,Autumn     ,2700.0,3320.0,1.23,0.123,1.2296296296296296,Very Large,MANIPUR,AUTUMN,0.5
Manipur,CHANDEL,Rice,1998,Winter     ,3540.0,5180.0,1.46,0.146,1.463276836158192,Very Large,MANIPUR,WINTER,0.5
Manipur,CHANDEL,Rice,1999,Kharif     ,6170.0,6710.0,1.09,0.10900000000000001,1.087520259319287,Very Large,MANIPUR,KHARIF,0.5
Manipur,CHANDEL,Rice,2000,Kharif     ,9410.0,11680.0,1.24,0.124,1.241232731137088,Very Large,MANIPUR,KHARIF,0.5
