State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Meghalaya,EAST GARO HILLS,Rice,1997,Kharif     ,17301.0,22730.0,1.31,0.131,1.3137968903531587,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST GARO HILLS,Rice,1998,Kharif     ,17167.0,25215.0,1.47,0.147,1.4688064309430884,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST GARO HILLS,Rice,1999,Kharif     ,16970.0,24669.0,1.45,0.145,1.4536829699469653,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST GARO HILLS,Rice,1999,Rabi       ,100.0,200.0,2.0,0.2,2.0,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2000,Kharif     ,16982.0,30010.0,1.77,0.177,1.7671652337769403,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST GARO HILLS,Rice,2000,Rabi       ,100.0,200.0,2.0,0.2,2.0,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2001,Kharif     ,17024.0,30210.0,1.77,0.177,1.7745535714285714,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST GARO HILLS,Rice,2002,Kharif     ,16907.0,30409.0,1.8,0.18,1.7986041284674987,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST GARO HILLS,Rice,2003,Kharif     ,16851.0,29340.0,1.74,0.174,1.7411429588748442,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST GARO HILLS,Rice,2004,Autumn     ,10765.0,13973.0,1.3,0.13,1.2980027868091035,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2004,Summer     ,80.0,169.0,2.11,0.211,2.1125,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST GARO HILLS,Rice,2004,Winter     ,6962.0,17997.0,2.59,0.259,2.585033036483769,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2005,Autumn     ,10767.0,17562.0,1.63,0.16299999999999998,1.6310950125383115,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2005,Summer     ,71.0,96.0,1.35,0.135,1.352112676056338,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST GARO HILLS,Rice,2005,Winter     ,6964.0,17737.0,2.55,0.255,2.5469557725445147,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2006,Autumn     ,10760.0,16215.0,1.51,0.151,1.5069702602230484,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2006,Rabi       ,66.0,87.0,1.32,0.132,1.3181818181818181,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2006,Winter     ,6777.0,10789.0,1.59,0.159,1.5920023609266638,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2007,Autumn     ,10694.0,12191.0,1.14,0.11399999999999999,1.1399850383392556,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2007,Summer     ,60.0,74.0,1.23,0.123,1.2333333333333334,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST GARO HILLS,Rice,2007,Winter     ,6783.0,9354.0,1.38,0.13799999999999998,1.3790358248562582,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2008,Autumn     ,10670.0,15354.0,1.44,0.144,1.438987816307404,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2008,Summer     ,83.0,160.0,1.93,0.193,1.927710843373494,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST GARO HILLS,Rice,2008,Winter     ,6789.0,10828.0,1.59,0.159,1.5949329798202976,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2009,Autumn     ,10665.0,15127.0,1.42,0.142,1.4183778715424284,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2009,Summer     ,90.0,164.0,1.82,0.182,1.8222222222222222,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST GARO HILLS,Rice,2009,Winter     ,6803.0,10830.0,1.59,0.159,1.591944730266059,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2010,Autumn     ,10675.0,15218.0,1.43,0.143,1.4255737704918032,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2010,Rabi       ,86.0,110.0,1.28,0.128,1.2790697674418605,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2010,Winter     ,6809.0,10840.0,1.59,0.159,1.5920105742399766,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2011,Autumn     ,10673.0,15161.0,1.42,0.142,1.4205003279302915,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2011,Rabi       ,90.0,126.0,1.4,0.13999999999999999,1.4,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2011,Winter     ,6825.0,10869.0,1.59,0.159,1.5925274725274725,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2012,Autumn     ,10807.0,23015.0,2.13,0.213,2.1296381974646064,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2012,Rabi       ,95.0,136.0,1.43,0.143,1.431578947368421,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2012,Winter     ,6831.0,11733.0,1.72,0.172,1.717610891523935,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2013,Autumn     ,5837.0,13713.0,2.35,0.23500000000000001,2.349323282508138,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2013,Rabi       ,30.0,52.0,1.73,0.173,1.7333333333333334,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2013,Winter     ,3154.0,5414.0,1.72,0.172,1.716550412175016,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2014,Autumn     ,5845.0,14605.0,2.5,0.25,2.4987168520102654,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2014,Rabi       ,30.0,53.0,1.77,0.177,1.7666666666666666,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2014,Winter     ,3157.0,5821.0,1.84,0.184,1.8438390877415267,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2015,Autumn     ,5848.0,14764.0,2.52,0.252,2.524623803009576,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2015,Rabi       ,32.0,58.0,1.81,0.181,1.8125,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2015,Winter     ,3163.0,5938.0,1.88,0.188,1.8773316471704078,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2016,Autumn     ,5968.0,15069.0,2.52,0.252,2.524966487935657,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2016,Rabi       ,32.0,58.0,1.81,0.181,1.8125,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2016,Winter     ,3165.0,6014.0,1.9,0.19,1.9001579778830964,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2017,Autumn     ,5960.0,15061.0,2.53,0.253,2.527013422818792,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2017,Rabi       ,33.0,60.0,1.82,0.182,1.8181818181818181,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2017,Winter     ,3166.0,6021.0,1.9,0.19,1.901768793430196,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2018,Autumn     ,5945.0,14952.0,2.52,0.252,2.515054667788057,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2018,Rabi       ,28.0,51.0,1.82,0.182,1.8214285714285714,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2018,Winter     ,3151.0,5946.0,1.89,0.189,1.8870199936528087,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST GARO HILLS,Rice,2019,Autumn     ,5943.0,14948.0,2.52,0.252,2.5152279993269393,Very Large,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST GARO HILLS,Rice,2019,Rabi       ,28.0,51.0,1.82,0.182,1.8214285714285714,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST GARO HILLS,Rice,2019,Winter     ,3166.0,6021.0,1.9,0.19,1.901768793430196,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,1997,Kharif     ,16442.0,26991.0,1.64,0.16399999999999998,1.6415886145237806,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,1998,Kharif     ,16649.0,26236.0,1.58,0.158,1.5758303802030151,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,1999,Kharif     ,16801.0,26372.0,1.57,0.157,1.5696684721147551,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,1999,Rabi       ,52.0,59.0,1.13,0.11299999999999999,1.1346153846153846,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2000,Kharif     ,16993.0,25682.0,1.51,0.151,1.5113281939622198,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2000,Rabi       ,52.0,60.0,1.15,0.11499999999999999,1.1538461538461537,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2001,Kharif     ,16885.0,25621.0,1.52,0.152,1.5173822919751259,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2002,Kharif     ,16929.0,25756.0,1.52,0.152,1.5214129600094513,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2003,Kharif     ,16937.0,26718.0,1.58,0.158,1.577493062525831,Very Large,MEGHALAYA,KHARIF,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2004,Autumn     ,83.0,141.0,1.7,0.16999999999999998,1.6987951807228916,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2004,Summer     ,30.0,35.0,1.17,0.11699999999999999,1.1666666666666667,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2004,Winter     ,16813.0,24350.0,1.45,0.145,1.4482840659013858,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2005,Autumn     ,98.0,166.0,1.69,0.16899999999999998,1.6938775510204083,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2005,Summer     ,1.0,3.0,3.0,0.3,3.0,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2005,Winter     ,12194.0,18669.0,1.53,0.153,1.5309988518943742,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2006,Autumn     ,98.0,167.0,1.7,0.16999999999999998,1.7040816326530612,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2006,Rabi       ,1.0,3.0,3.0,0.3,3.0,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2006,Winter     ,12195.0,18622.0,1.53,0.153,1.527019270192702,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2007,Autumn     ,97.0,169.0,1.74,0.174,1.7422680412371134,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2007,Summer     ,12.0,30.0,2.5,0.25,2.5,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2007,Winter     ,12195.0,18621.0,1.53,0.153,1.5269372693726937,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2008,Autumn     ,101.0,168.0,1.66,0.16599999999999998,1.6633663366336633,Medium,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2008,Summer     ,40.0,87.0,2.18,0.21800000000000003,2.175,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2008,Winter     ,12195.0,19838.0,1.63,0.16299999999999998,1.6267322673226732,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2009,Autumn     ,102.0,173.0,1.7,0.16999999999999998,1.696078431372549,Medium,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2009,Summer     ,45.0,92.0,2.04,0.20400000000000001,2.0444444444444443,Small,MEGHALAYA,SUMMER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2009,Winter     ,12198.0,19883.0,1.63,0.16299999999999998,1.6300213149696672,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2010,Autumn     ,101.0,159.0,1.57,0.157,1.5742574257425743,Medium,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2010,Rabi       ,50.0,99.0,1.98,0.198,1.98,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2010,Winter     ,12223.0,20839.0,1.7,0.16999999999999998,1.7049005972347215,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2011,Autumn     ,106.0,166.0,1.57,0.157,1.5660377358490567,Medium,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2011,Rabi       ,47.0,95.0,2.02,0.202,2.021276595744681,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2011,Winter     ,12230.0,20856.0,1.71,0.17099999999999999,1.7053147996729354,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2012,Autumn     ,103.0,232.0,2.25,0.225,2.2524271844660193,Medium,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2012,Rabi       ,48.0,103.0,2.15,0.215,2.1458333333333335,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2012,Winter     ,12239.0,22458.0,1.83,0.183,1.8349538360977204,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2013,Autumn     ,77.0,185.0,2.4,0.24,2.4025974025974026,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2013,Rabi       ,21.0,45.0,2.14,0.21400000000000002,2.142857142857143,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2013,Winter     ,7911.0,15624.0,1.97,0.197,1.974971558589306,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2014,Autumn     ,27.0,66.0,2.44,0.244,2.4444444444444446,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2014,Rabi       ,21.0,47.0,2.24,0.22400000000000003,2.238095238095238,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2014,Winter     ,4341.0,8937.0,2.06,0.20600000000000002,2.0587422252937113,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2015,Autumn     ,28.0,69.0,2.46,0.246,2.4642857142857144,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2015,Rabi       ,23.0,53.0,2.3,0.22999999999999998,2.3043478260869565,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2015,Winter     ,4347.0,9063.0,2.08,0.20800000000000002,2.0848861283643894,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2016,Autumn     ,29.0,70.0,2.41,0.24100000000000002,2.413793103448276,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2016,Rabi       ,23.0,54.0,2.35,0.23500000000000001,2.347826086956522,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2016,Winter     ,4357.0,9106.0,2.09,0.209,2.0899701629561624,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2017,Autumn     ,29.0,70.0,2.41,0.24100000000000002,2.413793103448276,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2017,Rabi       ,23.0,54.0,2.35,0.23500000000000001,2.347826086956522,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2017,Winter     ,4359.0,9119.0,2.09,0.209,2.0919935765083735,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2018,Autumn     ,28.0,68.0,2.43,0.24300000000000002,2.4285714285714284,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2018,Rabi       ,24.0,56.0,2.33,0.233,2.3333333333333335,Small,MEGHALAYA,RABI,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2018,Winter     ,4360.0,9126.0,2.09,0.209,2.0931192660550457,Very Large,MEGHALAYA,WINTER,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2019,Autumn     ,27.0,66.0,2.44,0.244,2.4444444444444446,Small,MEGHALAYA,AUTUMN,0.5
Meghalaya,EAST JAINTIA HILLS,Rice,2019,Rabi       ,24.0,56.0,2.33,0.233,2.3333333333333335,Small,MEGHALAYA,RABI,0.5
