State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Mizoram,AIZAWL,Rice,1997,Whole Year ,30274.0,50241.0,1.66,0.16599999999999998,1.659542842042677,Very Large,MIZORAM,WHOLE YEAR,0.5
Mizoram,AIZAWL,Rice,1998,Kharif     ,29487.0,46626.0,1.58,0.158,1.5812391901515923,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,1998,Rabi       ,1232.0,3712.0,3.01,0.301,3.012987012987013,Very Large,MIZORAM,RABI,0.5
Mizoram,AIZAWL,Rice,1999,Kharif     ,23941.0,49312.0,2.06,0.20600000000000002,2.059730170001253,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2000,Kharif     ,24666.0,53997.0,2.19,0.219,2.18912673315495,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2001,Kharif     ,26378.0,53079.0,2.01,0.20099999999999998,2.012245052695428,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2002,Kharif     ,26485.0,52774.0,1.99,0.199,1.9925995846705682,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2003,Kharif     ,13951.0,27913.0,2.0,0.2,2.00078847394452,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2004,Kharif     ,9800.0,13416.0,1.37,0.137,1.3689795918367347,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2005,Whole Year ,10124.0,15423.0,1.52,0.152,1.523409719478467,Very Large,MIZORAM,WHOLE YEAR,0.5
Mizoram,AIZAWL,Rice,2006,Kharif     ,8412.0,220.0,0.03,0.003,0.02615311459819306,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2006,Rabi       ,537.0,726.0,1.35,0.135,1.3519553072625698,Large,MIZORAM,RABI,0.5
Mizoram,AIZAWL,Rice,2007,Kharif     ,8457.0,1308.0,0.15,0.015,0.1546647747428166,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2007,Rabi       ,80.0,96.0,1.2,0.12,1.2,Small,MIZORAM,RABI,0.5
Mizoram,AIZAWL,Rice,2008,Kharif     ,6604.0,5220.0,0.79,0.079,0.7904300423985463,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2009,Kharif     ,5328.0,6823.0,1.28,0.128,1.280593093093093,Very Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2010,Autumn     ,4826.0,4518.0,0.94,0.094,0.9361790302527974,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2010,Kharif     ,399.0,573.0,1.44,0.144,1.4360902255639099,Medium,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2011,Autumn     ,3798.0,4038.0,1.06,0.10600000000000001,1.0631911532385465,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2011,Kharif     ,621.0,1281.0,2.06,0.20600000000000002,2.0628019323671496,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2012,Autumn     ,3421.0,3823.0,1.12,0.11200000000000002,1.1175095001461561,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2012,Kharif     ,638.0,1825.0,2.86,0.286,2.8605015673981193,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2012,Rabi       ,18.0,30.0,1.67,0.16699999999999998,1.6666666666666667,Small,MIZORAM,RABI,0.5
Mizoram,AIZAWL,Rice,2013,Autumn     ,3004.0,3605.0,1.2,0.12,1.2000665778961386,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2013,Kharif     ,740.0,1665.0,2.25,0.225,2.25,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2014,Autumn     ,3084.0,4300.0,1.39,0.13899999999999998,1.3942931258106355,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2014,Kharif     ,835.0,2010.0,2.41,0.24100000000000002,2.407185628742515,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2015,Autumn     ,3069.0,4296.0,1.4,0.13999999999999999,1.3998044965786902,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2015,Kharif     ,875.0,2100.0,2.4,0.24,2.4,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2016,Autumn     ,3052.0,4263.0,1.4,0.13999999999999999,1.396788990825688,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2016,Kharif     ,897.0,2153.0,2.4,0.24,2.400222965440357,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2017,Autumn     ,3003.0,4164.0,1.39,0.13899999999999998,1.3866133866133865,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2017,Kharif     ,855.0,1910.0,2.23,0.223,2.2339181286549707,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2018,Autumn     ,3011.0,4293.0,1.43,0.143,1.4257721687147127,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2018,Kharif     ,881.0,2011.0,2.28,0.22799999999999998,2.282633371169126,Large,MIZORAM,KHARIF,0.5
Mizoram,AIZAWL,Rice,2019,Autumn     ,3011.0,3703.0,1.23,0.123,1.229823978744603,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,AIZAWL,Rice,2019,Kharif     ,881.0,1973.0,2.24,0.22400000000000003,2.23950056753689,Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,1997,Whole Year ,6002.0,9252.0,1.54,0.154,1.5414861712762413,Very Large,MIZORAM,WHOLE YEAR,0.5
Mizoram,CHAMPHAI,Rice,1998,Kharif     ,5722.0,9403.0,1.64,0.16399999999999998,1.6433065361761623,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,1998,Rabi       ,13.0,126.0,9.69,0.969,9.692307692307692,Small,MIZORAM,RABI,0.5
Mizoram,CHAMPHAI,Rice,1999,Kharif     ,5807.0,9182.0,1.58,0.158,1.5811951093507834,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2000,Kharif     ,7596.0,8931.0,1.18,0.118,1.1757503949447077,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2001,Kharif     ,9650.0,10931.0,1.13,0.11299999999999999,1.1327461139896373,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2002,Kharif     ,9927.0,11104.0,1.12,0.11200000000000002,1.1185655283570062,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2003,Kharif     ,9376.0,21861.0,2.33,0.233,2.3315912969283277,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2004,Kharif     ,10799.0,23472.0,2.17,0.217,2.1735345865357902,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2005,Whole Year ,10419.0,19660.0,1.89,0.189,1.8869373260389672,Very Large,MIZORAM,WHOLE YEAR,0.5
Mizoram,CHAMPHAI,Rice,2006,Kharif     ,10304.0,5291.0,0.51,0.051000000000000004,0.5134899068322981,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2007,Kharif     ,13602.0,5361.0,0.39,0.039,0.394133215703573,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2007,Rabi       ,10.0,9.0,0.9,0.09,0.9,Small,MIZORAM,RABI,0.5
Mizoram,CHAMPHAI,Rice,2008,Kharif     ,9462.0,18955.0,2.0,0.2,2.003276262946523,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2009,Kharif     ,7973.0,17225.0,2.16,0.21600000000000003,2.1604164053681174,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2010,Autumn     ,4350.0,4431.0,1.02,0.10200000000000001,1.0186206896551724,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,CHAMPHAI,Rice,2010,Kharif     ,3750.0,8148.0,2.17,0.217,2.1728,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2011,Autumn     ,3730.0,4004.0,1.07,0.10700000000000001,1.0734584450402145,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,CHAMPHAI,Rice,2011,Kharif     ,3775.0,7639.0,2.02,0.202,2.0235761589403976,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2012,Autumn     ,5900.0,7060.0,1.2,0.12,1.1966101694915254,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,CHAMPHAI,Rice,2012,Kharif     ,3993.0,8135.0,2.04,0.20400000000000001,2.037315301778112,Very Large,MIZORAM,KHARIF,0.5
Mizoram,CHAMPHAI,Rice,2013,Autumn     ,5602.0,6442.0,1.15,0.11499999999999999,1.149946447697251,Very Large,MIZORAM,AUTUMN,0.5
Mizoram,CHAMPHAI,Rice,2013,Kharif     ,4384.0,9338.0,2.13,0.213,2.1300182481751824,Very Large,MIZORAM,KHARIF,0.5
