State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Nagaland,DIMAPUR,Rice,2000,Kharif     ,25740.0,45660.0,1.77,0.177,1.7738927738927739,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2000,Rabi       ,1680.0,3330.0,1.98,0.198,1.9821428571428572,Very Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2001,Kharif     ,26300.0,47880.0,1.82,0.182,1.820532319391635,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2001,Rabi       ,1250.0,1400.0,1.12,0.11200000000000002,1.12,Very Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2002,Kharif     ,24850.0,44290.0,1.78,0.178,1.7822937625754527,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2003,Kharif     ,29230.0,59020.0,2.02,0.202,2.019158398905234,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2003,Rabi       ,580.0,1330.0,2.29,0.229,2.293103448275862,Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2004,Kharif     ,33310.0,62040.0,1.86,0.186,1.8625037526268389,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2004,Rabi       ,670.0,1350.0,2.01,0.20099999999999998,2.014925373134328,Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2005,Kharif     ,34100.0,62390.0,1.83,0.183,1.8296187683284457,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2005,Rabi       ,650.0,1250.0,1.92,0.192,1.9230769230769231,Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2006,Kharif     ,34360.0,54100.0,1.57,0.157,1.5745052386495926,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2006,Rabi       ,720.0,1150.0,1.6,0.16,1.5972222222222223,Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2007,Kharif     ,29550.0,66880.0,2.26,0.22599999999999998,2.2632825719120135,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2007,Rabi       ,1030.0,1730.0,1.68,0.16799999999999998,1.6796116504854368,Very Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2008,Kharif     ,40400.0,87300.0,2.16,0.21600000000000003,2.160891089108911,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2009,Kharif     ,39290.0,61250.0,1.56,0.156,1.5589208449987275,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2010,Kharif     ,43950.0,100470.0,2.29,0.229,2.2860068259385664,Very Large,NAGALAND,KHARIF,0.5
Nagaland,DIMAPUR,Rice,2010,Rabi       ,980.0,2310.0,2.36,0.236,2.357142857142857,Large,NAGALAND,RABI,0.5
Nagaland,DIMAPUR,Rice,2011,Kharif     ,43870.0,101270.0,2.31,0.231,2.308411214953271,Very Large,NAGALAND,KHARIF,0.5
