State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Odisha,ANUGUL,Rice,1998,Autumn     ,22432.0,9042.0,0.4,0.04,0.4030848787446505,Very Large,ODISHA,AUTUMN,0.35
Odisha,ANUGUL,Rice,1998,Summer     ,1917.0,2028.0,1.06,0.10600000000000001,1.057902973395931,Very Large,ODISHA,SUMMER,0.35
Odisha,ANUGUL,Rice,1998,Winter     ,77609.0,63810.0,0.82,0.08199999999999999,0.8221984563645969,Very Large,ODISHA,WINTER,0.35
Odisha,ANUGUL,Rice,1999,Autumn     ,20000.0,23000.0,1.15,0.11499999999999999,1.15,Very Large,ODISHA,AUTUMN,0.35
Odisha,ANUGUL,Rice,1999,Summer     ,4650.0,8350.0,1.8,0.18,1.7956989247311828,Very Large,ODISHA,SUMMER,0.35
Odisha,ANUGUL,Rice,1999,Winter     ,89000.0,117000.0,1.31,0.131,1.3146067415730338,Very Large,ODISHA,WINTER,0.35
Odisha,ANUGUL,Rice,2000,Autumn     ,22840.0,7460.0,0.33,0.033,0.3266199649737303,Very Large,ODISHA,AUTUMN,0.35
Odisha,ANUGUL,Rice,2000,Summer     ,950.0,1420.0,1.49,0.149,1.4947368421052631,Large,ODISHA,SUMMER,0.35
Odisha,ANUGUL,Rice,2000,Winter     ,89060.0,37420.0,0.42,0.041999999999999996,0.42016618010330115,Very Large,ODISHA,WINTER,0.35
Odisha,ANUGUL,Rice,2001,Kharif     ,113000.0,187000.0,1.65,0.16499999999999998,1.654867256637168,Very Large,ODISHA,KHARIF,0.35
Odisha,ANUGUL,Rice,2002,Kharif     ,104000.0,41000.0,0.39,0.039,0.3942307692307692,Very Large,ODISHA,KHARIF,0.35
Odisha,ANUGUL,Rice,2003,Kharif     ,109000.0,165000.0,1.51,0.151,1.5137614678899083,Very Large,ODISHA,KHARIF,0.35
Odisha,ANUGUL,Rice,2004,Autumn     ,23000.0,22000.0,0.96,0.096,0.9565217391304348,Very Large,ODISHA,AUTUMN,0.35
