State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Puducherry,KARAIKAL,Rice,1998,Kharif     ,909.0,2215.0,2.44,0.244,2.436743674367437,Large,PUDUCHERRY,KHARIF,0.5
Puducherry,KARAIKAL,Rice,1998,Rabi       ,7550.0,14556.0,1.93,0.193,1.9279470198675497,Very Large,PUDUCHERRY,RABI,0.5
Puducherry,KARAIKAL,Rice,1998,Summer     ,153.0,383.0,2.5,0.25,2.503267973856209,Medium,PUDUCHERRY,SUMMER,0.5
Puducherry,KARAIKAL,Rice,1999,Kharif     ,8533.0,16642.0,1.95,0.195,1.950310559006211,Very Large,PUDUCHERRY,KHARIF,0.5
Puducherry,KARAIKAL,Rice,2000,Kharif     ,16647.0,40159.0,2.41,0.24100000000000002,2.4123866162071246,Very Large,PUDUCHERRY,KHARIF,0.5
Puducherry,KARAIKAL,Rice,2001,Kharif     ,8593.0,17646.0,2.05,0.205,2.0535319446060747,Very Large,PUDUCHERRY,KHARIF,0.5
Puducherry,KARAIKAL,Rice,2002,Kharif     ,6619.0,7315.0,1.11,0.11100000000000002,1.1051518356247167,Very Large,PUDUCHERRY,KHARIF,0.5
Puducherry,KARAIKAL,Rice,2003,Kharif     ,5937.0,12725.0,2.14,0.21400000000000002,2.143338386390433,Very Large,PUDUCHERRY,KHARIF,0.5
Puducherry,KARAIKAL,Rice,2004,Autumn     ,772.0,1423.0,1.84,0.184,1.8432642487046633,Large,PUDUCHERRY,AUTUMN,0.5
Puducherry,KARAIKAL,Rice,2004,Winter     ,6127.0,8382.0,1.37,0.137,1.3680430879712746,Very Large,PUDUCHERRY,WINTER,0.5
Puducherry,KARAIKAL,Rice,2005,Autumn     ,565.0,1189.0,2.1,0.21000000000000002,2.104424778761062,Large,PUDUCHERRY,AUTUMN,0.5
