State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Punjab,AMRITSAR,Rice,1997,Kharif     ,292000.0,879000.0,3.01,0.301,3.01027397260274,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,1998,Kharif     ,305000.0,878000.0,2.88,0.288,2.878688524590164,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,1999,Kharif     ,319000.0,991000.0,3.11,0.311,3.1065830721003134,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2000,Kharif     ,319000.0,972000.0,3.05,0.305,3.0470219435736676,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2001,Kharif     ,319000.0,958000.0,3.0,0.3,3.0031347962382444,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2002,Kharif     ,311000.0,879000.0,2.83,0.28300000000000003,2.8263665594855305,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2003,Kharif     ,326000.0,872000.0,2.67,0.267,2.6748466257668713,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2004,Kharif     ,334000.0,1034000.0,3.1,0.31,3.095808383233533,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2005,Kharif     ,345000.0,1003000.0,2.91,0.29100000000000004,2.907246376811594,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2006,Kharif     ,178000.0,538000.0,3.02,0.302,3.0224719101123596,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2007,Kharif     ,178000.0,546000.0,3.07,0.307,3.067415730337079,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2008,Kharif     ,183000.0,532000.0,2.91,0.29100000000000004,2.907103825136612,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2009,Kharif     ,185000.0,501000.0,2.71,0.271,2.708108108108108,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2010,Kharif     ,186000.0,503000.0,2.7,0.27,2.704301075268817,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2011,Kharif     ,184000.0,482000.0,2.62,0.262,2.619565217391304,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2012,Kharif     ,185000.0,544000.0,2.94,0.294,2.9405405405405407,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2013,Kharif     ,182000.0,518000.0,2.85,0.28500000000000003,2.8461538461538463,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2014,Kharif     ,182000.0,505000.0,2.77,0.277,2.7747252747252746,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2015,Kharif     ,181000.0,513000.0,2.83,0.28300000000000003,2.834254143646409,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2016,Kharif     ,180000.0,574000.0,3.19,0.319,3.188888888888889,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2017,Kharif     ,180000.0,677000.0,3.76,0.376,3.761111111111111,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2018,Kharif     ,180000.0,537000.0,2.98,0.298,2.9833333333333334,Very Large,PUNJAB,KHARIF,0.95
Punjab,AMRITSAR,Rice,2019,Kharif     ,181000.0,598000.0,3.3,0.32999999999999996,3.303867403314917,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2007,Kharif     ,99000.0,466000.0,4.71,0.471,4.707070707070707,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2008,Kharif     ,102000.0,485000.0,4.75,0.475,4.754901960784314,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2009,Kharif     ,104000.0,496000.0,4.77,0.477,4.769230769230769,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2010,Kharif     ,105000.0,465000.0,4.43,0.44299999999999995,4.428571428571429,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2011,Kharif     ,105000.0,459000.0,4.37,0.437,4.371428571428571,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2012,Kharif     ,106000.0,490000.0,4.62,0.462,4.622641509433962,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2013,Kharif     ,107000.0,500000.0,4.67,0.46699999999999997,4.672897196261682,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2014,Kharif     ,108000.0,507000.0,4.69,0.46900000000000003,4.694444444444445,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2015,Kharif     ,110000.0,511000.0,4.65,0.465,4.6454545454545455,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2016,Kharif     ,112000.0,516000.0,4.61,0.461,4.607142857142857,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2017,Kharif     ,113000.0,565000.0,5.0,0.5,5.0,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2018,Kharif     ,114000.0,567000.0,4.97,0.497,4.973684210526316,Very Large,PUNJAB,KHARIF,0.95
Punjab,BARNALA,Rice,2019,Kharif     ,114000.0,525000.0,4.61,0.461,4.605263157894737,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,1997,Kharif     ,53000.0,212000.0,4.0,0.4,4.0,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,1998,Kharif     ,84000.0,287000.0,3.42,0.34199999999999997,3.4166666666666665,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,1999,Kharif     ,99000.0,392000.0,3.96,0.396,3.95959595959596,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2000,Kharif     ,99000.0,350000.0,3.54,0.354,3.5353535353535355,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2001,Kharif     ,82000.0,307000.0,3.74,0.374,3.7439024390243905,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2002,Kharif     ,107000.0,367000.0,3.43,0.343,3.4299065420560746,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2003,Kharif     ,105000.0,419000.0,3.99,0.399,3.9904761904761905,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2004,Kharif     ,102000.0,415000.0,4.07,0.40700000000000003,4.068627450980392,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2005,Kharif     ,95000.0,385000.0,4.05,0.40499999999999997,4.052631578947368,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2006,Kharif     ,87000.0,358000.0,4.11,0.41100000000000003,4.114942528735632,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2007,Kharif     ,86000.0,368000.0,4.28,0.42800000000000005,4.27906976744186,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2008,Kharif     ,97000.0,427000.0,4.4,0.44000000000000006,4.402061855670103,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2009,Kharif     ,104000.0,476000.0,4.58,0.458,4.576923076923077,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2010,Kharif     ,107000.0,437000.0,4.08,0.40800000000000003,4.08411214953271,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2011,Kharif     ,101000.0,409000.0,4.05,0.40499999999999997,4.0495049504950495,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2012,Kharif     ,107000.0,458000.0,4.28,0.42800000000000005,4.280373831775701,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2013,Kharif     ,111000.0,501000.0,4.51,0.45099999999999996,4.513513513513513,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2014,Kharif     ,119000.0,529000.0,4.45,0.445,4.445378151260504,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2015,Kharif     ,137000.0,620000.0,4.53,0.453,4.525547445255475,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2016,Kharif     ,152000.0,689000.0,4.53,0.453,4.532894736842105,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2017,Kharif     ,160000.0,747000.0,4.67,0.46699999999999997,4.66875,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2018,Kharif     ,167000.0,762000.0,4.56,0.45599999999999996,4.562874251497006,Very Large,PUNJAB,KHARIF,0.95
Punjab,BATHINDA,Rice,2019,Kharif     ,179000.0,764000.0,4.27,0.42699999999999994,4.268156424581005,Very Large,PUNJAB,KHARIF,0.95
Punjab,FARIDKOT,Rice,1997,Kharif     ,56000.0,214000.0,3.82,0.382,3.8214285714285716,Very Large,PUNJAB,KHARIF,0.95
Punjab,FARIDKOT,Rice,1998,Kharif     ,82000.0,246000.0,3.0,0.3,3.0,Very Large,PUNJAB,KHARIF,0.95
Punjab,FARIDKOT,Rice,1999,Kharif     ,90000.0,305000.0,3.39,0.339,3.388888888888889,Very Large,PUNJAB,KHARIF,0.95
Punjab,FARIDKOT,Rice,2000,Kharif     ,90000.0,310000.0,3.44,0.344,3.4444444444444446,Very Large,PUNJAB,KHARIF,0.95
