State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Rajasthan,AJMER,Rice,1997,Kharif     ,100.0,100.0,1.0,0.1,1.0,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,1998,Kharif     ,28.0,34.0,1.21,0.121,1.2142857142857142,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,1999,Kharif     ,69.0,87.0,1.26,0.126,1.2608695652173914,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2000,Kharif     ,31.0,29.0,0.94,0.094,0.9354838709677419,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2001,Kharif     ,51.0,64.0,1.25,0.125,1.2549019607843137,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2002,Kharif     ,2.0,2.0,1.0,0.1,1.0,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2003,Kharif     ,26.0,43.0,1.65,0.16499999999999998,1.6538461538461537,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2004,Kharif     ,18.0,27.0,1.5,0.15,1.5,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2005,Kharif     ,13.0,19.0,1.46,0.146,1.4615384615384615,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2006,Kharif     ,15.0,24.0,1.6,0.16,1.6,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2007,Kharif     ,6.0,12.0,2.0,0.2,2.0,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2008,Kharif     ,4.0,7.0,1.75,0.175,1.75,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2009,Kharif     ,7.0,11.0,1.57,0.157,1.5714285714285714,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2010,Kharif     ,9.0,18.0,2.0,0.2,2.0,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2011,Kharif     ,9.0,17.0,1.89,0.189,1.8888888888888888,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2012,Kharif     ,5.0,9.0,1.8,0.18,1.8,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2013,Kharif     ,5.0,11.0,2.2,0.22000000000000003,2.2,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2014,Kharif     ,9.0,20.0,2.22,0.22200000000000003,2.2222222222222223,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2015,Kharif     ,2.0,4.0,2.0,0.2,2.0,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2016,Kharif     ,7.0,16.0,2.29,0.229,2.2857142857142856,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2017,Kharif     ,9.0,21.0,2.33,0.233,2.3333333333333335,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2018,Kharif     ,6.0,14.0,2.33,0.233,2.3333333333333335,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,AJMER,Rice,2019,Kharif     ,3.0,7.0,2.33,0.233,2.3333333333333335,Small,RAJASTHAN,KHARIF,0.5
Rajasthan,ALWAR,Rice,1997,Kharif     ,300.0,300.0,1.0,0.1,1.0,Medium,RAJASTHAN,KHARIF,0.5
Rajasthan,ALWAR,Rice,1998,Kharif     ,381.0,466.0,1.22,0.122,1.2230971128608923,Medium,RAJASTHAN,KHARIF,0.5
Rajasthan,ALWAR,Rice,1999,Kharif     ,605.0,763.0,1.26,0.126,1.2611570247933885,Large,RAJASTHAN,KHARIF,0.5
