State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Tamil Nadu,ARIYALUR,Rice,2009,Kharif     ,25978.0,80462.0,3.1,0.31,3.0973131110940026,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2010,Kharif     ,25211.0,97869.0,3.88,0.388,3.8819959541469995,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2011,Kharif     ,24097.0,97257.0,4.04,0.404,4.0360625804042,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2012,Kharif     ,17523.0,36392.0,2.08,0.20800000000000002,2.0768133310506194,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2013,Kharif     ,24437.0,131658.0,5.39,0.5389999999999999,5.387649875189262,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2014,Kharif     ,23108.0,116239.0,5.03,0.503,5.030249264324044,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2015,Kharif     ,24408.0,124179.0,5.09,0.509,5.087635201573255,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2016,Kharif     ,15398.0,44524.0,2.89,0.28900000000000003,2.8915443564099235,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,ARIYALUR,Rice,2017,Autumn     ,2556.0,9851.0,3.85,0.385,3.854068857589984,Very Large,TAMIL NADU,AUTUMN,0.58
Tamil Nadu,ARIYALUR,Rice,2017,Summer     ,480.0,2145.0,4.47,0.44699999999999995,4.46875,Medium,TAMIL NADU,SUMMER,0.58
Tamil Nadu,ARIYALUR,Rice,2017,Winter     ,19628.0,87227.0,4.44,0.44400000000000006,4.444008559201142,Very Large,TAMIL NADU,WINTER,0.58
Tamil Nadu,ARIYALUR,Rice,2018,Autumn     ,2957.0,12673.0,4.29,0.429,4.2857625972269195,Very Large,TAMIL NADU,AUTUMN,0.58
Tamil Nadu,ARIYALUR,Rice,2018,Summer     ,732.0,3064.0,4.19,0.41900000000000004,4.185792349726776,Large,TAMIL NADU,SUMMER,0.58
Tamil Nadu,ARIYALUR,Rice,2018,Winter     ,19103.0,73718.0,3.86,0.386,3.8589750300999843,Very Large,TAMIL NADU,WINTER,0.58
Tamil Nadu,ARIYALUR,Rice,2019,Autumn     ,2448.0,8348.0,3.41,0.341,3.4101307189542482,Very Large,TAMIL NADU,AUTUMN,0.58
Tamil Nadu,ARIYALUR,Rice,2019,Summer     ,397.0,1709.0,4.3,0.43,4.30478589420655,Medium,TAMIL NADU,SUMMER,0.58
Tamil Nadu,ARIYALUR,Rice,2019,Winter     ,20379.0,79599.0,3.91,0.391,3.905932577653467,Very Large,TAMIL NADU,WINTER,0.58
Tamil Nadu,COIMBATORE,Rice,1998,Kharif     ,15034.0,51575.0,3.43,0.343,3.4305574032193693,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,1999,Kharif     ,16875.0,60494.0,3.58,0.358,3.58482962962963,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2000,Kharif     ,12170.0,47066.0,3.87,0.387,3.867378800328677,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2001,Kharif     ,10548.0,37200.0,3.53,0.353,3.5267349260523324,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2002,Kharif     ,6577.0,22152.0,3.37,0.337,3.3681009578835335,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2003,Kharif     ,3654.0,10643.0,2.91,0.29100000000000004,2.9126984126984126,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2004,Kharif     ,7239.0,24454.0,3.38,0.33799999999999997,3.37809089653267,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2005,Kharif     ,7406.0,20665.0,2.79,0.279,2.790305157980016,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2006,Kharif     ,6221.0,24009.0,3.86,0.386,3.859347371805176,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2007,Kharif     ,6479.0,24456.0,3.77,0.377,3.7746565828059886,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2008,Kharif     ,2573.0,25437.0,9.89,0.9890000000000001,9.886125145744268,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2009,Kharif     ,2817.0,9884.0,3.51,0.351,3.508697195598154,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2010,Kharif     ,2666.0,10419.0,3.91,0.391,3.9081020255063765,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2011,Kharif     ,2629.0,10486.0,3.99,0.399,3.9885888170407,Very Large,TAMIL NADU,KHARIF,0.58
Tamil Nadu,COIMBATORE,Rice,2012,Kharif     ,2156.0,7890.0,3.66,0.366,3.6595547309833023,Very Large,TAMIL NADU,KHARIF,0.58
