State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Andhra Pradesh,ADILABAD,Rice,2010,Kharif     ,62903.0,175263.0,2.79,0.279,2.786242309587778,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2010,Rabi       ,27644.0,79891.0,2.89,0.28900000000000003,2.889994212125597,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2011,Kharif     ,60681.0,151310.0,2.49,0.24900000000000003,2.493531747993606,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2011,Rabi       ,15489.0,48016.0,3.1,0.31,3.100006456194719,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ADILABAD,Rice,2012,Kharif     ,56000.0,145000.0,2.59,0.259,2.5892857142857144,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ADILABAD,Rice,2012,Rabi       ,15000.0,42000.0,2.8,0.27999999999999997,2.8,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2010,Kharif     ,34973.0,102007.0,2.92,0.292,2.9167357675921424,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2010,Rabi       ,24828.0,69394.0,2.79,0.279,2.794989527952312,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2011,Kharif     ,37720.0,94531.0,2.51,0.251,2.5061240721102864,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2011,Rabi       ,10948.0,25542.0,2.33,0.233,2.333028863719401,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2012,Kharif     ,22000.0,58000.0,2.64,0.264,2.6363636363636362,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2012,Rabi       ,7000.0,18000.0,2.57,0.257,2.5714285714285716,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2013,Kharif     ,28114.0,59377.0,2.11,0.211,2.112008252116383,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2013,Rabi       ,12283.0,28558.0,2.33,0.233,2.325002035333388,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2014,Kharif     ,22658.0,68155.0,3.01,0.301,3.007988348486186,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2014,Rabi       ,6553.0,14377.0,2.19,0.219,2.1939569662749885,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2015,Kharif     ,20033.0,61012.0,3.05,0.305,3.045574801577397,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2015,Rabi       ,13590.0,36639.0,2.7,0.27,2.696026490066225,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2016,Kharif     ,17983.0,44138.0,2.45,0.24500000000000002,2.4544291831173886,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2016,Rabi       ,4904.0,13293.0,2.71,0.271,2.7106443719412723,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2017,Kharif     ,12293.0,30831.0,2.51,0.251,2.508012690148865,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2017,Rabi       ,18621.0,55528.0,2.98,0.298,2.982009559099941,Very Large,ANDHRA PRADESH,RABI,0.65
Andhra Pradesh,ANANTAPUR,Rice,2018,Kharif     ,21938.0,58673.0,2.67,0.267,2.6744917494757954,Very Large,ANDHRA PRADESH,KHARIF,0.65
Andhra Pradesh,ANANTAPUR,Rice,2018,Rabi       ,9066.0,22629.0,2.5,0.25,2.49602911978822,Very Large,ANDHRA PRADESH,RABI,0.65
