State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Tripura,DHALAI,Rice,1998,Kharif     ,34010.0,56605.0,1.66,0.16599999999999998,1.6643634225227875,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,1999,Kharif     ,24980.0,43660.0,1.75,0.175,1.7477982385908728,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2000,Kharif     ,29500.0,58780.0,1.99,0.199,1.9925423728813558,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2001,Kharif     ,31890.0,59660.0,1.87,0.187,1.8708058952649733,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2002,Kharif     ,33980.0,64110.0,1.89,0.189,1.8866980576809889,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2003,Kharif     ,31740.0,62420.0,1.97,0.197,1.966603654694392,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2004,Kharif     ,31237.0,57876.0,1.85,0.185,1.8528027659506354,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2005,Kharif     ,27765.0,50438.0,1.82,0.182,1.8166036376733297,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2006,Kharif     ,29156.0,62853.0,2.16,0.21600000000000003,2.1557483879818906,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2007,Kharif     ,28752.0,64055.0,2.23,0.223,2.227845019476906,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2008,Kharif     ,26005.0,59338.0,2.28,0.22799999999999998,2.2817919630840224,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2009,Kharif     ,27026.0,61825.0,2.29,0.229,2.2876119292533117,Very Large,TRIPURA,KHARIF,0.5
Tripura,DHALAI,Rice,2010,Kharif     ,31885.0,72064.0,2.26,0.22599999999999998,2.2601223145679787,Very Large,TRIPURA,KHARIF,0.5
