State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Uttar Pradesh,AGRA,Rice,1997,Kharif     ,935.0,2073.0,2.22,0.22200000000000003,2.217112299465241,Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,1998,Kharif     ,1536.0,3478.0,2.26,0.22599999999999998,2.2643229166666665,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,1999,Kharif     ,2142.0,3781.0,1.77,0.177,1.765172735760971,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2000,Kharif     ,1322.0,2502.0,1.89,0.189,1.892586989409985,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2001,Kharif     ,1318.0,2476.0,1.88,0.188,1.8786039453717753,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2002,Kharif     ,1134.0,1900.0,1.68,0.16799999999999998,1.6754850088183422,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2003,Kharif     ,824.0,1436.0,1.74,0.174,1.7427184466019416,Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2004,Kharif     ,1097.0,2575.0,2.35,0.23500000000000001,2.3473108477666362,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2005,Kharif     ,1021.0,2314.0,2.27,0.227,2.266405484818805,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2006,Kharif     ,1086.0,2056.0,1.89,0.189,1.8931860036832413,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2007,Kharif     ,1395.0,2763.0,1.98,0.198,1.9806451612903226,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2008,Kharif     ,4176.0,9183.0,2.2,0.22000000000000003,2.1989942528735633,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2008,Summer     ,27.0,59.0,2.19,0.219,2.185185185185185,Small,UTTAR PRADESH,SUMMER,0.72
Uttar Pradesh,AGRA,Rice,2009,Kharif     ,4816.0,8467.0,1.76,0.176,1.7580980066445182,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2009,Summer     ,35.0,62.0,1.77,0.177,1.7714285714285714,Small,UTTAR PRADESH,SUMMER,0.72
Uttar Pradesh,AGRA,Rice,2010,Kharif     ,4342.0,9413.0,2.17,0.217,2.1678949792722246,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2011,Kharif     ,6724.0,16803.0,2.5,0.25,2.498958953004164,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2011,Summer     ,30.0,75.0,2.5,0.25,2.5,Small,UTTAR PRADESH,SUMMER,0.72
Uttar Pradesh,AGRA,Rice,2012,Kharif     ,3556.0,8975.0,2.52,0.252,2.5239032620922384,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2012,Summer     ,37.0,94.0,2.54,0.254,2.5405405405405403,Small,UTTAR PRADESH,SUMMER,0.72
Uttar Pradesh,AGRA,Rice,2013,Kharif     ,8691.0,22475.0,2.59,0.259,2.586008514555287,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2014,Kharif     ,10164.0,24231.0,2.38,0.238,2.3840023612750887,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2015,Kharif     ,9401.0,22553.0,2.4,0.24,2.3990001063716626,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2016,Kharif     ,4872.0,13281.0,2.73,0.273,2.725985221674877,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2017,Kharif     ,5252.0,13109.0,2.5,0.25,2.496001523229246,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2018,Kharif     ,5432.0,13374.0,2.46,0.246,2.462076583210604,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2019,Kharif     ,5296.0,13642.0,2.58,0.258,2.575906344410876,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,AGRA,Rice,2019,Summer     ,34.0,88.0,2.59,0.259,2.588235294117647,Small,UTTAR PRADESH,SUMMER,0.72
Uttar Pradesh,ALIGARH,Rice,1997,Kharif     ,17167.0,36571.0,2.13,0.213,2.130308149356323,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,ALIGARH,Rice,1998,Kharif     ,22174.0,35078.0,1.58,0.158,1.5819428159105258,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,ALIGARH,Rice,1999,Kharif     ,31898.0,56313.0,1.77,0.177,1.765408489560474,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,ALIGARH,Rice,2000,Kharif     ,34648.0,68335.0,1.97,0.197,1.9722639113368736,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,ALIGARH,Rice,2001,Kharif     ,33654.0,65137.0,1.94,0.194,1.9354905806144886,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,ALIGARH,Rice,2002,Kharif     ,26117.0,45992.0,1.76,0.176,1.7609985832982349,Very Large,UTTAR PRADESH,KHARIF,0.72
Uttar Pradesh,ALIGARH,Rice,2003,Kharif     ,30731.0,63252.0,2.06,0.20600000000000002,2.0582473723601575,Very Large,UTTAR PRADESH,KHARIF,0.72
