State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
Uttarakhand,ALMORA,Rice,2000,Kharif     ,21297.0,21003.0,0.99,0.099,0.9861952387660233,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2001,Kharif     ,20696.0,25969.0,1.25,0.125,1.2547835330498647,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2002,Kharif     ,23828.0,15941.0,0.67,0.067,0.6690028537854624,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2003,Kharif     ,20137.0,20615.0,1.02,0.10200000000000001,1.023737398818096,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2004,Kharif     ,21444.0,21008.0,0.98,0.098,0.9796679723932102,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2005,Kharif     ,21212.0,22000.0,1.04,0.10400000000000001,1.0371487837073354,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2006,Kharif     ,23031.0,28882.0,1.25,0.125,1.2540488906256784,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2007,Kharif     ,22299.0,25409.0,1.14,0.11399999999999999,1.1394681375846452,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2008,Kharif     ,20493.0,20160.0,0.98,0.098,0.9837505489679402,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2009,Kharif     ,21069.0,20655.0,0.98,0.098,0.9803502776591201,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2010,Kharif     ,19294.0,19886.0,1.03,0.10300000000000001,1.0306831139214263,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2011,Kharif     ,18736.0,21252.0,1.13,0.11299999999999999,1.1342869342442357,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2012,Kharif     ,18288.0,19656.0,1.07,0.10700000000000001,1.0748031496062993,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2013,Kharif     ,15597.0,18545.0,1.19,0.119,1.1890107071872795,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2014,Kharif     ,16897.0,19776.0,1.17,0.11699999999999999,1.1703852754926911,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2015,Kharif     ,17526.0,19096.0,1.09,0.10900000000000001,1.089581193655141,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2016,Kharif     ,15643.0,20035.0,1.28,0.128,1.2807645592277697,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2017,Kharif     ,14389.0,17563.0,1.22,0.122,1.2205851692264924,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2018,Kharif     ,12452.0,15578.0,1.25,0.125,1.251044008994539,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2019,Kharif     ,13529.0,15383.0,1.14,0.11399999999999999,1.13703895335945,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,ALMORA,Rice,2020,Kharif     ,13339.0,17324.0,1.3,0.13,1.2987480320863634,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2000,Kharif     ,13020.0,25585.0,1.97,0.197,1.9650537634408602,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2001,Kharif     ,14239.0,17553.0,1.23,0.123,1.2327410632769156,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2002,Kharif     ,13348.0,13177.0,0.99,0.099,0.9871890919988013,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2003,Kharif     ,12602.0,18981.0,1.51,0.151,1.5061894937311537,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2004,Kharif     ,12481.0,16619.0,1.33,0.133,1.3315439467991348,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2005,Kharif     ,15699.0,22304.0,1.42,0.142,1.4207274348684629,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2006,Kharif     ,13759.0,16922.0,1.23,0.123,1.2298858928701213,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2007,Kharif     ,12781.0,16239.0,1.27,0.127,1.2705578593224318,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2008,Kharif     ,14862.0,20439.0,1.38,0.13799999999999998,1.3752523213564796,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2009,Kharif     ,12629.0,16972.0,1.34,0.134,1.3438910444215695,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2010,Kharif     ,13700.0,16519.0,1.21,0.121,1.2057664233576642,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2011,Kharif     ,13727.0,19455.0,1.42,0.142,1.4172798135062286,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2012,Kharif     ,13272.0,19740.0,1.49,0.149,1.4873417721518987,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2013,Kharif     ,13580.0,19492.0,1.44,0.144,1.4353460972017673,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2014,Kharif     ,13130.0,19916.0,1.52,0.152,1.5168316831683168,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2015,Kharif     ,14365.0,20076.0,1.4,0.13999999999999999,1.3975635224504004,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2016,Kharif     ,13994.0,20710.0,1.48,0.148,1.4799199656995856,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2017,Kharif     ,14400.0,19105.0,1.33,0.133,1.3267361111111111,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2018,Kharif     ,13747.0,16848.0,1.23,0.123,1.2255764894158725,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2019,Kharif     ,13324.0,21624.0,1.62,0.162,1.6229360552386671,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,BAGESHWAR,Rice,2020,Kharif     ,13117.0,20729.0,1.58,0.158,1.5803156209499123,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2000,Kharif     ,14294.0,15263.0,1.07,0.10700000000000001,1.0677906814047853,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2001,Kharif     ,11108.0,13503.0,1.22,0.122,1.215610370903853,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2002,Kharif     ,11321.0,12945.0,1.14,0.11399999999999999,1.1434502252451197,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2003,Kharif     ,14193.0,17611.0,1.24,0.124,1.2408229408863525,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2004,Kharif     ,12768.0,16579.0,1.3,0.13,1.2984805764411027,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2005,Kharif     ,10219.0,14658.0,1.43,0.143,1.4343869263137294,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2006,Kharif     ,12317.0,16421.0,1.33,0.133,1.3331980189981327,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2007,Kharif     ,11905.0,17754.0,1.49,0.149,1.4913061738765225,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2008,Kharif     ,11714.0,15380.0,1.31,0.131,1.3129588526549427,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2009,Kharif     ,11673.0,13813.0,1.18,0.118,1.1833290499443159,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2010,Kharif     ,12407.0,17532.0,1.41,0.141,1.4130732650922866,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2011,Kharif     ,11001.0,14557.0,1.32,0.132,1.3232433415144078,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2012,Kharif     ,11983.0,16414.0,1.37,0.137,1.369773846282233,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2013,Kharif     ,11779.0,15234.0,1.29,0.129,1.2933186178792766,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2014,Kharif     ,11265.0,14414.0,1.28,0.128,1.2795383932534399,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2015,Kharif     ,11551.0,14902.0,1.29,0.129,1.2901047528352523,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2016,Kharif     ,11451.0,14881.0,1.3,0.13,1.2995371583267836,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2017,Kharif     ,11027.0,16055.0,1.46,0.146,1.4559717058130044,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2018,Kharif     ,11570.0,14094.0,1.22,0.122,1.2181503889369059,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2019,Kharif     ,10433.0,13831.0,1.33,0.133,1.3256973066232147,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMOLI,Rice,2020,Kharif     ,11536.0,18444.0,1.6,0.16,1.5988210818307906,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMPAWAT,Rice,2000,Kharif     ,11388.0,13786.0,1.21,0.121,1.2105725324903407,Very Large,UTTARAKHAND,KHARIF,0.5
Uttarakhand,CHAMPAWAT,Rice,2001,Kharif     ,11458.0,13187.0,1.15,0.11499999999999999,1.1508989352417525,Very Large,UTTARAKHAND,KHARIF,0.5
