State,District,Crop,Crop_Year,Season,Area,Production,Yield,yield_quintal_ha,yield_efficiency,area_category,State_clean,Season_clean,irrigation_coverage
West Bengal,PARAGANAS NORTH,Rice,1997,Autumn     ,15017.0,33840.0,2.25,0.225,2.253446094426317,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,1997,Summer     ,98044.0,269690.0,2.75,0.275,2.750703765656236,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,1997,Winter     ,193202.0,381990.0,1.98,0.198,1.977153445616505,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,1998,Autumn     ,21417.0,45870.0,2.14,0.21400000000000002,2.1417565485362093,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,1998,Summer     ,114251.0,425881.0,3.73,0.373,3.727591005768002,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,1998,Winter     ,199701.0,391190.0,1.96,0.196,1.9588785233924717,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,1999,Autumn     ,25760.0,60990.0,2.37,0.23700000000000002,2.3676242236024843,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,1999,Summer     ,112461.0,345460.0,3.07,0.307,3.071820453312704,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,1999,Winter     ,192944.0,423850.0,2.2,0.22000000000000003,2.1967513890040635,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2000,Autumn     ,28438.0,47660.0,1.68,0.16799999999999998,1.6759265771151277,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2000,Summer     ,109077.0,341715.0,3.13,0.313,3.1327869303336175,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2000,Winter     ,136439.0,251580.0,1.84,0.184,1.843900937415255,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2001,Autumn     ,32824.0,75912.0,2.31,0.231,2.312698025834755,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2001,Summer     ,100153.0,316329.0,3.16,0.316,3.1584575599333022,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2001,Winter     ,198499.0,463190.0,2.33,0.233,2.3334626370913707,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2002,Autumn     ,17781.0,39008.0,2.19,0.219,2.1938023733198357,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2002,Summer     ,88692.0,276560.0,3.12,0.312,3.118206828124295,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2002,Winter     ,180898.0,436010.0,2.41,0.24100000000000002,2.4102532919103585,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2003,Autumn     ,13747.0,33482.0,2.44,0.244,2.4355859460245872,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2003,Summer     ,83792.0,265326.0,3.17,0.317,3.1664836738590796,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2003,Winter     ,169933.0,402803.0,2.37,0.23700000000000002,2.370363613894888,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2004,Autumn     ,18746.0,42098.0,2.25,0.225,2.2457057505601195,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2004,Summer     ,89345.0,276187.0,3.09,0.309,3.0912418154345516,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2004,Winter     ,157096.0,368303.0,2.34,0.23399999999999999,2.3444454346386925,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2005,Autumn     ,18148.0,43726.0,2.41,0.24100000000000002,2.409411505400044,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2005,Summer     ,96675.0,283954.0,2.94,0.294,2.937201965347815,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2005,Winter     ,162284.0,389682.0,2.4,0.24,2.401234872199354,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2006,Autumn     ,17719.0,46279.0,2.61,0.261,2.611829109994921,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2006,Summer     ,89707.0,271884.0,3.03,0.303,3.030800271996611,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2006,Winter     ,170626.0,407810.0,2.39,0.23900000000000002,2.390081230293156,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2007,Autumn     ,20861.0,44993.0,2.16,0.21600000000000003,2.1567997699055654,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2007,Summer     ,95528.0,294718.0,3.09,0.309,3.0851478100661587,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2007,Winter     ,157175.0,404941.0,2.58,0.258,2.576370287895658,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2008,Autumn     ,22083.0,59411.0,2.69,0.269,2.6903500430195173,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2008,Summer     ,95232.0,271409.0,2.85,0.28500000000000003,2.8499768985215055,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2008,Winter     ,157226.0,406213.0,2.58,0.258,2.583624845763423,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2009,Autumn     ,18839.0,50488.0,2.68,0.268,2.679972397685652,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2009,Summer     ,88725.0,276708.0,3.12,0.312,3.118715131022823,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2009,Winter     ,127578.0,331194.0,2.6,0.26,2.5960118515731554,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2010,Autumn     ,18514.0,42008.0,2.27,0.227,2.2689856324943287,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2010,Summer     ,77633.0,261587.0,3.37,0.337,3.3695335746396506,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2010,Winter     ,127578.0,302957.0,2.37,0.23700000000000002,2.3746805875621186,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2011,Autumn     ,15789.0,42918.0,2.72,0.272,2.7182215466463995,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2011,Summer     ,71962.0,225593.0,3.13,0.313,3.134890636724938,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2011,Winter     ,133756.0,329019.0,2.46,0.246,2.4598447920093305,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2012,Autumn     ,13891.0,36080.0,2.6,0.26,2.597365200489526,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2012,Summer     ,70500.0,249051.0,3.53,0.353,3.5326382978723405,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2012,Winter     ,133093.0,364032.0,2.74,0.274,2.7351701441848935,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2013,Autumn     ,16286.0,46047.0,2.83,0.28300000000000003,2.827397764951492,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2013,Summer     ,70880.0,231275.0,3.26,0.32599999999999996,3.2629091422121896,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2013,Winter     ,131943.0,391081.0,2.96,0.296,2.9640147639511003,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2014,Autumn     ,15876.0,42913.0,2.7,0.27,2.703010833963215,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2014,Summer     ,70898.0,239229.0,3.37,0.337,3.374270078140427,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2014,Winter     ,139767.0,401623.0,2.87,0.28700000000000003,2.873518069358289,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2015,Autumn     ,17924.0,49687.0,2.77,0.277,2.7720932827493865,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2015,Summer     ,72439.0,240017.0,3.31,0.331,3.3133671088778143,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2015,Winter     ,139946.0,389749.0,2.78,0.27799999999999997,2.784995641175882,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2016,Autumn     ,20136.0,54174.0,2.69,0.269,2.690405244338498,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2016,Summer     ,61123.0,211172.0,3.45,0.34500000000000003,3.454869688987779,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2016,Winter     ,143075.0,400528.0,2.8,0.27999999999999997,2.799426874017124,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2017,Autumn     ,18561.0,54454.0,2.93,0.29300000000000004,2.933785895156511,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2017,Summer     ,63492.0,218404.0,3.44,0.344,3.43986643986644,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2017,Winter     ,143736.0,417070.0,2.9,0.29,2.9016391161573996,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2018,Autumn     ,19550.0,56300.0,2.88,0.288,2.8797953964194374,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2018,Summer     ,69624.0,249118.0,3.58,0.358,3.57804779960933,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2018,Winter     ,142463.0,469611.0,3.3,0.32999999999999996,3.2963716894913064,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS NORTH,Rice,2019,Autumn     ,18673.0,56325.0,3.02,0.302,3.0163872971670327,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS NORTH,Rice,2019,Summer     ,66443.0,250438.0,3.77,0.377,3.7692157187363606,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS NORTH,Rice,2019,Winter     ,142057.0,361028.0,2.54,0.254,2.541430552524691,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS SOUTH,Rice,1997,Autumn     ,2409.0,5270.0,2.19,0.219,2.1876297218762972,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS SOUTH,Rice,1997,Summer     ,54664.0,135730.0,2.48,0.248,2.482986974974389,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS SOUTH,Rice,1997,Winter     ,373220.0,494160.0,1.32,0.132,1.3240447993140776,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS SOUTH,Rice,1998,Autumn     ,4337.0,7600.0,1.75,0.175,1.7523633848282223,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS SOUTH,Rice,1998,Summer     ,80890.0,241720.0,2.99,0.29900000000000004,2.9882556558289033,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS SOUTH,Rice,1998,Winter     ,363033.0,500380.0,1.38,0.13799999999999998,1.3783319973666306,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS SOUTH,Rice,1999,Autumn     ,5314.0,10920.0,2.05,0.205,2.0549491908167106,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS SOUTH,Rice,1999,Summer     ,76997.0,216290.0,2.81,0.281,2.809070483265582,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS SOUTH,Rice,1999,Winter     ,373726.0,705620.0,1.89,0.189,1.8880677287638536,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS SOUTH,Rice,2000,Autumn     ,6927.0,12540.0,1.81,0.181,1.8103074924209615,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS SOUTH,Rice,2000,Summer     ,83471.0,226170.0,2.71,0.271,2.7095638006014067,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS SOUTH,Rice,2000,Winter     ,335463.0,628220.0,1.87,0.187,1.8726953494126028,Very Large,WEST BENGAL,WINTER,0.55
West Bengal,PARAGANAS SOUTH,Rice,2001,Autumn     ,11309.0,31783.0,2.81,0.281,2.810416482447608,Very Large,WEST BENGAL,AUTUMN,0.55
West Bengal,PARAGANAS SOUTH,Rice,2001,Summer     ,82240.0,235784.0,2.87,0.28700000000000003,2.867023346303502,Very Large,WEST BENGAL,SUMMER,0.55
West Bengal,PARAGANAS SOUTH,Rice,2001,Winter     ,336114.0,736064.0,2.19,0.219,2.1899236568545195,Very Large,WEST BENGAL,WINTER,0.55
